video_id,comment_text,likes,published_at,updated_at,comment_id
wUn05hdkhjM,"Just realized. Both Vol. 2 and Vol. 3 released on the same day, May 5th. Interesting",0,2023-06-26T04:15:43Z,2023-06-26T04:15:43Z,UgzN3S0EEj6ZseYPqmh4AaABAg
wUn05hdkhjM,Everywhere vin diesel goes he brings his family 🤣,0,2023-06-25T00:16:12Z,2023-06-25T00:16:12Z,UgzRYqFmLOHImYDFxQN4AaABAg
wUn05hdkhjM,Best trailer ever,2,2023-06-09T22:08:46Z,2023-06-09T22:08:46Z,Ugyf8TM4KhTmpCC6abd4AaABAg
wUn05hdkhjM,Trailer yang menarik,1,2023-06-07T00:54:45Z,2023-06-07T00:54:45Z,Ugxk0pqV5NXWxCwaSRp4AaABAg
wUn05hdkhjM,I have no idea why this film is hated on? It&#39;s a classic <br><br>The best marvel trilogy for me,1,2023-06-01T17:51:49Z,2023-06-01T17:51:49Z,Ugw5reZzI2mdpnCjILZ4AaABAg
wUn05hdkhjM,Song pliss?,1,2023-05-28T22:40:38Z,2023-05-28T22:40:38Z,Ugyo5DaA6UNiapr4wNx4AaABAg
wUn05hdkhjM,I just watching this again 😅,0,2023-05-27T03:19:47Z,2023-05-27T03:19:47Z,UgzyVTMnVDGE-gkvkTt4AaABAg
wUn05hdkhjM,"The only true Family in the whole MCU, God bless James Gunn",0,2023-05-24T19:09:22Z,2023-05-24T19:09:22Z,Ugz0j8L9Gnfe0uKc93d4AaABAg
wUn05hdkhjM,GOTG 3 Might have been the best film of this trliogy this was the best trailer,0,2023-05-23T10:33:12Z,2023-05-23T10:33:12Z,UgxPnJwJOCHXevy2aA54AaABAg
wUn05hdkhjM,This hits different after GOTG 3,1,2023-05-23T09:41:17Z,2023-05-23T09:41:17Z,UgzdTAKbKHm8Sbc10sd4AaABAg
wUn05hdkhjM,Why an I still watching this after 6 years?,2,2023-05-22T16:41:31Z,2023-05-22T16:41:31Z,Ugz5jrkSzshA-0a7GNF4AaABAg
wUn05hdkhjM,"I&#39;m nostalgic for this trailer and this movie. I saw it in theatres back when I was still in elementary school (7th grade) and now I&#39;m out of highschool. Things were simpler then, there was all the hype after Civil War, then this, and then Infinity War, Endgame and now the third Guardians movie, which I saw in theatres twice and cried both times. I will never forget these characters, these movies, and will forever be grateful to James Gunn.",8,2023-05-21T02:40:04Z,2023-05-21T02:40:04Z,Ugyvwtcbq39J-M1x7m54AaABAg
wUn05hdkhjM,Anyone still rewatching this trailer in 2023 anyone?,3,2023-05-20T15:36:40Z,2023-05-20T15:36:40Z,Ugywb_FSvviNeYnkwed4AaABAg
wUn05hdkhjM,I’m so hyped for this movie can’t wait to see it!,1,2023-05-19T20:17:32Z,2023-05-19T20:17:32Z,UgwFxsO_rRbL160hBUd4AaABAg
wUn05hdkhjM,Mt sdds agora 🥺,1,2023-05-18T16:53:15Z,2023-05-18T16:53:15Z,UgxJR-Ujw0q6gBjEQXV4AaABAg
wUn05hdkhjM,Que bendición,2,2023-05-17T21:57:41Z,2023-05-17T21:57:41Z,Ugz5WV29HxI3FMl7Vpl4AaABAg
wUn05hdkhjM,Who’s here after Guardians 3 came out?,3,2023-05-16T19:05:38Z,2023-05-16T19:05:38Z,UgxoJ2njI-UneaQxEg14AaABAg
wUn05hdkhjM,"<a href=""https://www.youtube.com/watch?v=wUn05hdkhjM&amp;t=1m11s"">1:11</a> love this title card name bit, edited well.",2,2023-05-15T05:07:45Z,2023-05-15T05:08:04Z,UgwMiJm2atL8DvSE8XN4AaABAg
wUn05hdkhjM,Marvel really recommend me this trailer after watching Gotg vol 3 😅,4,2023-05-15T04:04:32Z,2023-05-15T04:04:32Z,Ugx_wHKduj7Iftn97PR4AaABAg
wUn05hdkhjM,"It&#39;s over again in this May 2023, I felt be like a nostalgic remember when I watched that movie.",0,2023-05-14T23:51:48Z,2023-05-14T23:51:48Z,UgwsTPJ0pIcFzsshmL94AaABAg
wUn05hdkhjM,"I love how the Guardians trailers go unreasonably hard, but also don&#39;t give up any of the actual narrative.  Such a great movie.  Such a great trilogy.",117,2023-05-14T22:01:24Z,2023-05-14T22:01:24Z,Ugxj_9A6CFj4fE9A9Wx4AaABAg
wUn05hdkhjM,An amazing trailer (although it probably didn&#39;t need the final bit),0,2023-05-14T21:25:45Z,2023-05-14T21:25:45Z,UgyfryGpFu2j0h7PoKZ4AaABAg
wUn05hdkhjM,I remember this 6 years ago I was about to graduate high school good memories,0,2023-05-14T20:39:57Z,2023-05-14T20:39:57Z,Ugyl60lFO8zenGZkDOx4AaABAg
wUn05hdkhjM,Marvel&#39;s first family - fantastic four <br>MCUs first family - freaking Guardians of the Galaxy,2,2023-05-14T13:33:53Z,2023-05-14T13:33:53Z,UgwQ5LSQGVg-KgKb93d4AaABAg
wUn05hdkhjM,Why is groot wearing the ravenger outfit at the start of the movie?,2,2023-05-14T11:53:39Z,2023-05-14T11:53:39Z,UgzXGmpZ2sKPYvEGh994AaABAg
wUn05hdkhjM,❤❤,0,2023-05-14T05:25:53Z,2023-05-14T05:25:53Z,Ugy7y3O24ECcjzw90zN4AaABAg
wUn05hdkhjM,"How did Gunn pull this off ❤ this trailer took me back and just seeing how many characters are in this movie that we care about , it’s crazy",4,2023-05-13T21:47:13Z,2023-05-13T21:47:13Z,Ugzk7uWUBcABwfUtNzV4AaABAg
wUn05hdkhjM,I think a sequel would be profitable,2,2023-05-13T18:06:08Z,2023-05-13T18:06:08Z,Ugx7v2fRKSaeOyW_3Xx4AaABAg
wUn05hdkhjM,Best guardians movie hands down,1,2023-05-13T18:04:29Z,2023-05-13T18:04:29Z,Ugz4Kb9Vhw56LQ3o0u94AaABAg
wUn05hdkhjM,"- You are not friends<br>- No, we&#39;re family.<br><br>Hits harder now",1,2023-05-13T15:27:30Z,2023-05-13T15:27:30Z,UgwtpE4EoGbmQzpXShh4AaABAg
wUn05hdkhjM,Guardians of the Galaxy Vol.2 was amazing! Baby Groot my favorite 👏👏👏👏,4,2023-05-13T07:57:06Z,2023-05-13T07:57:06Z,UgygvJLUTw6ze40r8h54AaABAg
wUn05hdkhjM,This got recommended to me lol,5,2023-05-12T20:22:32Z,2023-05-12T20:22:32Z,UgyJ_kWAwyoj6XGmkxF4AaABAg
wUn05hdkhjM,i got my tickets ready!! i cant wait!!,1,2023-05-12T18:02:21Z,2023-05-12T18:02:21Z,Ugzr58nnjC2DHsPZc_l4AaABAg
wUn05hdkhjM,Anyone here after watching volume 3?,8,2023-05-12T15:28:30Z,2023-05-12T15:28:30Z,UgzLYY1zjs7tz3_tuwB4AaABAg
wUn05hdkhjM,Song name,1,2023-05-12T07:10:33Z,2023-05-12T07:10:33Z,UgzeRZ0mll9BjwbvLYp4AaABAg
wUn05hdkhjM,I came to terms that GOTG is the best team ever. Respectfully i love stark tho,0,2023-05-12T01:10:41Z,2023-05-12T01:10:41Z,Ugx9Ig1rekIhtUcP6Jd4AaABAg
wUn05hdkhjM,It&#39;s been 6 yrs,0,2023-05-11T23:18:41Z,2023-05-11T23:18:41Z,UgxgpVGjTSH6UOtNml94AaABAg
wUn05hdkhjM,"I haven’t seen this trailer in so long, My God this takes me back",2,2023-05-11T17:07:31Z,2023-05-11T17:07:31Z,UgwhMgKd2Q58cdt2IPl4AaABAg
wUn05hdkhjM,Was the thumbnail for this actually a title card mid transition,3,2023-05-11T10:12:33Z,2023-05-11T10:12:33Z,UgyKX6R-b9XENTOnCt54AaABAg
wUn05hdkhjM,"Why me, maybe i am the chosen one 💀",8,2023-05-10T10:50:54Z,2023-05-10T10:50:54Z,UgzCSM84yq_M-GFj5p94AaABAg
wUn05hdkhjM,I’m so excited!,1,2023-05-10T08:43:39Z,2023-05-10T08:43:39Z,UgwTPTCop6sbQx2nedd4AaABAg
wUn05hdkhjM,"Man, prepping for GOTG this weekend, crazy",5,2023-05-10T04:10:03Z,2023-05-10T04:10:03Z,UgzS7dHbB7-sGuZ7GnN4AaABAg
wUn05hdkhjM,watcging this after watching the 3rd movie,9,2023-05-09T09:24:24Z,2023-05-09T09:24:24Z,UgwuDaPAugIFKal-SkB4AaABAg
wUn05hdkhjM,I’m bouta see vol 3 and I see this in my recommended page.,14,2023-05-06T13:32:46Z,2023-05-06T13:32:46Z,UgxsaMd5xh0QtYD1aql4AaABAg
wUn05hdkhjM,"Happy 6th Anniversary Marvel Studios &quot;GUARDIANS OF THE GALAXY 2 (aka Vol. 2)&quot; (MAY 5, 2017)!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! (R.I.P. STAN LEE)",4,2023-05-05T18:47:37Z,2023-05-05T18:47:37Z,UgyutHYtLaXOQoC57Qh4AaABAg
wUn05hdkhjM,Not only marvel but alot of studios need to step up with their trailers lately  this still rocks,2,2023-05-04T15:12:30Z,2023-05-04T15:12:30Z,UgwPs1kEhRYU0iBDhnJ4AaABAg
wUn05hdkhjM,Easily top 3 marvel trailers ever,7,2023-05-03T05:48:50Z,2023-05-03T05:48:50Z,Ugw4X3nZubsDB98kUh14AaABAg
wUn05hdkhjM,"Wow, Vol 3 also comes out on May 5th",4,2023-04-26T03:30:25Z,2023-04-26T03:30:25Z,Ugw9dpHA2QGWBGR4s414AaABAg
wUn05hdkhjM,I cannot emphasize enough how hard this trailer goes a whole 6 years later. Absolutely love the song choice crescendo with this one.,374,2023-04-21T15:37:55Z,2023-04-21T15:37:55Z,UgwFW4n8IH6ICDQl2uZ4AaABAg
wUn05hdkhjM,ฉันรักคุณ❤,1,2023-04-20T07:31:17Z,2023-04-20T07:31:17Z,Ugxw1FMk9bqVWRYWX-V4AaABAg
wUn05hdkhjM,That was joyous times of this anticipation.,0,2023-04-16T23:10:35Z,2023-04-16T23:10:35Z,UgyBZfe0ub1HsSXGQ2l4AaABAg
wUn05hdkhjM,This was a pretty good movie in the theaters,5,2023-03-12T02:12:22Z,2023-03-12T02:12:22Z,Ugwg0UO7MUNGiYYdS4Z4AaABAg
wUn05hdkhjM,Rocket thanks from ryan,2,2023-03-04T07:01:50Z,2023-03-04T07:01:50Z,Ugw4i70w1wJI0LW3cgV4AaABAg
wUn05hdkhjM,wow this one has a VERY different vibe from the GotG 3 trailer.,7,2023-02-17T16:01:55Z,2023-02-17T16:01:55Z,Ugxn-zWWnUFxibMmT5J4AaABAg
wUn05hdkhjM,God I&#39;m going to miss these guys,43,2023-02-14T21:39:50Z,2023-02-14T21:39:50Z,Ugxboash2gmJJJ6VKI54AaABAg
wUn05hdkhjM,Back,2,2023-02-07T13:15:32Z,2023-02-07T13:15:32Z,Ugxuq7rEdcao21pA80d4AaABAg
wUn05hdkhjM,Gusrdians of the galaxy 2 2017,1,2023-01-29T04:13:13Z,2023-01-29T04:13:13Z,Ugxd86tKuVGdbiqxqYF4AaABAg
wUn05hdkhjM,You did this.,1,2023-01-14T07:50:29Z,2023-01-14T07:50:29Z,UgzPZNqOlYNkuIxnNft4AaABAg
wUn05hdkhjM,God I love the text don’t they chose for the trailers for this film,1,2023-01-08T00:29:02Z,2023-01-08T00:29:02Z,UgxPDRcnyWLcOMklmgt4AaABAg
wUn05hdkhjM,"<a href=""https://www.youtube.com/watch?v=wUn05hdkhjM&amp;t=2m16s"">2:16</a>  creepy eyes still",3,2023-01-02T01:29:54Z,2023-01-02T01:29:54Z,UgyYzRdYoyfjQtozIxN4AaABAg
wUn05hdkhjM,"Oml at <a href=""https://www.youtube.com/watch?v=wUn05hdkhjM&amp;t=1m55s"">1:55</a> starmora are holding hands. WHY WASNT THIS IS THE MOVIE?!?!?!?",0,2022-12-29T23:51:30Z,2022-12-29T23:51:30Z,UgwJsjDKytoaASGVyyp4AaABAg
wUn05hdkhjM,i think they actually used the chain better in this trailer than they did in the movie 😂😂,4,2022-12-25T16:59:23Z,2022-12-25T16:59:23Z,UgyIE93oj1Lj89wb5Ft4AaABAg
wUn05hdkhjM,top ten mcu movie trailer,3,2022-12-12T05:22:51Z,2022-12-12T05:22:51Z,UgyLdtv53x53QRh8fJx4AaABAg
wUn05hdkhjM,the funniest scene was when Drax put on quill’s suit while carrying mantis and was like “My nIpPleS!”,15,2022-12-09T01:28:00Z,2022-12-09T01:28:00Z,UgyobzQcdF2OovV9Md94AaABAg
