Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
wUn05hdkhjM,UgzN3S0EEj6ZseYPqmh4AaABAg,2023-06-26T04:15:43Z,2023-06-26T04:15:43Z,0,"Just realized. Both Vol. 2 and Vol. 3 released on the same day, May 5th. Interesting"
wUn05hdkhjM,UgzRYqFmLOHImYDFxQN4AaABAg,2023-06-25T00:16:12Z,2023-06-25T00:16:12Z,0,Everywhere vin diesel goes he brings his family 🤣
wUn05hdkhjM,Ugyf8TM4KhTmpCC6abd4AaABAg,2023-06-09T22:08:46Z,2023-06-09T22:08:46Z,2,Best trailer ever
wUn05hdkhjM,Ugxk0pqV5NXWxCwaSRp4AaABAg,2023-06-07T00:54:45Z,2023-06-07T00:54:45Z,1,Trailer yang menarik
wUn05hdkhjM,Ugw5reZzI2mdpnCjILZ4AaABAg,2023-06-01T17:51:49Z,2023-06-01T17:51:49Z,1,"I have no idea why this film is hated on? It's a classic 

The best marvel trilogy for me"
wUn05hdkhjM,Ugyo5DaA6UNiapr4wNx4AaABAg,2023-05-28T22:40:38Z,2023-05-28T22:40:38Z,1,Song pliss?
wUn05hdkhjM,UgzyVTMnVDGE-gkvkTt4AaABAg,2023-05-27T03:19:47Z,2023-05-27T03:19:47Z,0,I just watching this again 😅
wUn05hdkhjM,Ugz0j8L9Gnfe0uKc93d4AaABAg,2023-05-24T19:09:22Z,2023-05-24T19:09:22Z,0,"The only true Family in the whole MCU, God bless James Gunn"
wUn05hdkhjM,UgxPnJwJOCHXevy2aA54AaABAg,2023-05-23T10:33:12Z,2023-05-23T10:33:12Z,0,GOTG 3 Might have been the best film of this trliogy this was the best trailer
wUn05hdkhjM,UgzdTAKbKHm8Sbc10sd4AaABAg,2023-05-23T09:41:17Z,2023-05-23T09:41:17Z,1,This hits different after GOTG 3
wUn05hdkhjM,Ugz5jrkSzshA-0a7GNF4AaABAg,2023-05-22T16:41:31Z,2023-05-22T16:41:31Z,2,Why an I still watching this after 6 years?
wUn05hdkhjM,Ugyvwtcbq39J-M1x7m54AaABAg,2023-05-21T02:40:04Z,2023-05-21T02:40:04Z,8,"I'm nostalgic for this trailer and this movie. I saw it in theatres back when I was still in elementary school (7th grade) and now I'm out of highschool. Things were simpler then, there was all the hype after Civil War, then this, and then Infinity War, Endgame and now the third Guardians movie, which I saw in theatres twice and cried both times. I will never forget these characters, these movies, and will forever be grateful to James Gunn."
wUn05hdkhjM,Ugywb_FSvviNeYnkwed4AaABAg,2023-05-20T15:36:40Z,2023-05-20T15:36:40Z,3,Anyone still rewatching this trailer in 2023 anyone?
wUn05hdkhjM,UgwFxsO_rRbL160hBUd4AaABAg,2023-05-19T20:17:32Z,2023-05-19T20:17:32Z,1,I’m so hyped for this movie can’t wait to see it!
wUn05hdkhjM,UgxJR-Ujw0q6gBjEQXV4AaABAg,2023-05-18T16:53:15Z,2023-05-18T16:53:15Z,1,Mt sdds agora 🥺
wUn05hdkhjM,Ugz5WV29HxI3FMl7Vpl4AaABAg,2023-05-17T21:57:41Z,2023-05-17T21:57:41Z,2,Que bendición
wUn05hdkhjM,UgxoJ2njI-UneaQxEg14AaABAg,2023-05-16T19:05:38Z,2023-05-16T19:05:38Z,3,Who’s here after Guardians 3 came out?
wUn05hdkhjM,UgwMiJm2atL8DvSE8XN4AaABAg,2023-05-15T05:07:45Z,2023-05-15T05:08:04Z,2,"1:11 love this title card name bit, edited well."
wUn05hdkhjM,Ugx_wHKduj7Iftn97PR4AaABAg,2023-05-15T04:04:32Z,2023-05-15T04:04:32Z,4,Marvel really recommend me this trailer after watching Gotg vol 3 😅
wUn05hdkhjM,UgwsTPJ0pIcFzsshmL94AaABAg,2023-05-14T23:51:48Z,2023-05-14T23:51:48Z,0,"It's over again in this May 2023, I felt be like a nostalgic remember when I watched that movie."
wUn05hdkhjM,Ugxj_9A6CFj4fE9A9Wx4AaABAg,2023-05-14T22:01:24Z,2023-05-14T22:01:24Z,117,"I love how the Guardians trailers go unreasonably hard, but also don't give up any of the actual narrative.  Such a great movie.  Such a great trilogy."
wUn05hdkhjM,UgyfryGpFu2j0h7PoKZ4AaABAg,2023-05-14T21:25:45Z,2023-05-14T21:25:45Z,0,An amazing trailer (although it probably didn't need the final bit)
wUn05hdkhjM,Ugyl60lFO8zenGZkDOx4AaABAg,2023-05-14T20:39:57Z,2023-05-14T20:39:57Z,0,I remember this 6 years ago I was about to graduate high school good memories
wUn05hdkhjM,UgwQ5LSQGVg-KgKb93d4AaABAg,2023-05-14T13:33:53Z,2023-05-14T13:33:53Z,2,"Marvel's first family - fantastic four 
MCUs first family - freaking Guardians of the Galaxy"
wUn05hdkhjM,UgzXGmpZ2sKPYvEGh994AaABAg,2023-05-14T11:53:39Z,2023-05-14T11:53:39Z,2,Why is groot wearing the ravenger outfit at the start of the movie?
wUn05hdkhjM,Ugy7y3O24ECcjzw90zN4AaABAg,2023-05-14T05:25:53Z,2023-05-14T05:25:53Z,0,❤❤
wUn05hdkhjM,Ugzk7uWUBcABwfUtNzV4AaABAg,2023-05-13T21:47:13Z,2023-05-13T21:47:13Z,4,"How did Gunn pull this off ❤ this trailer took me back and just seeing how many characters are in this movie that we care about , it’s crazy"
wUn05hdkhjM,Ugx7v2fRKSaeOyW_3Xx4AaABAg,2023-05-13T18:06:08Z,2023-05-13T18:06:08Z,2,I think a sequel would be profitable
wUn05hdkhjM,Ugz4Kb9Vhw56LQ3o0u94AaABAg,2023-05-13T18:04:29Z,2023-05-13T18:04:29Z,1,Best guardians movie hands down
wUn05hdkhjM,UgwtpE4EoGbmQzpXShh4AaABAg,2023-05-13T15:27:30Z,2023-05-13T15:27:30Z,1,"- You are not friends
- No, we're family.

Hits harder now"
wUn05hdkhjM,UgygvJLUTw6ze40r8h54AaABAg,2023-05-13T07:57:06Z,2023-05-13T07:57:06Z,4,Guardians of the Galaxy Vol.2 was amazing! Baby Groot my favorite 👏👏👏👏
wUn05hdkhjM,UgyJ_kWAwyoj6XGmkxF4AaABAg,2023-05-12T20:22:32Z,2023-05-12T20:22:32Z,5,This got recommended to me lol
wUn05hdkhjM,Ugzr58nnjC2DHsPZc_l4AaABAg,2023-05-12T18:02:21Z,2023-05-12T18:02:21Z,1,i got my tickets ready!! i cant wait!!
wUn05hdkhjM,UgzLYY1zjs7tz3_tuwB4AaABAg,2023-05-12T15:28:30Z,2023-05-12T15:28:30Z,8,Anyone here after watching volume 3?
wUn05hdkhjM,UgzeRZ0mll9BjwbvLYp4AaABAg,2023-05-12T07:10:33Z,2023-05-12T07:10:33Z,1,Song name
wUn05hdkhjM,Ugx9Ig1rekIhtUcP6Jd4AaABAg,2023-05-12T01:10:41Z,2023-05-12T01:10:41Z,0,I came to terms that GOTG is the best team ever. Respectfully i love stark tho
wUn05hdkhjM,UgxgpVGjTSH6UOtNml94AaABAg,2023-05-11T23:18:41Z,2023-05-11T23:18:41Z,0,It's been 6 yrs
wUn05hdkhjM,UgwhMgKd2Q58cdt2IPl4AaABAg,2023-05-11T17:07:31Z,2023-05-11T17:07:31Z,2,"I haven’t seen this trailer in so long, My God this takes me back"
wUn05hdkhjM,UgyKX6R-b9XENTOnCt54AaABAg,2023-05-11T10:12:33Z,2023-05-11T10:12:33Z,3,Was the thumbnail for this actually a title card mid transition
wUn05hdkhjM,UgzCSM84yq_M-GFj5p94AaABAg,2023-05-10T10:50:54Z,2023-05-10T10:50:54Z,8,"Why me, maybe i am the chosen one 💀"
wUn05hdkhjM,UgwTPTCop6sbQx2nedd4AaABAg,2023-05-10T08:43:39Z,2023-05-10T08:43:39Z,1,I’m so excited!
wUn05hdkhjM,UgzS7dHbB7-sGuZ7GnN4AaABAg,2023-05-10T04:10:03Z,2023-05-10T04:10:03Z,5,"Man, prepping for GOTG this weekend, crazy"
wUn05hdkhjM,UgwuDaPAugIFKal-SkB4AaABAg,2023-05-09T09:24:24Z,2023-05-09T09:24:24Z,9,watcging this after watching the 3rd movie
wUn05hdkhjM,UgxsaMd5xh0QtYD1aql4AaABAg,2023-05-06T13:32:46Z,2023-05-06T13:32:46Z,14,I’m bouta see vol 3 and I see this in my recommended page.
wUn05hdkhjM,UgyutHYtLaXOQoC57Qh4AaABAg,2023-05-05T18:47:37Z,2023-05-05T18:47:37Z,4,"Happy 6th Anniversary Marvel Studios ""GUARDIANS OF THE GALAXY 2 (aka Vol. 2)"" (MAY 5, 2017)!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! (R.I.P. STAN LEE)"
wUn05hdkhjM,UgwPs1kEhRYU0iBDhnJ4AaABAg,2023-05-04T15:12:30Z,2023-05-04T15:12:30Z,2,Not only marvel but alot of studios need to step up with their trailers lately  this still rocks
wUn05hdkhjM,Ugw4X3nZubsDB98kUh14AaABAg,2023-05-03T05:48:50Z,2023-05-03T05:48:50Z,7,Easily top 3 marvel trailers ever
wUn05hdkhjM,Ugw9dpHA2QGWBGR4s414AaABAg,2023-04-26T03:30:25Z,2023-04-26T03:30:25Z,4,"Wow, Vol 3 also comes out on May 5th"
wUn05hdkhjM,UgwFW4n8IH6ICDQl2uZ4AaABAg,2023-04-21T15:37:55Z,2023-04-21T15:37:55Z,374,I cannot emphasize enough how hard this trailer goes a whole 6 years later. Absolutely love the song choice crescendo with this one.
wUn05hdkhjM,Ugxw1FMk9bqVWRYWX-V4AaABAg,2023-04-20T07:31:17Z,2023-04-20T07:31:17Z,1,ฉันรักคุณ❤
wUn05hdkhjM,UgyBZfe0ub1HsSXGQ2l4AaABAg,2023-04-16T23:10:35Z,2023-04-16T23:10:35Z,0,That was joyous times of this anticipation.
wUn05hdkhjM,Ugwg0UO7MUNGiYYdS4Z4AaABAg,2023-03-12T02:12:22Z,2023-03-12T02:12:22Z,5,This was a pretty good movie in the theaters
wUn05hdkhjM,Ugw4i70w1wJI0LW3cgV4AaABAg,2023-03-04T07:01:50Z,2023-03-04T07:01:50Z,2,Rocket thanks from ryan
wUn05hdkhjM,Ugxn-zWWnUFxibMmT5J4AaABAg,2023-02-17T16:01:55Z,2023-02-17T16:01:55Z,7,wow this one has a VERY different vibe from the GotG 3 trailer.
wUn05hdkhjM,Ugxboash2gmJJJ6VKI54AaABAg,2023-02-14T21:39:50Z,2023-02-14T21:39:50Z,43,God I'm going to miss these guys
wUn05hdkhjM,Ugxuq7rEdcao21pA80d4AaABAg,2023-02-07T13:15:32Z,2023-02-07T13:15:32Z,2,Back
wUn05hdkhjM,Ugxd86tKuVGdbiqxqYF4AaABAg,2023-01-29T04:13:13Z,2023-01-29T04:13:13Z,1,Gusrdians of the galaxy 2 2017
wUn05hdkhjM,UgzPZNqOlYNkuIxnNft4AaABAg,2023-01-14T07:50:29Z,2023-01-14T07:50:29Z,1,You did this.
