videoId,textDisplay,cleanedData,likeCount,publishedAt,updatedAt,commentId
wUn05hdkhjM,Best trailer ever,best trailer ever,1,2023-06-09T22:08:46Z,2023-06-09T22:08:46Z,Ugyf8TM4KhTmpCC6abd4AaABAg
wUn05hdkhjM,Trailer yang menarik,trailer yang menarik,1,2023-06-07T00:54:45Z,2023-06-07T00:54:45Z,Ugxk0pqV5NXWxCwaSRp4AaABAg
wUn05hdkhjM,I just watching this again 😅,i just watching this again ,0,2023-05-27T03:19:47Z,2023-05-27T03:19:47Z,UgzyVTMnVDGE-gkvkTt4AaABAg
wUn05hdkhjM,"The only true Family in the whole MCU, God bless James Gunn",the only true family in the whole mcu god bless james gunn,0,2023-05-24T19:09:22Z,2023-05-24T19:09:22Z,Ugz0j8L9Gnfe0uKc93d4AaABAg
wUn05hdkhjM,GOTG 3 Might have been the best film of this trliogy this was the best trailer,gotg 3 might have been the best film of this trliogy this was the best trailer,0,2023-05-23T10:33:12Z,2023-05-23T10:33:12Z,UgxPnJwJOCHXevy2aA54AaABAg
wUn05hdkhjM,This hits different after GOTG 3,this hits different after gotg 3,1,2023-05-23T09:41:17Z,2023-05-23T09:41:17Z,UgzdTAKbKHm8Sbc10sd4AaABAg
wUn05hdkhjM,Why an I still watching this after 6 years?,why an i still watching this after 6 years,2,2023-05-22T16:41:31Z,2023-05-22T16:41:31Z,Ugz5jrkSzshA-0a7GNF4AaABAg
wUn05hdkhjM,"I&#39;m nostalgic for this trailer and this movie. I saw it in theatres back when I was still in elementary school (7th grade) and now I&#39;m out of highschool. Things were simpler then, there was all the hype after Civil War, then this, and then Infinity War, Endgame and now the third Guardians movie, which I saw in theatres twice and cried both times. I will never forget these characters, these movies, and will forever be grateful to James Gunn.",im nostalgic for this trailer and this movie i saw it in theatres back when i was still in elementary school 7th grade and now im out of highschool things were simpler then there was all the hype after civil war then this and then infinity war endgame and now the third guardians movie which i saw in theatres twice and cried both times i will never forget these characters these movies and will forever be grateful to james gunn,5,2023-05-21T02:40:04Z,2023-05-21T02:40:04Z,Ugyvwtcbq39J-M1x7m54AaABAg
wUn05hdkhjM,Anyone still rewatching this trailer in 2023 anyone?,anyone still rewatching this trailer in 2023 anyone,3,2023-05-20T15:36:40Z,2023-05-20T15:36:40Z,Ugywb_FSvviNeYnkwed4AaABAg
wUn05hdkhjM,I’m so hyped for this movie can’t wait to see it!,im so hyped for this movie cant wait to see it,1,2023-05-19T20:17:32Z,2023-05-19T20:17:32Z,UgwFxsO_rRbL160hBUd4AaABAg
wUn05hdkhjM,"<a href=""https://www.youtube.com/watch?v=wUn05hdkhjM&amp;t=1m11s"">1:11</a> love this title card name bit, edited well.",111 love this title card name bit edited well,2,2023-05-15T05:07:45Z,2023-05-15T05:08:04Z,UgwMiJm2atL8DvSE8XN4AaABAg
wUn05hdkhjM,"It&#39;s over again in this May 2023, I felt be like a nostalgic remember when I watched that movie.",its over again in this may 2023 i felt be like a nostalgic remember when i watched that movie,0,2023-05-14T23:51:48Z,2023-05-14T23:51:48Z,UgwsTPJ0pIcFzsshmL94AaABAg
