Video ID,Comment Text,Label
wUn05hdkhjM,"Just realized. Both Vol. 2 and Vol. 3 released on the same day, May 5th. Interesting",positive
wUn05hdkhjM,Everywhere vin diesel goes he brings his family 🤣,neutral
wUn05hdkhjM,Best trailer ever,positive
wUn05hdkhjM,Trailer yang menarik,neutral
wUn05hdkhjM,"I have no idea why this film is hated on? It's a classic 

The best marvel trilogy for me",positive
wUn05hdkhjM,Song pliss?,neutral
wUn05hdkhjM,I just watching this again 😅,neutral
wUn05hdkhjM,"The only true Family in the whole MCU, God bless James Gunn",positive
wUn05hdkhjM,GOTG 3 Might have been the best film of this trliogy this was the best trailer,positive
wUn05hdkhjM,This hits different after GOTG 3,neutral
wUn05hdkhjM,Why an I still watching this after 6 years?,neutral
wUn05hdkhjM,"I'm nostalgic for this trailer and this movie. I saw it in theatres back when I was still in elementary school (7th grade) and now I'm out of highschool. Things were simpler then, there was all the hype after Civil War, then this, and then Infinity War, Endgame and now the third Guardians movie, which I saw in theatres twice and cried both times. I will never forget these characters, these movies, and will forever be grateful to James Gunn.",negative
wUn05hdkhjM,Anyone still rewatching this trailer in 2023 anyone?,neutral
wUn05hdkhjM,I’m so hyped for this movie can’t wait to see it!,neutral
wUn05hdkhjM,Mt sdds agora 🥺,neutral
wUn05hdkhjM,Que bendición,neutral
wUn05hdkhjM,Who’s here after Guardians 3 came out?,neutral
wUn05hdkhjM,"1:11 love this title card name bit, edited well.",positive
wUn05hdkhjM,Marvel really recommend me this trailer after watching Gotg vol 3 😅,positive
wUn05hdkhjM,"It's over again in this May 2023, I felt be like a nostalgic remember when I watched that movie.",negative
wUn05hdkhjM,"I love how the Guardians trailers go unreasonably hard, but also don't give up any of the actual narrative.  Such a great movie.  Such a great trilogy.",positive
wUn05hdkhjM,An amazing trailer (although it probably didn't need the final bit),positive
wUn05hdkhjM,I remember this 6 years ago I was about to graduate high school good memories,positive
wUn05hdkhjM,"Marvel's first family - fantastic four 
MCUs first family - freaking Guardians of the Galaxy",positive
wUn05hdkhjM,Why is groot wearing the ravenger outfit at the start of the movie?,neutral
wUn05hdkhjM,❤❤,neutral
wUn05hdkhjM,"How did Gunn pull this off ❤ this trailer took me back and just seeing how many characters are in this movie that we care about , it’s crazy",negative
wUn05hdkhjM,I think a sequel would be profitable,neutral
wUn05hdkhjM,Best guardians movie hands down,positive
wUn05hdkhjM,"- You are not friends
- No, we're family.

Hits harder now",negative
wUn05hdkhjM,Guardians of the Galaxy Vol.2 was amazing! Baby Groot my favorite 👏👏👏👏,positive
wUn05hdkhjM,This got recommended to me lol,positive
wUn05hdkhjM,i got my tickets ready!! i cant wait!!,positive
wUn05hdkhjM,Anyone here after watching volume 3?,neutral
wUn05hdkhjM,Song name,neutral
wUn05hdkhjM,I came to terms that GOTG is the best team ever. Respectfully i love stark tho,positive
wUn05hdkhjM,It's been 6 yrs,neutral
wUn05hdkhjM,"I haven’t seen this trailer in so long, My God this takes me back",negative
wUn05hdkhjM,Was the thumbnail for this actually a title card mid transition,neutral
wUn05hdkhjM,"Why me, maybe i am the chosen one 💀",neutral
wUn05hdkhjM,I’m so excited!,positive
wUn05hdkhjM,"Man, prepping for GOTG this weekend, crazy",negative
wUn05hdkhjM,watcging this after watching the 3rd movie,neutral
wUn05hdkhjM,I’m bouta see vol 3 and I see this in my recommended page.,neutral
wUn05hdkhjM,"Happy 6th Anniversary Marvel Studios ""GUARDIANS OF THE GALAXY 2 (aka Vol. 2)"" (MAY 5, 2017)!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! (R.I.P. STAN LEE)",positive
wUn05hdkhjM,Not only marvel but alot of studios need to step up with their trailers lately  this still rocks,negative
wUn05hdkhjM,Easily top 3 marvel trailers ever,positive
wUn05hdkhjM,"Wow, Vol 3 also comes out on May 5th",positive
wUn05hdkhjM,I cannot emphasize enough how hard this trailer goes a whole 6 years later. Absolutely love the song choice crescendo with this one.,positive
wUn05hdkhjM,ฉันรักคุณ❤,neutral
wUn05hdkhjM,That was joyous times of this anticipation.,neutral
wUn05hdkhjM,This was a pretty good movie in the theaters,positive
wUn05hdkhjM,Rocket thanks from ryan,positive
wUn05hdkhjM,wow this one has a VERY different vibe from the GotG 3 trailer.,positive
wUn05hdkhjM,God I'm going to miss these guys,neutral
wUn05hdkhjM,Back,neutral
wUn05hdkhjM,Gusrdians of the galaxy 2 2017,neutral
wUn05hdkhjM,You did this.,neutral
wUn05hdkhjM,God I love the text don’t they chose for the trailers for this film,positive
wUn05hdkhjM,2:16  creepy eyes still,negative
wUn05hdkhjM,Oml at 1:55 starmora are holding hands. WHY WASNT THIS IS THE MOVIE?!?!?!?,neutral
wUn05hdkhjM,i think they actually used the chain better in this trailer than they did in the movie 😂😂,positive
wUn05hdkhjM,top ten mcu movie trailer,positive
wUn05hdkhjM,the funniest scene was when Drax put on quill’s suit while carrying mantis and was like “My nIpPleS!”,neutral
wUn05hdkhjM,The amount of justice they did to Fleetwood Mac’s The Chain is honestly insane. It made the trailer for me.,negative
wUn05hdkhjM,RIP Christine McVie,neutral
wUn05hdkhjM,When Marvel no was woke,neutral
wUn05hdkhjM,1:03 1:02,neutral
wUn05hdkhjM,Name of trailer song?,neutral
wUn05hdkhjM,5 year anniversary. Sly Stallone and Kurt Russell were the best in this movie. I'm looking forward to the third Guardians of the Galaxy on the same date in the next year.,positive
wUn05hdkhjM,What song is that? ❤,neutral
wUn05hdkhjM,0:22,neutral
wUn05hdkhjM,1:13,neutral
wUn05hdkhjM,It’s sad this trailer got so little views,negative
wUn05hdkhjM,This video is so nice. I will download the movie,positive
wUn05hdkhjM,I can't wait for The third volume! Come on feige hype us up some company are just douchebags!!! And you can do much better!!!,positive
wUn05hdkhjM,"2022 And the one and only thing that can give Marvel some quality, are still the Guardians of the Galaxy",neutral
wUn05hdkhjM,"honestly, this movie is kinda underrated given how low ppl rank it in the MCU. I think its aged pretty well",negative
wUn05hdkhjM,Song name plss?,neutral
wUn05hdkhjM,Jesus is the lord,neutral
wUn05hdkhjM,"To this day, the Guardians of the Galaxy films are still my favorite MCU Films",positive
wUn05hdkhjM,Kinda crazy how much this trailer throws viewers off the scent of what the movie is actually about,negative
wUn05hdkhjM,Classic 🔥😊,positive
wUn05hdkhjM,Why am I still watching this after 5 years?!,neutral
wUn05hdkhjM,"5 years later, I can still hear them saying you must never break the Chain. Happy Anniversary to one of my favorite movies.",positive
wUn05hdkhjM,I can’t believe this movie is officially 5 years old,positive
wUn05hdkhjM,"All you do is yell at each other your not friends.

Drax: No, we're family

Dom: 👀👀",negative
wUn05hdkhjM,"The MCU is vast, expansive, and colourful. And that fact is thanks to the Guardians movies.
So GG, you loveable pack of space-faring misfits. I Am Groot!",positive
wUn05hdkhjM,What song is this!?!?,neutral
wUn05hdkhjM,I love this movie so much 2022,positive
wUn05hdkhjM,Me : 🙀🤯😘,neutral
wUn05hdkhjM,Probably the funniest MCU film I’ve ever watched,neutral
wUn05hdkhjM,😀😀😀😀,neutral
wUn05hdkhjM,I really love this Movie back in 2017.,positive
wUn05hdkhjM,Y does this trailer have no views,neutral
wUn05hdkhjM,Roses are red violets are blue he climbed us and we haven in aview,neutral
wUn05hdkhjM,This is cool,positive
wUn05hdkhjM,"Having watched the movie, they did a great job not spoiling Ego and going with a misdirect, that the Sovereign are the villains",positive
wUn05hdkhjM,Song name,neutral
wUn05hdkhjM,Rocket is so funny,positive
wUn05hdkhjM,I Watched this trailer when it first came out. Been watching it since. It never gets old.,positive
wUn05hdkhjM,Just think this movie exists because Rocket stole some harbulary batteries!,neutral
wUn05hdkhjM,Groot is back,neutral
wUn05hdkhjM,Hello Peter...,neutral
wUn05hdkhjM,"Any buddy knows the story tell to me, just watch for VFX effects 👍👍👍",neutral
wUn05hdkhjM,ジュラシック・ワールド見たあとだとこんなふざけたクリス・プラットなんか新鮮笑,neutral
wUn05hdkhjM,huh...that was a fun trailer to rewatch,positive
wUn05hdkhjM,"Kudos to James Gun, cant wait for gotg vol 3!",neutral
wUn05hdkhjM,one of the best trailers ever  with one of the best songs ever the chain -Fleetwood Mac,positive
wUn05hdkhjM,"They really did gotg member dirty in end game, i hope they do something about that in future,,",negative
wUn05hdkhjM,Family!,neutral
wUn05hdkhjM,"0:22

Just Something for edit",neutral
wUn05hdkhjM,Guardians of the galaxy game honestly matches the vibe of this version of the guardians,positive
wUn05hdkhjM,AoSHDa,neutral
wUn05hdkhjM,"Notice how in the trailer for the first film, the listed off the actors’ names. For the sequel, since they became so popular, they’re listing off the characters’ names.",positive
wUn05hdkhjM,Darth Vader I am your father,neutral
wUn05hdkhjM,I like this scene 2:52,neutral
wUn05hdkhjM,wtf i thought this was the trailer for gotg 3 for a second,negative
wUn05hdkhjM,Ahhh I need gaurdians 3 right now! Also it breaks my heart remembering that our gamora from this movie was murdered…,positive
wUn05hdkhjM,Super film 👍,positive
wUn05hdkhjM,dudee this trailer is amazing!!,positive
wUn05hdkhjM,Familia toda la vida .,neutral
wUn05hdkhjM,💜,neutral
wUn05hdkhjM,"Yondu, Rocket and Groot... Oh what a savage team this would have been in the Endgames",neutral
wUn05hdkhjM,why is youtube recommending this... i thought it's the vol 3 😭😭😭😭,neutral
wUn05hdkhjM,One of the best Sci-Fi movies ever made !! GOTG has got to be one of the best examples of using CGI to create mind-blowing cinematic visuals.,positive
wUn05hdkhjM,1:54 dom : yes we're strong cz we are family,positive
wUn05hdkhjM,"Of course, the film is about family. Dom's in it.",neutral
