videoId,publishedAt,channelId,title,channelTitle,defaultAudioLanguage,viewCount,likeCount,commentCount,RTS: Critics (%),RTS: Audience (%),Ratio
wUn05hdkhjM,2017-03-02T06:28:14Z,UCvC4D8onUfXzvjTOM-dBfEA,Guardians of the Galaxy Vol. 2 - Trailer 3 (Official),Marvel Entertainment,en,4966446,46579,1774,85.0,87.0,2799.574971815107
cIvOHGIzCd0,2019-06-12T21:00:26Z,UCiifkYAs_bq1pt_zbNAzYGg,Pennyworth – Official Trailer,DC,en,1096372,26144,2297,66.0,91.0,477.30605137135393
WHXq62VCaCM,2021-12-03T14:00:31Z,UCx-KWLTKlB83hDI6UKECtJQ,Peacemaker | Official Trailer | Max,Max,en,15721613,42250,2381,94.0,89.0,6602.945401091978
SJPJPUpNvDw,2021-02-07T17:00:18Z,UCiifkYAs_bq1pt_zbNAzYGg,Superman & Lois | Official Trailer,DC,en,1554729,28311,2405,,81.0,646.4569646569646
2LIQ2-PZBC8,2014-05-20T17:38:59Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel's Guardians of the Galaxy - Trailer 2 (OFFICIAL),Marvel Entertainment,,10876750,39270,3103,92.0,92.0,3505.2368675475345
Fd09zvjdktE,2021-06-17T16:00:54Z,UCx-KWLTKlB83hDI6UKECtJQ,Titans Season 3 | Official Teaser | HBO Max,Max,en,13957992,41342,3343,89.0,69.0,4175.289261142686
zAPifwlWBP0,2023-04-12T17:26:25Z,UCx-KWLTKlB83hDI6UKECtJQ,The Penguin | In-Production Teaser | Max,Max,en,2631810,79671,3846,,,684.2979719188768
AIc671o9yCI,2023-01-26T17:01:32Z,UCjmJDM5pRKbUlVIzDYYWb6g,SHAZAM! FURY OF THE GODS - Official Trailer 2,Warner Bros. Pictures,en-US,28439443,78804,6598,49.0,86.0,4310.312670506214
6tTM9nbRk5A,2019-02-14T17:00:00Z,UCiifkYAs_bq1pt_zbNAzYGg,Doom Patrol | Extended Trailer | DC Universe | The Ultimate Membership,DC,en,14943587,99731,8145,98.0,76.0,1834.6945365254758
zymgtV99Rko,2019-05-08T17:00:13Z,UCVTQuK2CaWaTgSsoNkn5AiQ,Watchmen | Official Tease | HBO,HBO,en,7123368,101177,8286,96.0,56.0,859.6871832005793
eg5ciqQzmK0,2021-06-22T19:04:02Z,UCjmJDM5pRKbUlVIzDYYWb6g,THE SUICIDE SQUAD – Official “Rain” Trailer,Warner Bros. Pictures,en-US,15800184,134743,9055,90.0,82.0,1744.9126449475427
xVnHZ5SF1Jg,2019-05-28T15:58:47Z,UCiifkYAs_bq1pt_zbNAzYGg,Swamp Thing | Full Trailer | DC Universe | The Ultimate Membership,DC,en,9311128,120737,10012,92.0,74.0,929.9968038353975
pWdKf3MneyI,2015-04-13T12:56:49Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel's Ant-Man - Trailer 1,Marvel Entertainment,en,26743553,132306,10311,83.0,85.0,2593.6914945204153
7SlILk2WMTI,2014-02-02T23:12:00Z,UCvC4D8onUfXzvjTOM-dBfEA,Marvel's Captain America: The Winter Soldier - Trailer 2 (OFFICIAL),Marvel Entertainment,,33198661,138387,11213,90.0,92.0,2960.7295995719255
