Video ID,Comment,Comment ID,Published At,Updated At,Likes
6ZfuNTqbHE8,Avengers endgame must be release  in this year,UgwVsrrD5iPb2qUBWWp4AaABAg,2023-06-19T04:31:46Z,2023-06-19T04:31:46Z,0
6ZfuNTqbHE8,Mcu those days...,Ugzg6l8JbKaFBundqOl4AaABAg,2023-06-19T03:28:58Z,2023-06-19T03:28:58Z,1
6ZfuNTqbHE8,"I remember when I first watched this trailer in like December of 2017. I can’t believe it’s been almost 6 years, time flies.",UgwbZdqdiR9veo2bVh54AaABAg,2023-06-19T03:25:44Z,2023-06-19T03:25:44Z,0
6ZfuNTqbHE8,Imagine if YRF make such kind of a Pan Indian movie!!!!,UgxW0fPy0SkDyOK__at4AaABAg,2023-06-18T12:46:07Z,2023-06-18T12:46:07Z,1
6ZfuNTqbHE8,I was eagerly waiting for hulk in theatre 😢 but this trailer deceived me.,Ugyym1orxOO4UIAg95N4AaABAg,2023-06-18T08:33:53Z,2023-06-18T08:33:53Z,0
6ZfuNTqbHE8,"I watched this in the theater with my big sister. We’re in our 20s, but we are close and we always see the “big” movies that release in theaters. We were both blown away & I remember us being so upset about being left on a cliffhanger. We saw Endgame together as well and I cried at the end. Thank you Marvel for everything.",UgxtMNdcSVMgY980NXZ4AaABAg,2023-06-18T06:51:19Z,2023-06-18T06:51:19Z,1
6ZfuNTqbHE8,I see hulk there but in the movie I don't see him 😅,UgwDRIKH-GSIJ9P6kL54AaABAg,2023-06-18T03:52:04Z,2023-06-18T03:52:04Z,1
6ZfuNTqbHE8,Marvels never reaching this level again,UgyjjXSFpVP8RH02QKx4AaABAg,2023-06-18T01:20:27Z,2023-06-18T01:20:27Z,0
6ZfuNTqbHE8,"Good memories of what was,....before Disney destroyed it with ""phase 4"".
Here's hope to the annihilation of ESG, the people behind it, and anything that would try to take it's place.",Ugyfit-cTKxbbRehfFB4AaABAg,2023-06-17T16:36:43Z,2023-06-17T16:36:43Z,0
6ZfuNTqbHE8,2023 anyone,Ugzu6Zhi4GfyMk3X0vZ4AaABAg,2023-06-17T05:19:58Z,2023-06-17T05:19:58Z,0
6ZfuNTqbHE8,"I was thinking about Thanos' plan and realized he could have gotten away with *everything* if I stead of just erasing 1/2 of the population, he rewrote reality to where 1/2 the population never existed. No one would have stopped him because no one knew anyone was gone.",UgybOMQGp4z0USfWYyt4AaABAg,2023-06-17T02:08:28Z,2023-06-17T02:08:28Z,0
6ZfuNTqbHE8,One of the few times a movie lived up to the trailer.,Ugw6xDPtCWDen9RNCwZ4AaABAg,2023-06-17T00:34:16Z,2023-06-17T00:34:16Z,1
6ZfuNTqbHE8,Why hulk trailer he in first start he lost from thanos,Ugytby51Va23Z0IhrWh4AaABAg,2023-06-17T00:24:25Z,2023-06-17T00:24:25Z,0
6ZfuNTqbHE8,Endgame is better,UgyiEQ-3P4ehC97VHJJ4AaABAg,2023-06-17T00:24:00Z,2023-06-17T00:24:00Z,0
6ZfuNTqbHE8,How did we go from this to she-hulk and ms marvel? Please someone explain 😢,Ugxt9GcWj4kw1cliqJ94AaABAg,2023-06-16T22:35:51Z,2023-06-16T22:35:51Z,0
6ZfuNTqbHE8,1:07,Ugw_IDLjY_qxQCGiTG14AaABAg,2023-06-16T20:24:16Z,2023-06-16T20:24:16Z,0
6ZfuNTqbHE8,MARVEL,Ugw0Jrtz4Tk1fKGIdQJ4AaABAg,2023-06-16T17:13:34Z,2023-06-16T17:13:34Z,0
6ZfuNTqbHE8,Again 😍,UgxDNhxDArw2zm-_B3N4AaABAg,2023-06-16T16:06:26Z,2023-06-16T16:06:26Z,0
6ZfuNTqbHE8,You are great Marvel,UgxC0R5cGmhmabMhysF4AaABAg,2023-06-16T15:51:59Z,2023-06-16T15:51:59Z,0
6ZfuNTqbHE8,"sad but true: i just got emotional seeing this trailer, reminded me of how powerful the MCU was back then. im literally in tears, no movie trailer has ever felt so real 😭❤️",Ugy4p5fkoYvcpneGjjp4AaABAg,2023-06-16T14:16:37Z,2023-06-16T14:16:37Z,0
