Video ID,Comment ID,Published At,Updated At,Likes,Comment Text,predicted_label
r51cYVZWKdY,UgyRRC0PBH0aJiQCxZ94AaABAg,2023-06-27T08:37:03Z,2023-06-27T08:37:03Z,2,Don’t care what anyone says this movie was great 8.9/10,1
r51cYVZWKdY,UgxktpoQALOraoC6yLR4AaABAg,2023-06-26T17:50:36Z,2023-06-26T17:50:36Z,2,It's a masterpiece. Funny and touching at the same time❤,1
r51cYVZWKdY,Ugxns4-d-BGbXLJzDvB4AaABAg,2023-06-26T17:34:20Z,2023-06-26T17:34:20Z,1,I love this movie,1
r51cYVZWKdY,UgynqFIyNvnADII5jop4AaABAg,2023-06-26T12:35:46Z,2023-06-26T12:35:46Z,0,More woke woke garbage? Are you stupid? You want to lose swaths of customers over jamming your ideology down their throats? I want my money back for ruining a genre.,1
r51cYVZWKdY,Ugy2bCQxcuQkLYccYWt4AaABAg,2023-06-26T10:47:44Z,2023-06-26T10:47:44Z,0,Dublicate Batman,1
r51cYVZWKdY,Ugy4Ucz6L4MCt-d8Le14AaABAg,2023-06-26T08:56:56Z,2023-06-26T08:56:56Z,0,Don’t break the rules🎉,1
r51cYVZWKdY,Ugw3MRXyMroDOPaWIb14AaABAg,2023-06-26T08:55:33Z,2023-06-26T08:55:33Z,0,DARK FLASH IN SPEED FORCE AND FIGHT BARRY ALLEN,1
r51cYVZWKdY,UgypGEK2V1uf6-esDTp4AaABAg,2023-06-26T02:33:11Z,2023-06-26T02:33:11Z,0,maybe change the actor .....,1
r51cYVZWKdY,UgyvbivCne3HY5bD0yR4AaABAg,2023-06-25T22:42:57Z,2023-06-25T22:42:57Z,0,Sad they wasted Keaton’s return on the lowest performing DC movie ever. Talk about dropping the ball,1
r51cYVZWKdY,UgzZTjIluG134yKai_Z4AaABAg,2023-06-25T22:07:40Z,2023-06-25T22:07:40Z,0,This looks really freaking terrible.,1
r51cYVZWKdY,UgzPRFivkwfIL4Tqp5p4AaABAg,2023-06-25T21:52:47Z,2023-06-25T21:52:47Z,0,Seems like the director of this fecalfilm will fk up ATTACK ON TITAN,1
r51cYVZWKdY,Ugy0feZoYVKC148ndFh4AaABAg,2023-06-25T21:14:57Z,2023-06-25T21:20:19Z,0,"Anyone who goes to see this movie goes to see batman or for supergirl, nobody goes there for flash lol",1
r51cYVZWKdY,UgxDMOVdYQocoVMB-Rl4AaABAg,2023-06-25T21:07:50Z,2023-06-25T21:08:21Z,0,Batman never had a chance against Zod,1
r51cYVZWKdY,UgxMav-G4ppfvlsBwGR4AaABAg,2023-06-25T20:24:06Z,2023-06-25T20:24:06Z,0,Name the Music?,1
r51cYVZWKdY,UgwZodukIuOvkfhQfjF4AaABAg,2023-06-25T16:46:34Z,2023-06-25T16:46:34Z,4,You know a Movie is good when you come back to the Trailers.,1
r51cYVZWKdY,Ugx-1VvymkHYoy6_bZh4AaABAg,2023-06-25T15:57:41Z,2023-06-25T15:57:41Z,2,@dccomics you let us down,1
r51cYVZWKdY,UgznoN_hmCxJcygZ6Rl4AaABAg,2023-06-25T14:30:53Z,2023-06-25T14:30:53Z,0,"Seen in:
Guardians of the Galaxy Vol. 3
Fast X (select prints)
Spider-Man: Across the Spider-Verse
Transformers: Rise of the Beasts (select prints)",1
r51cYVZWKdY,UgyS1F9Gl224_MldLHt4AaABAg,2023-06-25T09:15:30Z,2023-06-25T09:15:30Z,1,"Bro,just casually copied Barry Allen's story😢",1
r51cYVZWKdY,UgzksPyt3u_8Olje5b14AaABAg,2023-06-25T05:40:08Z,2023-06-25T05:40:08Z,0,This movie feels like you are having a crazy nice rock n roll trip with grandpa and your best friends,1
