Video ID,Comment ID,Published At,Updated At,Likes,Comment Text,predicted_label
ue80QwXMRHg,Ugx7yFhZijwYLBupE9p4AaABAg,2023-06-24T06:21:05Z,2023-06-24T06:21:05Z,0,This movie ruined Thor's character,1
ue80QwXMRHg,Ugy9NJPgfuHZL6HWHJJ4AaABAg,2023-06-23T21:10:10Z,2023-06-23T21:10:10Z,0,iwanmanjah like look Thor movie iwan manjah fans Marvel iwan manjah from Malaysia,1
ue80QwXMRHg,Ugy6Op9wAtygkORSwqR4AaABAg,2023-06-16T18:33:36Z,2023-06-16T18:33:36Z,0,"This is probably the best trailer ever. The movie is great too, though.",1
ue80QwXMRHg,Ugy1JA6taYJ5qwPVVwl4AaABAg,2023-06-07T20:41:33Z,2023-06-07T20:41:33Z,2,It’s been 5 years and the lighting scene always gives me goosebumps.,1
ue80QwXMRHg,UgyN9OMUbjkoLzAqYAx4AaABAg,2023-06-07T06:51:29Z,2023-06-07T06:51:29Z,5,I can't believe Ragnarok and Love and thunder are directed by same director 😂😂😂😂,1
ue80QwXMRHg,Ugxf3jbMU24LhnlJG9J4AaABAg,2023-06-05T12:12:06Z,2023-06-05T12:12:06Z,0,Those times 🥳🥳we have something to show our childrens😂,1
ue80QwXMRHg,UgxlfZGVq_q8NdBNWUB4AaABAg,2023-06-04T01:28:01Z,2023-06-04T01:28:01Z,1,all i can think about is hotline miami,1
ue80QwXMRHg,Ugzuc9C7Sy-w54q6xV14AaABAg,2023-06-03T22:53:15Z,2023-06-03T22:53:15Z,1,great trailer,1
ue80QwXMRHg,UgxDQ0c6QojBHvFE1lN4AaABAg,2023-05-31T17:06:37Z,2023-05-31T17:06:37Z,2,Anyone know that song from hotline miami 2?,1
ue80QwXMRHg,UgzGmsw49uBUaxMqxpl4AaABAg,2023-05-23T15:27:20Z,2023-05-23T15:27:20Z,2,Aw I miss this. The best thor movie,1
ue80QwXMRHg,UgzBKNY9YbK2L3dCovZ4AaABAg,2023-05-23T13:11:16Z,2023-05-23T13:11:16Z,0,wow,1
ue80QwXMRHg,UgzdMyPDDb5AWwmTUBV4AaABAg,2023-05-22T18:02:42Z,2023-05-22T18:02:42Z,1,R.I.P. Volstagg,1
ue80QwXMRHg,UgyK7baOYGOuq15Wyep4AaABAg,2023-05-11T20:21:33Z,2023-05-11T20:21:33Z,7,"what the actual f*** they used IN THE FACE OF EVIL from Hotline Miami 2 and I notice this now, 5 years later",1
ue80QwXMRHg,UgzyrsGrBq-70FT5mE54AaABAg,2023-05-08T20:03:54Z,2023-05-08T20:03:54Z,2,Thank you marvel .,1
ue80QwXMRHg,Ugw5YJlmibooYuQst1R4AaABAg,2023-05-04T13:08:06Z,2023-05-28T06:01:56Z,6,"This trailer still hits. The music choice and the vibes just perfect, sad LaT was a downgrade",1
ue80QwXMRHg,UgyVO_Gi2maR5dz-JiB4AaABAg,2023-04-28T12:04:43Z,2023-04-28T12:04:43Z,6,Peak,1
ue80QwXMRHg,UgxCsk_xAYNekcFHAZ14AaABAg,2023-04-27T20:46:23Z,2023-04-27T20:46:23Z,4,DO YOU LIKE HURTING OTHER PEOPLE?,1
ue80QwXMRHg,UgzE8PxBIhdbgl-KteJ4AaABAg,2023-04-26T07:17:24Z,2023-04-26T07:17:24Z,3,OMG HOTLINE MIAMI,1
ue80QwXMRHg,UgxvvPaDg0WBYCGBLN54AaABAg,2023-04-24T13:27:56Z,2023-04-24T13:27:56Z,4,Hulk is great,1
ue80QwXMRHg,UgzQmT9iMwkJykXdD0l4AaABAg,2023-04-22T16:31:04Z,2023-04-22T16:31:04Z,2,Does anyone know the name of the score used for the trailer?,1
ue80QwXMRHg,UgzmlSCP7hf7YI-ZtnZ4AaABAg,2023-04-19T18:35:57Z,2023-04-19T18:35:57Z,0,El trailer fue bueno pero la peli....chistes cada 3 segundos y para colmos son chistes malos,1
ue80QwXMRHg,UgyJBkcaLhIxFYzmpo54AaABAg,2023-04-19T03:36:07Z,2023-04-19T03:36:07Z,2,marvel lo hizo de nuevo,1
ue80QwXMRHg,UgwQVpY2qM4TgVeRmL14AaABAg,2023-04-17T22:23:18Z,2023-04-17T22:23:18Z,1,Still one of the best movie of Marvel,1
ue80QwXMRHg,UgwVlH9VijDX2A0UGUx4AaABAg,2023-04-16T12:41:42Z,2023-04-16T12:41:42Z,4,The hype was insane . Felt myself getting charged in the theatre .,1
ue80QwXMRHg,UgzXfFg6_Pz0dOqRpxR4AaABAg,2023-04-16T03:15:47Z,2023-04-16T03:15:47Z,2,"Loki and Hela 
1 Look same
2 Play with knives 
3 Same hair
4 Wear green
Banner to thor: are you sure you are not the adopted one?😂😂",1
ue80QwXMRHg,UgxOVtG7JOz0hmRFTVp4AaABAg,2023-04-13T11:19:59Z,2023-04-13T11:19:59Z,0,Peak❤,1
ue80QwXMRHg,UgxYl9wmL-padVEbLtd4AaABAg,2023-04-13T10:17:38Z,2023-04-13T10:17:38Z,0,There cannot be a better movie than this. 💖🔥🔥🔥🔥👊😎🎉🎉🎉,1
ue80QwXMRHg,Ugz3qTTw2im0pGZTv0J4AaABAg,2023-04-12T18:19:02Z,2023-04-12T18:19:02Z,2,hotline miami 2 best ost,1
ue80QwXMRHg,UgyDHb3OKCL4eSdYyjN4AaABAg,2023-04-12T07:42:23Z,2023-04-12T07:42:31Z,0,Tyler Rake Chris Hemsworth is the Best superhero in the history,1
ue80QwXMRHg,Ugwfk48txhRFGHW6tgV4AaABAg,2023-04-07T22:43:46Z,2023-04-07T22:43:46Z,2,HOTLINE MIAMI IS REAL!!!,1
ue80QwXMRHg,UgwvKiiSFo3IGisSd4V4AaABAg,2023-04-07T07:32:43Z,2023-04-07T07:32:43Z,2,OMG ITS THIS SONG I DIDNT REALIZE,1
ue80QwXMRHg,UgwuN3S8gIWxCfK2MzZ4AaABAg,2023-03-31T17:29:43Z,2023-03-31T17:29:43Z,2,Want a movie on father Odin and Godess of death,1
ue80QwXMRHg,UgzMywJMGB33XX1O1BR4AaABAg,2023-03-30T00:18:29Z,2023-03-30T00:18:29Z,2,Never thought a hotline miami ost would be used for a marvel movie trailer lol,1
ue80QwXMRHg,Ugwb69vOfvstPbW9Cj54AaABAg,2023-03-29T04:25:22Z,2023-03-29T04:25:22Z,2,"The MCU had references to the actual Norse Mythology myths and a different version of Ragnarök. I am going to inform you of a myth called ""Creation, Destruction, and Rebirth"". The myth involves a lot of characters in this movie, but most of their names and relationships are different. The biggest one for me is Hela. Hela in CDR myth is still the goddess of death, but her real name is Hel, and she is the ruler of Helheim (not associated with her name and Christianity's ""Hell"" has no connection with Helheim or Hel's name). In CDR, Hel is actually Loki's daughter. Loki had three children, Hel, Fenrir (the wolf), and Jormungandr (the World Serpent that surrounds itself around Midgard and Jotunheim (realm of the giants)(not actually the realm of the frost giants, those actually live in Niflheim). Surtur is CDR is actually just ""Surt"", but he still has his flaming sword and still plays a big part in Ragnarök. Ragnarök in CDR consisted of multiple battles between different people, so much death, and everything ends. Odin fights Fenrir, Fenrir swallows Odin whole, but a great soldier named Vidar will rip Fenrir's jaws apart and kill it. Loki and Heimdall fight each other in an epic battle, and they both end up killing each other. Thor fights Jormungandr, Thor slays down Jormungandr, but the venom of the World Serpent kills Thor. Surt fights Frey (NOT Frigga)(Frey is the child of Njord, sibling of Freya (still not Frigga)) but Surt slays her down. Surt unleashes his flaming sword upon the nine realms, and Surtur destroys almost everything and everyone, but a few people live. Thor's children (Modi and Magni) will live on what used to be Asgard along with Vidar and Vali. Thor's brother (Balder) will return to Asgard from Helheim (Previously killed by Loki) and join them at Asgard. 
In CDR, the people of Asgard aren't actually called Asgardians, they are called ""Aesir"". The Bifrost is in CDR, but it can ONLY be used to go between Asgard and Midgard, and ONLY GODS can travel along it, human CAN NOT use the Bifrost. In Thor: The Dark World, Jane Fosters plot armor was so thick that she denied Norse Mythology. 

I think I explained enough. If you have any questions, feel free to reply to my comment.",1
ue80QwXMRHg,Ugx-N66UI-P6lWw0cyt4AaABAg,2023-03-24T03:42:58Z,2023-03-24T03:42:58Z,0,Hulk vs Thor fight was good,1
ue80QwXMRHg,UgyFxRRNolUxdhDLmxt4AaABAg,2023-03-20T23:21:52Z,2023-03-20T23:21:52Z,2,"Is it just me or has this film aged badly?  I mean sure at the time it was amusing, but after love and thunder it's become annoying",1
ue80QwXMRHg,Ugy-B6MVCnWDITBfHvN4AaABAg,2023-03-17T12:46:43Z,2023-03-17T12:46:43Z,6,THIS MOVIE IS 10000000% BETTER THAN THOR LOVE AND THUNDER ⚡. HOPE WE IN THE NEXT MOVIE COULD WATCH THOR BE A REAL BADASS ELECTRIFYING THOR AGAIN⚡⚡⚡,1
ue80QwXMRHg,UgwGkRaQ7Mz6RtyJo4J4AaABAg,2023-03-17T05:49:17Z,2023-03-17T05:49:17Z,6,"I miss this Thor 😢
Now he is just a joke 😑",1
ue80QwXMRHg,UgysQBPDmMfjrLHgWXx4AaABAg,2023-03-14T17:39:31Z,2023-03-14T17:39:31Z,0,Death wish feelings,1
ue80QwXMRHg,UgxAd0vV7SHVBGsIh8F4AaABAg,2023-03-13T23:04:36Z,2023-03-13T23:04:36Z,0,Mint movie,1
ue80QwXMRHg,Ugz9-8IGa46a0hvDWQx4AaABAg,2023-03-10T08:50:48Z,2023-03-10T08:50:48Z,1,😊,1
ue80QwXMRHg,UgzXA9G-NTGcI2l53Zl4AaABAg,2023-03-10T07:29:10Z,2023-03-10T07:29:10Z,2,10/10 from me,1
ue80QwXMRHg,UgxholQuNAxBpp_cNdt4AaABAg,2023-02-28T07:39:20Z,2023-02-28T07:39:20Z,3,Il migliore film di thor,1
ue80QwXMRHg,Ugx4eoG3HfWTQajZSap4AaABAg,2023-02-24T14:41:13Z,2023-02-24T14:41:13Z,4,"This is supposed to be a Marvel movie

Why did the music turn it into Hotline Miami? 😭",1
ue80QwXMRHg,UgxlPt3BirV8ODre2T94AaABAg,2023-02-19T07:10:18Z,2023-02-19T07:10:18Z,3,0:25 Stranger Things song,1
ue80QwXMRHg,Ugz4bEoWSM-XIJQV3G94AaABAg,2023-02-16T13:51:02Z,2023-02-16T13:51:02Z,0,0:26,1
ue80QwXMRHg,UgzAHRfkMvFu81P5ykR4AaABAg,2023-02-15T05:30:35Z,2023-02-15T05:30:35Z,4,This movie will always feel like a Hulk movie to me instead of a Thor movie. Primarily because it’s the last time we saw the real Hulk. And it sure focuses on him a lot. He was also developed a bit better. Thor was always determined but Hulk had a much more interesting journey in my opinion.,1
