Video ID,Comment ID,Published At,Updated At,Likes,Comment Text,label,confidence
ZlNFpri-Y40,UgzvCw3PAEu3iHzIC2F4AaABAg,2023-06-27T10:50:31Z,2023-06-27T10:50:31Z,0,I love to see Ant-Man and the wasp together❤😊,NON_HATE,0.8627429008483887
ZlNFpri-Y40,UgwtiRxzmuQ4vAxxzNN4AaABAg,2023-06-25T22:54:58Z,2023-06-25T22:56:08Z,3,"I just watched the movie and it was a 3/10 what the hell has happened to Marvel, current marvel is @ss pathetic storyline, pathetic plots, pathetic villains “Kang” the conqueror 🤡 poor dialogues, annoying characters etc DC is million times better than current MCU !",NON_HATE,0.8491946458816528
ZlNFpri-Y40,UgyGfRwTP100cx6zqPB4AaABAg,2023-06-24T10:51:28Z,2023-06-24T10:51:28Z,0,I will do it for KANG,NON_HATE,0.9189070463180542
ZlNFpri-Y40,UgzTE3KuXYh74EgAvAV4AaABAg,2023-06-23T14:23:05Z,2023-06-23T14:23:05Z,3,Too bored,NON_HATE,0.9737885594367981
ZlNFpri-Y40,Ugx-BlqEwCMcfz51K4N4AaABAg,2023-06-19T20:20:36Z,2023-06-19T20:20:36Z,15,Whoever came up with the song and the trailer deserve a big raise.,NON_HATE,0.9756802320480347
ZlNFpri-Y40,Ugzq9tFCyk1QBsSrDaZ4AaABAg,2023-06-19T20:17:35Z,2023-06-19T20:17:35Z,2,"Oh yes this trailer, the good old ""bait and switch"" tactic.",NON_HATE,0.9630647301673889
ZlNFpri-Y40,UgyZrmLVpcPm9_RSpHZ4AaABAg,2023-06-19T17:44:40Z,2023-06-19T17:44:40Z,0,"Next part waiting its brilliant & fabulous movie ant man Ant-Man and the Wasp: Quantumania  look feel like real world waiting nxt part same actor, actresses, father, mom, casssey marvelous marvel studio 👌👌",NON_HATE,0.9328972101211548
ZlNFpri-Y40,UgwbMnfeiuWXpWSlyiV4AaABAg,2023-06-19T01:13:59Z,2023-06-19T01:13:59Z,3,Don't even get me started on this one. Just pure garbage. Marvel have gone downhill big time since Endgame. Their only major hit since was No Way Home and that was Sony.,NON_HATE,0.9260293245315552
ZlNFpri-Y40,UgzsF0b2fkXeagyYwBN4AaABAg,2023-06-18T11:28:00Z,2023-06-18T11:28:00Z,1,The movie was below average,NON_HATE,0.9737826585769653
ZlNFpri-Y40,Ugx6510xN7Xps-sBU_J4AaABAg,2023-06-17T23:45:03Z,2023-06-17T23:45:03Z,0,The story is Tron legacy.,NON_HATE,0.9773067831993103
ZlNFpri-Y40,UgxqTY2BpfEKtyfgky14AaABAg,2023-06-17T20:55:08Z,2023-06-17T20:55:08Z,2,When the trailer is a 11/10 but the movie is a 6/10😭,NON_HATE,0.965226948261261
ZlNFpri-Y40,UgwcSOxzfLshncnzWeF4AaABAg,2023-06-17T02:37:02Z,2023-06-17T02:37:02Z,0,Jumanji quantumania,NON_HATE,0.9716079235076904
ZlNFpri-Y40,UgyKostbyppuMRnxRHR4AaABAg,2023-06-16T17:24:19Z,2023-06-16T17:26:55Z,2,"Honestly, this movie was a complete waste of Kang, imo. 
Kang literally said that he has killed multiple Avengers so what makes Scott Lang any different.
I'm a fan of Ant-man but at the end of the day, all he does is shrink and somehow that's enough to take down Kang?  

This should've been the Avengers vs This Kang. I feel lile this film didn't do him justice. At some point, i was actually hoping that Kang wins and takes over Earth 616, at least that would've been better.

Anyway, this movie wasn't horrendous. Whatever Janet was hiding wasn't that deep at all actually and i hated how Cassie had literally no sense of awareness especially when it came to consequences for her actions. Anyway, Kang carried this movie along with those other Quantum People. His performance was amazing and i loved his suit. I do feel that for someone so powerful, he could've done more to fight Scott in that final scene. The scenery was absolutely stunning for this movie, and i loved Jentorra's character.",NON_HATE,0.9303154349327087
ZlNFpri-Y40,UgzA54LSqeGHS5BvNh54AaABAg,2023-06-16T04:35:47Z,2023-06-16T04:35:47Z,3,Spy kids 5 looks lit,NON_HATE,0.9734199643135071
ZlNFpri-Y40,UgzkbxorxTJHpDSh1OF4AaABAg,2023-06-15T06:34:19Z,2023-06-15T06:34:19Z,1,Hire the editors for the trailer and make them do the movie instead..,NON_HATE,0.9738812446594238
ZlNFpri-Y40,UgxKAenJtbG5apjbuox4AaABAg,2023-06-14T21:07:21Z,2023-06-14T21:07:21Z,0,"Umm wait, isn't the Wasp supposed to be black 🤔 just asking for a friend",HATE,0.5120186805725098
ZlNFpri-Y40,UgyeU78t0Uh6rWy8DGZ4AaABAg,2023-06-14T15:18:11Z,2023-06-14T15:18:11Z,2,I felt like I'm watching a Star Wars movie series ..!,NON_HATE,0.9700217247009277
ZlNFpri-Y40,UgxZPm86zsucSz6l15R4AaABAg,2023-06-12T06:23:38Z,2023-06-12T06:23:38Z,0,the movie was amazing,NON_HATE,0.975376307964325
