Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
UUkn-enk2RU,UgxZRJzJwPaMZ6jEgaR4AaABAg,2023-06-25T03:37:08Z,2023-06-25T03:37:08Z,0,All the Ant man and Wasp movie is best movie in MCU 😊😊
UUkn-enk2RU,Ugx5QixnqFDMLg4GJYp4AaABAg,2023-04-28T01:01:18Z,2023-04-28T01:01:18Z,0,See you
UUkn-enk2RU,UgwSGI87f_nFMB_xjch4AaABAg,2023-04-03T07:06:36Z,2023-04-03T07:06:36Z,2,"R.I.P. Anthony the Ant,  you will forever be remembered."
UUkn-enk2RU,UgxhPaDWkHZq9YAzjUl4AaABAg,2023-03-31T04:03:11Z,2023-03-31T04:03:11Z,1,“We robbed you”😭😭😭😭😭😭😭😭
UUkn-enk2RU,Ugyin0GvDo3owDU05794AaABAg,2023-03-12T16:21:30Z,2023-03-12T16:21:30Z,0,😂FBI is world worst intelisent agency 😂😂
UUkn-enk2RU,Ugz8mCWC1j29CJQeQ0V4AaABAg,2023-02-24T10:33:23Z,2023-02-24T10:33:23Z,4,How come these two masterpiece of ant man movies becomes such a big mess is the third one
UUkn-enk2RU,UgwzIslptHe0yj-eeDF4AaABAg,2023-02-19T18:05:49Z,2023-02-19T18:05:49Z,2,I really liked the first Ant Man movie but i was really looking forward to this one until i saw this trailer it instantly became one of my most anticipated movies in 2018 and it didn't disappoint especially with the humor which mostly has gotten on my nerves in the mcu since phase 2 ...i loved Thor Ragnarok but it was just too much humor where it was hard to take the destruction of Asgard seriously and it maybe my biggest complaint with the MCU is it's so humorous most of the time it makes it hard to feel any kind of tension in serious situations...Ant Man though is scaled down and the stakes aren't as high so i can take more of the humor...it's crazy how on point the MCU was for 11 years and like 23 movies...its sad seeing it fall to pieces and with Quantumania just releasing and getting the worse reviews of the mcu i don't know how much longer the MCU will be around but fingers crossed they bring it back together cuz I'm a lifelong major Marvel fan but even if they don't they've already done the impossible and i love the riskier movies they've made like Ant Man and Guardians but Ant Man has that down to earth feeling that hasn't been around really since phase 1..this is a Full Price of a movie for me
UUkn-enk2RU,UgyIQO-HH28tXDygUQh4AaABAg,2023-02-18T07:15:59Z,2023-02-18T07:15:59Z,1,Looking forward to seeing Quantumania in Feb 2023.
UUkn-enk2RU,Ugy4VzJecyfjJLdn-Pl4AaABAg,2023-02-06T18:34:47Z,2023-02-06T18:34:47Z,4,This feels like a lifetime ago.
UUkn-enk2RU,UgyQ2WJ5uADwMIdd3uN4AaABAg,2023-02-06T07:39:38Z,2023-02-06T07:39:38Z,3,miss these days
UUkn-enk2RU,UgxamluG_bgPTMRYsL54AaABAg,2023-01-23T04:23:02Z,2023-01-23T04:23:02Z,3,"Going back to this trailer. Great trailer, great movie...."
UUkn-enk2RU,UgyKLUPvDIcUn6dRFTh4AaABAg,2023-01-22T23:29:56Z,2023-01-22T23:29:56Z,2,"what a bad hair cut have lilly in the new movie antman :( , looks like a men .."
UUkn-enk2RU,UgwG1CdtiSp9Ws98eP14AaABAg,2023-01-13T03:59:06Z,2023-01-13T03:59:06Z,1,5 inches
UUkn-enk2RU,UgwCAOqYdJHZ24C6QDd4AaABAg,2023-01-11T23:55:29Z,2023-01-11T23:55:29Z,1,Love this movie Paul Rudd and Evangeline Lilly
UUkn-enk2RU,UgzrxZcM-_eQ9U9hZBR4AaABAg,2023-01-11T17:25:41Z,2023-01-11T17:25:41Z,2,Who's here after the quantumania trailer
UUkn-enk2RU,UgyUCyQzqloypud-wAt4AaABAg,2023-01-10T03:27:45Z,2023-01-10T03:27:45Z,4,Here after Quantumania trailer dropped
UUkn-enk2RU,UgyqZIcDQ7Xl8JBYZs54AaABAg,2023-01-09T08:10:24Z,2023-01-09T08:10:24Z,2,I LOVE THIS MOVIE SO MUCH!!!!!! I'M SOOOOOO EXCITED FOR QUANTUMANIA!!!!!!
UUkn-enk2RU,UgwvkLivoFXMTlumxed4AaABAg,2022-12-28T07:54:16Z,2022-12-30T10:02:10Z,3,"Ant man 1 and ant man and the wasp 2 will streaming it on Disney plus original, with marvel movie. Thanks marvel studios what you did it this on Disney plus original like captain America the winter soldier, doctor strange 1 with Thor 4 love and thunder for ant man and the wasp 2."
UUkn-enk2RU,Ugwd_zCkTnUae1xXvd94AaABAg,2022-12-26T07:27:50Z,2022-12-26T07:27:50Z,0,Underrated franchise 😔
UUkn-enk2RU,UgzIeDdiizh20ou5eZ14AaABAg,2022-12-19T17:29:45Z,2022-12-19T17:29:45Z,25,this movie is underrated asf I'm not gonna lie
UUkn-enk2RU,UgzIV7fqJvRrJHUKALd4AaABAg,2022-11-14T12:04:58Z,2022-11-14T12:04:58Z,0,music title name plz
UUkn-enk2RU,UgxZPt3mZYPtDxQNGVZ4AaABAg,2022-11-02T10:25:50Z,2022-11-02T10:25:50Z,0,🥰🤩
UUkn-enk2RU,UgzNCql6Klxczp7bJQl4AaABAg,2022-10-25T02:44:58Z,2022-10-25T02:44:58Z,1,Here from the atrocious Quantumania cgi. What happened to Marvel? Where are the standards?
UUkn-enk2RU,UgzzRp-p7MYvRNEH5Mt4AaABAg,2022-10-24T19:11:20Z,2022-10-24T19:11:20Z,2,Who got this recommended after quantomania trailer came out?
UUkn-enk2RU,UgzjHo4gBeHKgbfccqF4AaABAg,2022-10-24T17:06:23Z,2022-10-24T17:06:55Z,1,ahahaha who would've believe.. not me
UUkn-enk2RU,Ugy06WoLWfaaY_kHJkV4AaABAg,2022-10-17T20:03:36Z,2022-10-17T20:03:36Z,1,Ant man could end up being a hidden gem (people are sleeping on these moves.........I really enjoyed both of them and can’t wait for the 3rd movie!
UUkn-enk2RU,Ugx-pOIwrjdooA4zLcV4AaABAg,2022-09-12T06:32:25Z,2022-09-12T06:32:25Z,1,Trash movie
UUkn-enk2RU,Ugym3JlaRPJnDKMroip4AaABAg,2022-08-27T18:16:51Z,2022-08-27T18:18:56Z,3,"I think the combination of a *cute couple + 3 goofy friends + aged man like dr. Pimp* ,  is always a complete package ❤️. Ant man theme still remains my favourite movie despite the fact that it might not be the best movie of MCU"
UUkn-enk2RU,UgwDGZ0OCaw7wCWEsLh4AaABAg,2022-08-08T19:07:45Z,2022-08-08T19:35:07Z,2,We have just Thor captain America avengers they aren't Thor and or avengers and so and so forth he went from a stand alone name in the first one to now it's  Ant-Man and the wasp so not really Ant-Man exactly he technically doesn't have his own movies since it's him and someone else but yeah I actually really like these movies very much he is pretty underrated I think it was when they were fighting earlier they called ghost a he I think like uh you can't tell it's a girl lol
UUkn-enk2RU,UgzqSD4k9QEc96B_UsJ4AaABAg,2022-07-25T06:06:32Z,2022-07-25T06:06:32Z,2,Ant-Man Quantumania teaser brought me here
UUkn-enk2RU,UgwNzo0L3EZFsyFjy2J4AaABAg,2022-07-24T16:37:51Z,2022-07-24T16:37:51Z,2,Loved both Antman films.
UUkn-enk2RU,UgxKcGkCp-Zcw9-J41J4AaABAg,2022-07-24T13:31:26Z,2022-07-24T13:31:26Z,1,"Honestly guys,Its been hell of a 4 years and i never new their was a ant-man 2 seriously. I watched each and every marvel movie but this."
UUkn-enk2RU,Ugytvi7Ja-k4jlb_vx54AaABAg,2022-07-23T00:07:14Z,2022-07-23T00:07:14Z,0,The hate that this awesome movie gets is unjustified
UUkn-enk2RU,UgzLw3fPqE-ZrIG9Bnl4AaABAg,2022-06-26T20:02:25Z,2022-06-26T20:02:25Z,2,"great movie, great trailer, great song!"
UUkn-enk2RU,UgysfJyNrzz8RK2dWZ14AaABAg,2022-06-18T00:54:44Z,2022-06-18T00:54:44Z,2,I'm black
UUkn-enk2RU,UgzNe1-i--HC_uV_U914AaABAg,2022-05-27T22:52:46Z,2022-05-27T22:52:46Z,0,ああ
