Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
TcMBFSGVi1c,UgyXRRAydlsoz4xLYT54AaABAg,2023-06-27T07:11:17Z,2023-06-27T07:11:58Z,0,"The times to be alive for marvel fans 
I want marvel to be good again that's all I want just like guardians 3 (I haven't watched it yet I'm watching it in theaters)I'm glad guardians 3 was a success to show marvel we want more movies like that😢"
TcMBFSGVi1c,UgzB7JXwnVyObExh2_l4AaABAg,2023-06-26T23:55:39Z,2023-06-26T23:55:39Z,1,crying
TcMBFSGVi1c,UgzTObJ-NKThkz4qjH54AaABAg,2023-06-26T13:55:46Z,2023-06-26T13:56:17Z,1,It Gives me the chill 🥶
TcMBFSGVi1c,UgzrmNC3zCd7uXOB1gV4AaABAg,2023-06-26T13:19:15Z,2023-06-26T13:19:15Z,2,Don't do that don't give me hope
TcMBFSGVi1c,Ugx14Djq8DBRdQyfOFd4AaABAg,2023-06-26T12:26:13Z,2023-06-26T12:26:13Z,2,Kinda crazy howlittle spoilers this has in it
TcMBFSGVi1c,Ugwye32l_0MIaG28hVF4AaABAg,2023-06-26T06:32:00Z,2023-06-26T06:32:00Z,1,We need a Thanos in India. In a populated country Thanos knows better than government what to do
TcMBFSGVi1c,UgyQj_twqghM8n9lgdB4AaABAg,2023-06-25T18:07:42Z,2023-06-25T18:07:42Z,2,"HOLD UP

HOW MANY YEARS AGO???????"
TcMBFSGVi1c,UgyC769_F6E-Lbux_OB4AaABAg,2023-06-25T14:11:18Z,2023-06-25T14:11:18Z,4,Anybody watching this masterpiece in 2023
TcMBFSGVi1c,Ugwyh33f00X4hgvELU54AaABAg,2023-06-25T12:13:33Z,2023-06-25T12:13:33Z,1,Bro I feel like it’s still 2019 seeing this trailer
TcMBFSGVi1c,Ugx8ETS8nLYIO2sYlHh4AaABAg,2023-06-25T07:02:11Z,2023-06-25T07:02:11Z,2,Hi...2023🙂
TcMBFSGVi1c,UgyXpPR_aI2E7JfTnJZ4AaABAg,2023-06-25T07:00:12Z,2023-06-25T07:00:12Z,2,"Today is 2023, iam still watvhing this"
TcMBFSGVi1c,UgxpdupYJPIBpTKmpNp4AaABAg,2023-06-25T02:31:06Z,2023-06-25T02:31:06Z,1,"I cried,I cried alot"
TcMBFSGVi1c,UgyKC6_-6JOBrxwlFoV4AaABAg,2023-06-24T21:53:06Z,2023-06-24T21:53:06Z,0,Lol why did YouTube recommend this 4 years later anyways I love this movie and wish I would’ve been able to see it in theaters such and amazing film and I need to rewatch it
TcMBFSGVi1c,Ugz_Z79isckT5BzaNPF4AaABAg,2023-06-24T20:53:29Z,2023-06-24T20:53:29Z,0,"No, no...I need another one.....I NEED another NOW"
TcMBFSGVi1c,UgwLWjMp49Yi8gLQubp4AaABAg,2023-06-24T14:49:25Z,2023-06-24T14:49:25Z,5,it’s been 4 years already huh
TcMBFSGVi1c,Ugw6lOgCBllt5sxFTsV4AaABAg,2023-06-24T14:47:11Z,2023-06-24T14:47:11Z,1,Where has the time gone? 😭😭😭
TcMBFSGVi1c,UgxI1mv_D-gF1w9SEKl4AaABAg,2023-06-24T08:49:36Z,2023-06-24T08:49:36Z,2,I love u 3000times
TcMBFSGVi1c,UgxpkrWUhz0IQQl9gjR4AaABAg,2023-06-24T06:50:10Z,2023-06-24T06:50:10Z,1,Still giving goosebumps😬😬😬😬
TcMBFSGVi1c,Ugyn43O66s65xoBnm6V4AaABAg,2023-06-23T23:11:27Z,2023-06-23T23:11:27Z,3,I liked Scarlett Johansson in this Movie and she was acting very well in the Movie not gonna lie.
TcMBFSGVi1c,Ugx9jLvRXs_zhIZtTrV4AaABAg,2023-06-23T16:15:23Z,2023-06-23T16:15:23Z,0,The peak of MCU ❤
TcMBFSGVi1c,UgwbgozJq41tYOpH1c94AaABAg,2023-06-23T15:54:40Z,2023-06-23T15:54:40Z,1,1:40 The way they synced up her gunshots with the beats of the music is just perfection.
TcMBFSGVi1c,UgyjUXbWIrUsedrh9Qp4AaABAg,2023-06-23T11:39:37Z,2023-06-23T11:39:37Z,0,Even though this movie came out years ago i still have goosebumps 🥶🥶
TcMBFSGVi1c,UgyCnG_LBwqtPmWCa5F4AaABAg,2023-06-23T09:52:04Z,2023-06-23T09:52:04Z,1,NO WAY THIS WAS FOUR YRS AGO
TcMBFSGVi1c,UgyQ2Ka4BYot6Y3oZBJ4AaABAg,2023-06-23T09:14:52Z,2023-06-23T09:14:52Z,0,MCU at it’s absolute peak here
TcMBFSGVi1c,Ugz6mLImVaaneY2vlzt4AaABAg,2023-06-23T04:39:34Z,2023-06-23T04:39:34Z,2,"I can’t believe this was 4+ years ago, I still remember going from theater to theater rewatching the movie"
TcMBFSGVi1c,UgzOLeQsmPmE4IN6r5p4AaABAg,2023-06-23T01:26:42Z,2023-06-23T01:26:42Z,1,"I think the more of MCU fans in here tends to give a slack on the DCEU
For you guys who don't see the good things first in DC movies, you tend to be reactive always
Comparing the MCU movies with that of the DC is just like comparing an iphone and Samsung Galaxy which in sense the iphone is more liked by people world wide due to the design, the structure, the contents, the sleek body nature and stuff s like that, that's what the MCU looks like,a good masterpiece with contents and stories to keep people teased and relaxed.
The Samsung Galaxy is a phone of it's own with less popularity than the iphone but has a compact and blockbuster content filled with energy, that's the DC,
Not too many talking points but the actions and the darkest parts, twisted storylines that makes it one in a million."
TcMBFSGVi1c,UgxPuerVBfn1AYZJuiR4AaABAg,2023-06-22T19:03:55Z,2023-06-22T19:03:55Z,1,i.............Iron Man😢
TcMBFSGVi1c,UgwiIuPPDWjnmWqFT0h4AaABAg,2023-06-22T06:54:56Z,2023-06-22T06:54:56Z,0,"In my recommendations, at this time? I remember this war, I'm ready for the next."
