Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
0WWzgGyAH6Y,UgwAu54ojJmpPo3D7NV4AaABAg,2023-06-25T21:52:38Z,2023-06-25T21:52:38Z,1,"You know a movie is awesome, when you came back to the trailer after watching it."
0WWzgGyAH6Y,UgwZXmS5vB9P0P74GIx4AaABAg,2023-06-25T03:35:41Z,2023-06-25T03:35:41Z,2,BvS Ultimate Edition Is Best Comic book movie ever made in dc history 🔥
0WWzgGyAH6Y,UgyZoatf6szAr72LKRp4AaABAg,2023-06-25T03:35:10Z,2023-06-25T03:35:10Z,1,Still give me Goosebumps after watching many time this movie what a masterpiece movie
0WWzgGyAH6Y,UgyNLBvofqyrHr6lQnF4AaABAg,2023-06-25T03:34:22Z,2023-06-25T03:34:22Z,1,When Things used to be perfect 🥺🥺🥺🥺 now all gone
0WWzgGyAH6Y,UgyLa150U98oARPB5UF4AaABAg,2023-06-24T21:13:51Z,2023-06-24T21:14:09Z,0,Like a king commented 'I will defend this movie till my last breath'
0WWzgGyAH6Y,UgxjFenJ6WGD39vKE0J4AaABAg,2023-06-24T07:36:52Z,2023-06-24T07:36:52Z,0,"While I wasn’t necessarily crazy about the end result of the movie or it’s Ultimate Edition, this trailer absolutely smacks."
0WWzgGyAH6Y,UgyAcMwCWnT1EHVM6qh4AaABAg,2023-06-23T01:43:44Z,2023-06-23T01:43:44Z,0,I want to becomes superman I like this planets man movies
0WWzgGyAH6Y,UgwFv19_nLjdtOYdTvt4AaABAg,2023-06-23T01:20:43Z,2023-06-23T01:20:43Z,0,"I think the more of MCU fans in here tends to give a slack on the DCEU
For you guys who don't see the good things first in DC movies, you tend to be reactive always
Comparing the MCU movies with that of the DC is just like comparing an iphone and Samsung Galaxy which in sense the iphone is more liked by people world wide due to the design, the structure, the contents, the sleek body nature and stuff s like that, that's what the MCU looks like,a good masterpiece with contents and stories to keep people teased and relaxed.
The Samsung Galaxy is a phone of it's own with less popularity than the iphone but has a compact and blockbuster content filled with energy, that's the DC,
Not too many talking points but the actions and the darkest parts, twisted storylines that makes it one in a million.
So go to sleep  haters"
0WWzgGyAH6Y,UgxyuHu92SDQhxJTGKl4AaABAg,2023-06-22T01:17:49Z,2023-06-22T01:17:49Z,0,"Thrash movie, so glad that history buried this garbage"
0WWzgGyAH6Y,UgyDppWCmzaYc6JXrvZ4AaABAg,2023-06-21T00:51:38Z,2023-06-21T00:51:38Z,2,2023 and still coming to remember those beautiful days ....
0WWzgGyAH6Y,UgwU6l4mK00sH8tRPoh4AaABAg,2023-06-19T19:49:17Z,2023-06-19T19:49:17Z,8,Still one of the best DC movies.. we need more such art and darker movies... it is a masterpiece.
0WWzgGyAH6Y,UgxRA8qQej2xHhMZ2Ml4AaABAg,2023-06-19T16:08:51Z,2023-06-19T16:08:51Z,1,Vibe of this film is the most favourite of all movies of DC or Marvel. It's Dark and serious.
0WWzgGyAH6Y,UgxQ6WRGrAwMfWAUI2R4AaABAg,2023-06-12T20:33:20Z,2023-06-12T20:33:20Z,1,But my mum is called Martha too...😅😅😅
0WWzgGyAH6Y,Ugw1bEq30snpGA9Yn894AaABAg,2023-06-11T07:49:07Z,2023-06-11T07:49:07Z,0,But Avengers the end game is a masterpiece ✨
0WWzgGyAH6Y,UgxGKb4RICtjazo0feh4AaABAg,2023-06-11T02:11:58Z,2023-06-11T02:11:58Z,0,Se imajinan un Batman vs ironman
0WWzgGyAH6Y,UgwU5sRU547rrSZVEbN4AaABAg,2023-06-10T08:18:51Z,2023-06-10T08:18:51Z,0,Será el inicio del universo de DC?
0WWzgGyAH6Y,Ugx7iZ6F9Y5ApX2r0TV4AaABAg,2023-06-10T02:07:28Z,2023-06-10T02:07:28Z,2,Trailer was so promising but the movie was terrible
0WWzgGyAH6Y,UgxKQQ3D_HnbLp2V_kd4AaABAg,2023-06-09T13:20:19Z,2023-06-09T13:20:19Z,0,02:24 what is the name of the song that starts
0WWzgGyAH6Y,Ugx0wYjXNfnbN7v1h0h4AaABAg,2023-06-09T13:19:26Z,2023-06-09T13:19:26Z,0,"02:14 probably the best Shot of Batman I have ever seen in any Movie, Comics, animation🦇🦇🔥🔥"
0WWzgGyAH6Y,Ugw_tr0SeYkKlZ2QcJZ4AaABAg,2023-06-08T21:09:55Z,2023-06-08T21:09:55Z,0,بسم الله نبدء تعليق اخويه انه فلم زي الخره وشركت ورنر بروس تيظه حمره  و ممسل بت مان مش لايء عليه الضور  وتمسيله زي الخره والجلوت وتعليقي هو فلم حلو وبتله هنري كفل
0WWzgGyAH6Y,UgwldCaFL9xyKl7dpUN4AaABAg,2023-06-07T17:46:13Z,2023-06-07T17:46:13Z,3,"I didn't liked this movie and I thought the Ultimate Cut wasn't any better, but I did liked the Snyder Cut of Justice League."
0WWzgGyAH6Y,Ugy2dqQWU1lvYG6yMwR4AaABAg,2023-06-05T14:47:37Z,2023-06-05T14:47:37Z,1,"For those who've seen the film and are confused about the bomb scene with Bruce Wayne saving the young girl, that scene takes place during the events of Man Of Steel when General Zod comes to Earth."
0WWzgGyAH6Y,UgzZ0aPhWGW4GGPOd1t4AaABAg,2023-06-05T00:27:14Z,2023-06-05T00:27:14Z,1,When a Man makes a movie...God level. Nothing can beat this movie period.
0WWzgGyAH6Y,UgzojzZzoHPZnnZQoQZ4AaABAg,2023-06-03T23:03:41Z,2023-06-03T23:03:41Z,0,Best trailer ever! Je ne m'en lasserais jamais.
0WWzgGyAH6Y,UgzdRNaIVaodVwWo61d4AaABAg,2023-06-03T02:18:37Z,2023-06-03T02:18:37Z,5,civil war is better
0WWzgGyAH6Y,UgzjmPB5G1SBo_v_TsB4AaABAg,2023-06-02T20:10:10Z,2023-06-02T20:10:10Z,0,❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
0WWzgGyAH6Y,Ugza0VhXWmvDhczgPAR4AaABAg,2023-06-02T18:16:05Z,2023-06-02T18:16:05Z,3,I still can't believe this movie failed
0WWzgGyAH6Y,UgzzPfciX_y1FYbh7vd4AaABAg,2023-06-01T18:08:37Z,2023-06-01T18:08:37Z,0,I want to fly and invisible like superman and god angles owl god how can I can becomes superman and god angles god and go to galaxy   planets and owls planets eats vampires bat and lapwing birds and Ring neck dove and go with wild dog
0WWzgGyAH6Y,Ugy-KzQiqH8qI-T7CDZ4AaABAg,2023-05-30T07:56:34Z,2023-05-30T07:56:34Z,0,no one tops Henry Calvin for me. it’s not even close idc
0WWzgGyAH6Y,Ugxnla4mbnAWV3DlIPF4AaABAg,2023-05-28T05:27:03Z,2023-05-28T05:27:03Z,2,BvS will always be my favorite CBM of all time and this trailer for the film is still chilling!
0WWzgGyAH6Y,UgwGlwBpbPW4w9T1xYl4AaABAg,2023-05-28T01:39:45Z,2023-05-28T01:39:45Z,1,What a masterpiece 👏
0WWzgGyAH6Y,UgzncWGFgXwpqyXleJF4AaABAg,2023-05-25T13:05:47Z,2023-05-25T13:05:47Z,7,"The more time goes by, the more people realized how wrong they were to criticize this movie before it even came out. 

I remember the commenters were worried about Batman’s gun and doomsday, but in the end they loved it when they actually saw it. 

This was one of the greatest moves ever made. The UE"
0WWzgGyAH6Y,Ugw23iM3ihqH1kB-jDJ4AaABAg,2023-05-24T01:44:40Z,2023-05-24T01:44:40Z,0,2:42
0WWzgGyAH6Y,UgxTUSmlVvp8r7Izd8R4AaABAg,2023-05-24T00:23:20Z,2023-05-24T00:23:20Z,4,"I LOVED THE FIRST PART OF THIS MOVIE, IT WAS MORE POLITICAL AND DRAMA, LIKE WATCHMEN COMICS, UNTIL THE END WITH THE DUMB FIGHTING SCENE WITH WONDER WOMAN AND THAT 3 SECS VILLAIN THAT HAD NO SENSE, NO PRESENTATION, NO DEVELOPMENT, THEY HAD TO RUIN IT! IT'S DC!"
0WWzgGyAH6Y,UgxETHgYIjiBE8f0ZnJ4AaABAg,2023-05-22T21:13:56Z,2023-05-22T21:13:56Z,1,"Honesty, this is the definitive trailer for this movie. The teaser was good, but the trailers that came after this, except for the promotional one for the DVD and Blu-Ray, were a bit too much and spoilery. 

If only they had continued with this universe for at least another two movies...

""A thing isn't beautiful because it lasts."" - Vision."
0WWzgGyAH6Y,UgyzHuwzZUP6lAqwICJ4AaABAg,2023-05-16T09:01:19Z,2023-05-16T09:01:19Z,0,The more you eat h the movie the more it makes sense and the more you like it
0WWzgGyAH6Y,UgxcB1nGGk3ZCTk0gBd4AaABAg,2023-05-14T23:41:25Z,2023-06-07T04:28:23Z,1,"0:40, 1:34"
0WWzgGyAH6Y,UgxtWel1YdVKSwFeJnl4AaABAg,2023-05-14T03:18:29Z,2023-05-14T03:18:29Z,0,Jack is really❤ great
0WWzgGyAH6Y,UgyFyt7ff08jo-E4jEt4AaABAg,2023-05-13T02:02:54Z,2023-05-13T02:02:54Z,2,Theatrical version was ok but ultimate was Best
