Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
kGM4uYZzfu0,Ugx4hL7okWhrc9HZJMp4AaABAg,2023-06-23T21:57:31Z,2023-06-23T21:57:31Z,1,Woke Trash movie
kGM4uYZzfu0,Ugxb7QlHam_dif95Fgl4AaABAg,2023-06-11T18:05:45Z,2023-06-11T18:05:45Z,0,Edith Piaf ❤
kGM4uYZzfu0,Ugz4d1oQTU2f6RFmwml4AaABAg,2023-05-15T01:24:43Z,2023-05-15T01:24:43Z,0,Wow I love this!
kGM4uYZzfu0,UgzRKPtZmzBZpF5zbQl4AaABAg,2023-05-04T21:34:04Z,2023-05-04T21:34:04Z,1,Hey guys its me in the future and the movie is really good
kGM4uYZzfu0,UgwY2yxCXWlS1D9nk6F4AaABAg,2023-05-04T21:33:43Z,2023-05-04T21:33:43Z,0,I love margot robbie's harley quinn
kGM4uYZzfu0,UgzCd01UON36bYJIic54AaABAg,2023-04-20T14:25:33Z,2023-04-20T14:25:33Z,0,Why am I watching this.
kGM4uYZzfu0,Ugytwz1MiM3rNTSzcE54AaABAg,2023-04-17T16:34:03Z,2023-04-17T16:34:03Z,0,I love Harley Quinn so much I was Harley Quinn for Halloween
kGM4uYZzfu0,UgyAiih3RiT9s-NzmrJ4AaABAg,2023-04-12T22:58:13Z,2023-04-12T22:58:13Z,0,Kind of a sad thing that they broke up
kGM4uYZzfu0,UgwDgSkUm2Z4JA3UY794AaABAg,2023-04-08T11:27:48Z,2023-04-08T11:27:48Z,1,"This movie was already planned few years ago, specifically in the year of 2016 and it took several years for them to prepare the production and casting. Could be the reason is the changes made to the storyline and title, and the movie required a diverse cast of actors to play the various characters in the story.

I think if the movie had been released earlier in theaters, it could have been more successful. The pandemic had a huge impact to this and to the fact some people admitted that this was the last movie they saw before the pandemic."
kGM4uYZzfu0,Ugx2hLS0yUj7NxqarEB4AaABAg,2023-04-03T10:33:44Z,2023-04-03T10:33:44Z,1,THIS IS MY FAV MOVIE PLS DO BIRDS OF PREY 2
kGM4uYZzfu0,UgwaJRZGPVngqvmvzvF4AaABAg,2023-03-23T19:51:32Z,2023-03-23T19:51:32Z,0,🤔 ⛓️ oo7 🟡 📄.  🥶
kGM4uYZzfu0,UgwhPv7lAUoSZmdWM7F4AaABAg,2023-03-23T19:50:31Z,2023-03-23T19:50:31Z,0,🔐 🤳☝️4 🥗 🗝️ ✌️ 🐝🚫 🍳🥚 whip N ⛏️ 🥁. 🍔 👑
kGM4uYZzfu0,Ugz2BPGQsKSaMms4yQV4AaABAg,2023-03-20T23:00:00Z,2023-03-20T23:00:00Z,0,Mamasota
kGM4uYZzfu0,Ugz_UTdU9D09JWaQt3d4AaABAg,2023-03-15T19:06:02Z,2023-03-15T19:06:02Z,0,"muzyka, fenomelna..."
kGM4uYZzfu0,UgxLzVFMQzQORb1rzPp4AaABAg,2023-03-12T18:02:01Z,2023-03-12T18:02:01Z,1,why dc movies is pathetic
kGM4uYZzfu0,Ugw6XNobu7gw3oAoZIJ4AaABAg,2023-03-03T15:31:26Z,2023-03-03T15:31:26Z,0,Garbage film.
kGM4uYZzfu0,Ugx22nIeNOoJV9d1pUZ4AaABAg,2023-03-02T11:37:15Z,2023-03-02T11:37:15Z,0,This movie was so good
kGM4uYZzfu0,UgyzLKWTcqGXYB5YDXl4AaABAg,2023-02-25T09:41:57Z,2023-02-25T09:41:57Z,0,Funny movie
kGM4uYZzfu0,UgyTedzmvOgoSQsAAJZ4AaABAg,2023-02-17T15:53:13Z,2023-02-17T15:53:13Z,0,Oh good I love this movie it’s so good
kGM4uYZzfu0,UgxmyQ0_o3mVxCU0lJB4AaABAg,2023-02-16T03:30:10Z,2023-02-16T03:30:10Z,0,💖💖💖💖💖💖💖💖
kGM4uYZzfu0,Ugx-MjsNlIbHXMPitid4AaABAg,2023-02-15T10:06:06Z,2023-02-15T10:06:06Z,0,HARLEEEYYY
kGM4uYZzfu0,Ugy0MAlMOhlYYSWeICp4AaABAg,2023-02-13T11:32:32Z,2023-02-13T11:32:32Z,1,2023 anybody?
kGM4uYZzfu0,UgxLoQSVkOo5TGaN_Kl4AaABAg,2023-01-29T05:44:46Z,2023-01-29T05:45:05Z,2,"how was this 3 years ago 😭
EDIT : 4 ACTUALLY???????"
kGM4uYZzfu0,UgxmwESwm0w3F_sikst4AaABAg,2023-01-26T16:21:11Z,2023-01-26T16:21:25Z,1,"Who actually searched for ""Birds of prey: And the fantabulous Emancipation of one Harley Quinn""🫠"
kGM4uYZzfu0,Ugxjao320G8TIfFGQvV4AaABAg,2023-01-25T00:02:12Z,2023-01-25T00:02:12Z,2,2023 anybody?
