Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
X0tOpBuYasI,Ugz2bfXRlcWe793orbp4AaABAg,2023-06-24T10:15:56Z,2023-06-24T10:15:56Z,0,sa
X0tOpBuYasI,Ugy1ITt5CQZzqK78BQd4AaABAg,2023-06-22T11:45:20Z,2023-06-22T11:45:20Z,1,Shazam
X0tOpBuYasI,UgwuH2jjf5NmRNjfjYh4AaABAg,2023-06-20T02:49:07Z,2023-06-20T02:50:04Z,1,"So I finally got to watch Black Adam last night and I'm conflicted with how to review it:

1) This film is supposed to be part of the DCEU, out of nowhere, the Justice Society pops up to save Kahndaq? Where were they when Superman, Batman, etc was fighting Darkseid?

2) So the JSA is only 4 heroes, and 2 just joined them?

3) First Black Adam is an anti-hero and then he becomes a hero literally overnight.

4) my list can go on and on.

I blame the bosses of WB, they didn't have a masterplan for the DCEU.

I would hate to think what The Flash is going to be like.

PS: Superman's 10 second cameo was like the best part of the movie."
X0tOpBuYasI,UgzAbdObX0N1W4y5XBB4AaABAg,2023-06-19T15:49:02Z,2023-06-19T15:49:02Z,1,If cavill show up  in the third act and fight vs rock damm... this movie Daily make 800m
X0tOpBuYasI,Ugw8X4LhS6sSIOsP5Et4AaABAg,2023-06-19T08:11:34Z,2023-06-19T08:11:34Z,0,opblackadam
X0tOpBuYasI,Ugxx_G3M1Z6eIEuYzKh4AaABAg,2023-06-18T20:45:58Z,2023-06-18T20:45:58Z,0,"Laaalaaa laaalalaaaa, the soundtrack, Romanian song, Fetele de la Căpâlna 💪🏻💪🏻💪🏻"
X0tOpBuYasI,Ugwn1s8cs4wq4ic27cF4AaABAg,2023-06-18T02:08:20Z,2023-06-18T02:08:20Z,0,Only a movie with “the rock” could make me turn it off within 20 minutes of starting it.
X0tOpBuYasI,UgxLKakVDu4U1PURUJd4AaABAg,2023-06-08T20:49:36Z,2023-06-08T20:49:36Z,0,1st anniversary of this trailer
X0tOpBuYasI,UgyLC592cuhl3ZTKAex4AaABAg,2023-06-08T09:52:48Z,2023-06-08T09:52:48Z,0,Background song OP 🙌
X0tOpBuYasI,UgyNxjqjfgpxqN6dC-B4AaABAg,2023-06-07T14:38:06Z,2023-06-07T14:38:06Z,0,"aldis hodge as hawkman?
new idol fans"
