Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
vS3_72Gb-bI,UgyrbszcOXsDucYdhpJ4AaABAg,2023-06-27T12:05:40Z,2023-06-27T12:05:40Z,1,Cobra Kai I remember you
vS3_72Gb-bI,UgxTFrKng7I_pyIgyth4AaABAg,2023-06-27T09:55:17Z,2023-06-27T09:55:17Z,1,1:37 there's no way that everybody in this bus remained safe
vS3_72Gb-bI,UgyIlCJBXbo-v5bGDAZ4AaABAg,2023-06-27T09:31:13Z,2023-06-27T09:31:13Z,0,Cgi look like spy kids 3 movie😂
vS3_72Gb-bI,UgynvkYRSjp4yhy7T3B4AaABAg,2023-06-27T07:14:35Z,2023-06-27T07:14:35Z,0,It’s Miguel from cobra Kai
vS3_72Gb-bI,UgxzL_tkqmQOfUKmUpJ4AaABAg,2023-06-27T06:55:30Z,2023-06-27T06:55:30Z,0,"sound like an anime adaptation😂😂😂""jenny?"", ""i think it likes me"", ""haimen"", 'im in space"", ""what is going on"", 'im flying"", ""what is this""'😅😅"
vS3_72Gb-bI,UgzVUzZVqRCHEY22dYx4AaABAg,2023-06-27T06:12:39Z,2023-06-27T06:12:39Z,0,This actually looks so good! I REALLY hope this will be a separate universe from the current Ezra’s the Flash universe.
vS3_72Gb-bI,Ugy4mTPTPx1p-_KEAv94AaABAg,2023-06-27T04:54:54Z,2023-06-27T04:54:54Z,0,I love this Iron-Man
vS3_72Gb-bI,Ugwe3t1hFtIV5MVEa9R4AaABAg,2023-06-27T04:50:59Z,2023-06-27T04:50:59Z,0,"Marvel: Antman
DC: we do have an insect"
vS3_72Gb-bI,Ugwwto0nk-V02wfnZxR4AaABAg,2023-06-27T04:47:08Z,2023-06-27T04:47:08Z,0,2:25 did bro just make clouds buster sword from final fantasy
vS3_72Gb-bI,Ugy_hIXi21_eJDCjh6h4AaABAg,2023-06-27T04:26:32Z,2023-06-27T04:26:32Z,0,"Please, who knows if the movie Blue Beetle will also be in 3D format at the cinema?"
vS3_72Gb-bI,UgwrDNSNH4NriXoa4dJ4AaABAg,2023-06-27T04:07:28Z,2023-06-27T04:07:28Z,0,I’m surprised George Lopez did a movie with another Mexican
vS3_72Gb-bI,UgwKnEujXe8JoP1vD454AaABAg,2023-06-27T03:21:48Z,2023-06-27T03:21:48Z,0,Caga da de mr. D! Ojalá fracacase como todas las peliculas de dc
vS3_72Gb-bI,UgzBx69xfuZoMWRh2hV4AaABAg,2023-06-27T02:26:45Z,2023-06-27T02:26:45Z,0,This movie going to bomb…how can they let GL call Batman a fascist..just for that I will not give WB my 200 plus..(a family of 6) I hope it flops like the flash..#firejamesgunn..
vS3_72Gb-bI,Ugy1ZFwcyNyaXdjQxMN4AaABAg,2023-06-27T01:57:22Z,2023-06-27T01:57:22Z,0,"I'm actually interested in seeing this film, and I do hope it makes way more money than the Flash."
vS3_72Gb-bI,UgzFHjtbxt9PdWTZmLp4AaABAg,2023-06-27T01:23:28Z,2023-06-27T01:23:28Z,0,This doesn't look good at all.
vS3_72Gb-bI,UgwCzUAbmP0ILXcDm9F4AaABAg,2023-06-27T00:55:22Z,2023-06-27T00:55:22Z,1,nice !!!
vS3_72Gb-bI,UgxDCL97huivDd2L_lZ4AaABAg,2023-06-27T00:41:47Z,2023-06-27T00:41:47Z,1,"I know nothing about this character, but I am so excited about this movie! Props for the sick trailer."
vS3_72Gb-bI,Ugz6_mr9wIFGbJdAU6p4AaABAg,2023-06-27T00:30:23Z,2023-06-27T00:30:23Z,1,Great casting choice for blue beetle
vS3_72Gb-bI,UgyEqt89cXpktN9Hp154AaABAg,2023-06-27T00:18:40Z,2023-06-27T00:18:40Z,1,this looks dope. i dont know about the CGI though
vS3_72Gb-bI,UgyOtDLJtFufRTQQYAt4AaABAg,2023-06-27T00:06:12Z,2023-06-27T00:06:12Z,0,NO thanks
vS3_72Gb-bI,UgwBUmD70gdOkMD-dmZ4AaABAg,2023-06-26T23:16:54Z,2023-06-26T23:16:54Z,0,The true story as to how Johnny got Miguel to walk again
vS3_72Gb-bI,UgxkSM59vaf-gt_w5zt4AaABAg,2023-06-26T21:03:50Z,2023-06-26T21:03:50Z,0,Batman isa fascist
vS3_72Gb-bI,UgzVPHQL5ntK4Uc8dCB4AaABAg,2023-06-26T19:37:55Z,2023-06-26T19:37:55Z,0,This movie feels so Marvelish
vS3_72Gb-bI,Ugx9KJk74-Yy5I3fDP94AaABAg,2023-06-26T19:29:34Z,2023-06-26T19:29:34Z,0,"I never grew up with him, but saw him in injustice 2. So, is he like, an iron man/black panther/green lantern/venom hybrid hero?"
vS3_72Gb-bI,UgzHexdwybcxdZXIjdR4AaABAg,2023-06-26T19:14:15Z,2023-06-26T19:15:00Z,1,"I’m watching this because of xolo 
But I know it will be good"
vS3_72Gb-bI,UgxmUqRaFsKoIuAqBft4AaABAg,2023-06-26T17:59:05Z,2023-06-26T17:59:05Z,0,"Why?  
Just make a Martian Manhunter movie that way you can lead into your own new Justice League film(s). This trashfire will make about -$250million congrats 🍾"
vS3_72Gb-bI,Ugx8L58KdshU_sjM7x54AaABAg,2023-06-26T17:25:22Z,2023-06-26T17:25:22Z,0,"So it’s basically a crappy Iron Man with an annoying hip hop song? Okay, got it. 🙄🤦🏻‍♂️"
vS3_72Gb-bI,UgyVdNzWIiKqV38BqjV4AaABAg,2023-06-26T17:25:11Z,2023-06-26T17:25:11Z,0,The music in the DC trailers lately has been TERRIBLE. who thought this song was a good idea?
vS3_72Gb-bI,Ugw3wraeXSQ4sIu-J3t4AaABAg,2023-06-26T17:07:14Z,2023-06-26T17:07:14Z,1,This looks soo goooddddd
vS3_72Gb-bI,UgxZV_zYwAn3i6QJL6J4AaABAg,2023-06-26T16:18:50Z,2023-06-26T16:18:50Z,0,"Honestly, this looks as bad as Morbius"
vS3_72Gb-bI,UgwXHEpa8iAbmrLxRGt4AaABAg,2023-06-26T16:11:44Z,2023-06-26T16:11:44Z,0,So it’s basically moon knight but not egyptian?
vS3_72Gb-bI,Ugw0KREEiX1R7y1-zcV4AaABAg,2023-06-26T15:16:00Z,2023-06-26T15:16:00Z,0,"I respect all dc fans but to me it seems like a mix of iron man, ms. Marvel and ant man. And I don’t mean the comics I mean the trailer/ film. But I need to say I it looks like a intresting film and I don’t want to hate."
vS3_72Gb-bI,UgzYUjdupqBNK-Nasrx4AaABAg,2023-06-26T13:46:04Z,2023-06-26T13:46:04Z,1,"""Batman's the fascist""? Fine, let's tear down characters that people really like, maybe it'll work this time."
vS3_72Gb-bI,UgwWwkKM7NKEFy-47Dh4AaABAg,2023-06-26T13:38:16Z,2023-06-26T13:38:16Z,0,"Looks alright, but was the Batman hate necessary at the end?"
vS3_72Gb-bI,Ugz1ZvVz_HPFkKJ8xzZ4AaABAg,2023-06-26T13:30:27Z,2023-06-26T13:30:27Z,0,लाल पूरा ठेला लाल
vS3_72Gb-bI,Ugx5b0g8ymqlq0_rMWl4AaABAg,2023-06-26T12:51:28Z,2023-06-26T12:51:28Z,0,aint nobody noticing how 🔥🔥🔥🔥🔥🔥🔥 the trailer background song was
vS3_72Gb-bI,UgybG-lbJuOeysXgf594AaABAg,2023-06-26T12:44:53Z,2023-06-26T12:44:53Z,0,Miguel’s got an upgrade
vS3_72Gb-bI,UgyFfba4omORw6aPtK14AaABAg,2023-06-26T10:39:00Z,2023-06-26T10:39:00Z,0,"More like spiderman than batman... but wouldnt say it since its Marvel, would you...😂"
vS3_72Gb-bI,UgwnqMRETjNxtfWbSzB4AaABAg,2023-06-26T09:11:09Z,2023-06-26T09:11:09Z,0,This is why I love DC than marvel because DC never dissapoints.
vS3_72Gb-bI,UgwlgM5tKQv5TFm6Hwd4AaABAg,2023-06-26T07:17:57Z,2023-06-26T07:17:57Z,1,2 min into the trailer and boring and lame as f****. Well done DC for other failure
vS3_72Gb-bI,Ugw8edyBrh2ZkanLtLF4AaABAg,2023-06-26T06:58:43Z,2023-06-26T06:58:43Z,2,it is look like İRONMAN
vS3_72Gb-bI,UgxFueTaKfMRRl6pydF4AaABAg,2023-06-26T05:19:44Z,2023-06-26T05:19:44Z,1,"That last scene is dope af, and I’m also happy they’re introducing more Hispanic characters"
vS3_72Gb-bI,Ugykgo0N7w7Tc4KhyQh4AaABAg,2023-06-26T03:13:29Z,2023-06-26T03:13:29Z,1,"As an indian, i thought they were Indian until by boyfriend said they're mexican. My bad. But your familial bond reminds me of ours"
