Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
dKrVegVI0Us,UgyEEnMVAySzbBPrvxl4AaABAg,2023-06-27T08:29:46Z,2023-06-27T08:29:46Z,0,marvel then and now
dKrVegVI0Us,UgzbYq_JFlRIEoNVHVt4AaABAg,2023-06-27T06:49:44Z,2023-06-27T06:49:44Z,0,"One of the very best films in the MCU and beyond. Bucky is cool. Elizabeth is crazy stupid gorgeous. SPIDER-MAN intro was the best!!! 
IRON MAN was wrong and his team weaker, but I still love him the most (CAP is great tho)
Love BLACK WIDOW. Can't stand ROSS (THUNDERBOLT, not EVERETT) ; kissing SHARON CARTER so great!!! Even WAR MACHINE is cool (usually bothers me)
And last but never least... ANT-MAN !!!!!!! RUDD kills it. So doe's HAWKEYE. But that WANDA, whew!"
dKrVegVI0Us,UgyWykGqf2sf1UQZEgR4AaABAg,2023-06-24T08:44:40Z,2023-06-24T08:44:40Z,0,Ironman carried this whole movie
dKrVegVI0Us,Ugx8ZRY8DXQMJRV_DjF4AaABAg,2023-06-19T04:06:09Z,2023-06-19T04:06:09Z,0,Cool that Captain America had a cameo in his own movie here The  civil war starring Avengers
dKrVegVI0Us,Ugwobq0VBzBym3Y7L-J4AaABAg,2023-06-17T14:18:33Z,2023-06-17T14:18:33Z,2,War machine my favorite hero. Thought he died and I was horrified. His alive I went crazy
dKrVegVI0Us,UgyCd_an7mcMQO_6jxl4AaABAg,2023-06-15T12:47:30Z,2023-06-15T12:47:30Z,3,Why I'm so excited!? This got released 7 years ago 😂
dKrVegVI0Us,Ugw4oAIURog4CGn5rvd4AaABAg,2023-06-11T13:44:43Z,2023-06-11T13:44:43Z,2,Imagine if they didn’t show Spiderman in the trailer. That Queens scene would’ve broke the sound barrier with the audience cheering
dKrVegVI0Us,UgwrP-Ag4Jzv-cpaWoJ4AaABAg,2023-06-11T07:31:02Z,2023-06-11T07:31:02Z,2,The trailers really portrayed cap as the villain here
dKrVegVI0Us,UgwtCBMWPvEKLGnH-SR4AaABAg,2023-06-09T09:56:36Z,2023-06-09T09:56:36Z,0,Good old days
dKrVegVI0Us,UgxYV1FSMnTUDJ91ReB4AaABAg,2023-06-07T22:18:09Z,2023-06-07T23:01:06Z,0,"Сталин-железный человек, я внезапно узнаю, что мой город вполне готов финансировать мой здравый смысл. С зарплатой то у них в 15-20 тысяч рублей...

Вы залезли в то, о чём вообще не имеете понятия. 

И вот картина мира, мстители ведут битву с существами из других планет. А какой-то поц или просто мудак, слил нашу личность. И при этом, эта страна и всё человечество ждет конца битвы с зарплатой в 15-20 тысяч рублей, но никто не хочет этого признавать. Это прям... безумие какое-то 😆

P.S. А теперь все вместе любимое выражение кэпа:

YOU RAT! 🖕"
dKrVegVI0Us,Ugwoa4mqaVZA9T80h494AaABAg,2023-06-04T19:24:29Z,2023-06-04T19:24:29Z,3,After 7 years I m watching this trailer and still got chills while spidey entrance even I obviously know he is in mcu already😂
dKrVegVI0Us,Ugx7T0wwF7q-zSI1PbZ4AaABAg,2023-06-01T19:17:58Z,2023-06-01T19:17:58Z,1,I actually wanted a plot twist at 1:21 with a Captain America gone bad narrative❤❤
dKrVegVI0Us,Ugx0L2qGody5F0SoAE14AaABAg,2023-05-30T11:48:33Z,2023-05-30T11:48:33Z,2,"I'm on team stark btw,they can settle just by a small talk actually.Steve should talk with stark."
dKrVegVI0Us,Ugz3SX1119QTV2m4E3V4AaABAg,2023-05-28T21:56:27Z,2023-05-28T21:56:27Z,0,They should never reveal Spidey on this trailer..😅 but again maybe Sony demanded to show it..
dKrVegVI0Us,UgyrRnciI7xJJ3A0SO54AaABAg,2023-05-24T14:30:45Z,2023-05-24T14:30:45Z,6,7 years and it still feels the same ❤
dKrVegVI0Us,Ugzz_y9WRpOKe1G-my14AaABAg,2023-05-22T06:40:39Z,2023-05-22T06:40:39Z,2,I can do this all day 💪💪
dKrVegVI0Us,UgxexP1T1lco0AgRR4h4AaABAg,2023-05-19T14:04:32Z,2023-05-19T14:04:32Z,0,I’m convinced the 88m views was all me rewatching spidey jump into the mcu for the first time
dKrVegVI0Us,Ugw-nowssKngHYCfJ0R4AaABAg,2023-05-14T14:37:17Z,2023-05-14T14:37:17Z,0,I could this all day
dKrVegVI0Us,Ugztv5Tm_KInCUPPqCd4AaABAg,2023-05-11T10:13:58Z,2023-05-11T10:13:58Z,1,The way I remember this trailer so vividly is because this was released 2 days before my birthday. So I had a pretty good birthday gift in advance also considering the fact im the biggest spider-man fan out there
dKrVegVI0Us,UgxyBGCyRe-mzfg54p54AaABAg,2023-05-08T20:49:55Z,2023-05-08T20:49:55Z,0,Civil war and black panther are the two best
dKrVegVI0Us,Ugx9VpHKGI_jEF8anwd4AaABAg,2023-05-08T16:56:10Z,2023-05-08T16:56:10Z,0,"That spidey scene makes the whole trailer to next level..
In 2k16, I literally didn't watched the trailer and I was just 16. I was a die hard fan of Spider-man from childhood.. I directly watched the movie in big screen cause its MCU film and it's cap's triology. When the scene came that the tony went to Spidey home for help I shouted like noone can beat my voice.. next day My voice gone wrong actually 😅😅"
dKrVegVI0Us,Ugxnhdt2hmLpdxh20ZB4AaABAg,2023-05-06T18:18:35Z,2023-05-06T18:18:35Z,0,"7 years ago 
captani america civil war 2016"
dKrVegVI0Us,Ugwnm7kgWSAF_p9uIkx4AaABAg,2023-05-03T12:18:43Z,2023-05-03T12:18:43Z,10,Time when marvel was actually living up to its name.
dKrVegVI0Us,UgzEEGGJJryeywxanIB4AaABAg,2023-04-26T22:52:40Z,2023-04-26T22:52:40Z,2,Look how far we've come...
dKrVegVI0Us,UgzgP8D4MdqjYydtoWJ4AaABAg,2023-04-23T19:48:11Z,2023-04-23T19:48:11Z,8,"please marvel, take us back to this kinds of movies"
dKrVegVI0Us,Ugw8Ghc6wlkXrFeR5ZR4AaABAg,2023-04-20T23:45:26Z,2023-04-20T23:45:58Z,6,"This was the first captain America film that I went in theaters and watched.Spider-Man, iron man, avengers , captain America and black widow are my favorite characters. Winter soldier and Civil war are my favorite films"
dKrVegVI0Us,Ugwu4KSSdBASm-iRxa94AaABAg,2023-04-20T14:31:13Z,2023-04-20T14:31:13Z,4,good old days
dKrVegVI0Us,UgwlPeu1N53KQkCLcKp4AaABAg,2023-04-20T10:26:31Z,2023-04-20T10:26:31Z,2,Is anyone else like me thinking that this movie is not Captain America's personal movie but avengers 3 ?
dKrVegVI0Us,UgwuGzu3Bnb3CVLE_rl4AaABAg,2023-04-20T09:22:33Z,2023-04-20T09:22:33Z,0,Spiderman 😍
dKrVegVI0Us,UgzZb4TlGGWGQ1lpHk94AaABAg,2023-04-14T14:08:33Z,2023-04-14T14:08:33Z,1,If Andrew should have appeared everybodys mind would explote
dKrVegVI0Us,Ugya5aUA-n3l-2CeWQN4AaABAg,2023-04-14T09:57:50Z,2023-04-14T09:57:50Z,12,This reminds me of how great MCU used to be compared to now
dKrVegVI0Us,UgzCJVeqwkGEOellGER4AaABAg,2023-04-11T18:03:13Z,2023-04-11T18:03:13Z,0,Hey ! Èveryone.
dKrVegVI0Us,Ugxm-Azpq6orVpvAkxx4AaABAg,2023-04-11T08:09:52Z,2023-04-11T08:09:52Z,0,Essa época foi braba
dKrVegVI0Us,UgxJarZUEXge9_ulqFp4AaABAg,2023-04-07T13:02:24Z,2023-04-07T13:02:24Z,1,"*Sometimes i want to punch in your perfect teeth*
                                            - *THE LEGEND*"
dKrVegVI0Us,UgyQkXagpPuNMr31kUt4AaABAg,2023-04-03T19:50:47Z,2023-04-03T19:50:47Z,2,this movie looks awesome when does it come out
dKrVegVI0Us,UgyX7PoY-lY6otkxTl14AaABAg,2023-04-03T17:44:38Z,2023-04-03T17:44:38Z,1,2023 but this film is still beautiful
dKrVegVI0Us,UgzlW6WIQMwtO-bALjB4AaABAg,2023-04-03T10:42:37Z,2023-04-03T10:42:37Z,5,Ohhhh how the MCU has fallen...MCU movies used  to be SO SO good.
dKrVegVI0Us,Ugxnelkv26kC4sCzjih4AaABAg,2023-04-02T14:48:21Z,2023-04-02T14:48:21Z,3,"I remember my dad showing this trailer to me, and I thought it was just a normal trailer. When Spiderman popped up, I went ballistic!!"
dKrVegVI0Us,Ugy5AJ1q9ni-fvjYB-p4AaABAg,2023-04-01T18:14:45Z,2023-04-01T18:14:45Z,2,God bring me back to the excitement of seeing Spidey!! Man how times have changed.
dKrVegVI0Us,UgyfiKnMGsU9NXxsQXN4AaABAg,2023-04-01T18:12:29Z,2023-04-01T18:12:29Z,4,"The last movie Bucky was a legit badass, he’s so pathetic now I hate what they’d done to him"
dKrVegVI0Us,Ugz31glcmGFat7P8owZ4AaABAg,2023-03-29T22:18:58Z,2023-03-29T22:18:58Z,1,Sigo sin superar este trailer tan épico 👌
dKrVegVI0Us,UgzzbIDWkeBaqDjPCuB4AaABAg,2023-03-19T22:27:16Z,2023-03-19T22:27:16Z,2,You just started a war
dKrVegVI0Us,UgzrxSpRLV1-h9fexFp4AaABAg,2023-03-19T22:04:12Z,2023-03-19T22:04:12Z,0,Idiocracy at its finest removal of usage under with or around or I. my licensing not permitted beta
dKrVegVI0Us,Ugw6EC-UcHiWM4YF5PR4AaABAg,2023-03-16T10:36:43Z,2023-03-16T10:36:43Z,6,Is there anyone here still came to watch the trailer in 2023🔥🔥🔥🔥
dKrVegVI0Us,UgxIJSN-c1CL3P7g4jp4AaABAg,2023-03-10T19:24:00Z,2023-03-10T19:24:00Z,1,Forever Team Steve💖💥
dKrVegVI0Us,UgyzF4dIkj36CI3XdCJ4AaABAg,2023-03-10T10:03:58Z,2023-03-10T10:03:58Z,0,What did he said at 2:13
dKrVegVI0Us,UgzGdtFEQy97US4wzQB4AaABAg,2023-02-27T12:09:16Z,2023-02-27T12:09:16Z,0,"Captain America is a fictional superhero appearing in American comic books published by Marvel Comics. The character was created by Joe Simon and Jack Kirby and first appeared in Captain America Comics #1 in March 1941.

The original character, Steve Rogers, was a frail young man who was deemed unfit for military service during World War II. He volunteered for a top-secret research project, known as the Super Soldier program, which aimed to create a new breed of soldiers. Rogers was injected with a serum that turned him into a physically perfect human being, and he was given a red, white, and blue costume and a shield made of vibranium, a rare metal.

As Captain America, Rogers fought against the Axis powers during World War II, becoming a symbol of American patriotism and courage. He was a member of the superhero team the Avengers and has continued to fight against various villains and threats to the world.

In the comics, Captain America has been portrayed as a man out of time, having been frozen in ice for decades and waking up in the present day. This has allowed writers to explore themes of patriotism, duty, and the struggle to adapt to changing times.

Captain America has been adapted into various forms of media, including movies, TV shows, and video games. He has become one of Marvel's most iconic and recognizable characters, and his shield has become a symbol of heroism and American values."
dKrVegVI0Us,Ugyy8IkAi9qYdVa85Dt4AaABAg,2023-02-26T09:39:03Z,2023-02-26T09:39:03Z,1,"2016: Finally Spider-Man in the MCU.
2021: Finally Tobey and Andrew in the MCU.
2026: Finally MCU in real life."
dKrVegVI0Us,UgwJWSjHtF0HPR3dvnB4AaABAg,2023-02-26T09:38:56Z,2023-02-26T09:38:56Z,0,"2016: Finally Spiderman in the MCU

2021: Finally Tobey in the MCU

2026: Finally MCU In Real Life"
dKrVegVI0Us,UgxBuTTyIM96y2rjVFx4AaABAg,2023-02-26T09:38:20Z,2023-02-26T09:38:20Z,0,2026: Finally MCU in real life.
dKrVegVI0Us,Ugzyyw4kHoyR8D_uAP54AaABAg,2023-02-26T09:38:10Z,2023-02-26T09:38:10Z,0,"This was the first time we saw an Icon, a true original, an inspiring legend to black kids around the globe and black culture in general. “In my Culture, Death is not the end.” Rest In Peace Chadwick Boseman. 🕊"
dKrVegVI0Us,UgyawzGvOaQazpURw9x4AaABAg,2023-02-26T09:37:53Z,2023-02-26T09:37:53Z,2,"I can't believe Chadwick Boseman was filming movies in the last 4 years while fighting colon cancer. A true warrior. Rest in Power, my King."
dKrVegVI0Us,UgzrnHLu0ALZdRQ0GlR4AaABAg,2023-02-26T09:32:59Z,2023-02-26T09:33:28Z,0,"I wish I was a marvel fan back then. Only became a marvel fan when I said to my friend why does good guys always has to win and then he showed me infinity war, first marvel movie I ever watched"
dKrVegVI0Us,Ugzb3zaFPlj0JBmNUZl4AaABAg,2023-02-25T17:25:55Z,2023-02-25T17:25:55Z,2,Rip an respect bosman sir love u miss u
dKrVegVI0Us,UgxMxkotwMC9IlPB-7p4AaABAg,2023-02-22T17:36:01Z,2023-02-22T17:36:01Z,2,United we stand. Divided we fall.
dKrVegVI0Us,UgzYjhkM6_7EfeKPMDt4AaABAg,2023-02-21T05:55:40Z,2023-02-21T05:55:40Z,1,This movie I like batman  vs superman but better bc there the captain and iron man soo hype lol
dKrVegVI0Us,Ugw5SyDVeIbttWeK54p4AaABAg,2023-02-20T16:29:42Z,2023-02-20T16:29:42Z,0,Where is the spiderman
dKrVegVI0Us,Ugy6WVUzNWQHRPPLEc14AaABAg,2023-02-19T18:46:50Z,2023-02-19T18:46:50Z,6,Lol  when everone lost their complete minds when they saw spidey finaly in mcu. Lol good times
dKrVegVI0Us,UgywXaNn5lxaBuv5QDZ4AaABAg,2023-02-19T15:51:41Z,2023-02-19T15:51:41Z,7,"Those were the marvel films. 🔥

They've lost their charm."
dKrVegVI0Us,UgwJJXULO0_lfRm925B4AaABAg,2023-02-13T23:55:18Z,2023-02-13T23:55:18Z,0,I hate this movie I wish Ironman won it was a let down. That’s why he fail with Thanos in the infinity war.
dKrVegVI0Us,UgxiFzbvRJAsQQv_ghR4AaABAg,2023-02-13T00:24:50Z,2023-02-13T00:24:50Z,0,"Love this movie,go Captain America"
dKrVegVI0Us,UgzoUY7-a8TmRDkB4wR4AaABAg,2023-02-12T00:30:49Z,2023-02-12T00:30:49Z,0,El tráiler por cual el mundo exploto🤯
dKrVegVI0Us,UgzwijK1Nyjxmhkrlqh4AaABAg,2023-02-08T08:56:23Z,2023-02-08T08:56:23Z,2,This is avengers movie
dKrVegVI0Us,Ugzn2AEm3L-Spz31DE94AaABAg,2023-02-03T17:14:31Z,2023-02-03T17:14:31Z,0,Love from India ❤️ 🇮🇳
dKrVegVI0Us,Ugy_J3NJx6Rtfsi-gv94AaABAg,2023-02-03T04:17:07Z,2023-02-03T04:17:07Z,0,back when marvel villains didn't know how to beatbox
dKrVegVI0Us,UgyClfTXSQVrVOS1u9J4AaABAg,2023-02-02T19:42:22Z,2023-02-02T19:42:22Z,0,Marvllllll
dKrVegVI0Us,UgzShTe8ETT2W6853rp4AaABAg,2023-01-29T19:51:24Z,2023-01-29T19:51:24Z,0,TOM HOLLAND 😍
dKrVegVI0Us,UgzdDj-jySKO6wfXSJx4AaABAg,2023-01-25T17:46:05Z,2023-01-25T17:46:05Z,1,I remember seeing this trailer and being absolutely pumped for this movie and absolutely losing it when they revealed Spidey.
dKrVegVI0Us,UgxyiRTu0Ba9gmaaDcZ4AaABAg,2023-01-19T06:56:34Z,2023-01-19T06:56:34Z,1,Full movie kha mily gi?
dKrVegVI0Us,Ugx-v5hu8HaSwitcYGF4AaABAg,2023-01-10T20:18:15Z,2023-01-10T20:18:15Z,3,This is one of my favorite marvel movies
dKrVegVI0Us,UgygLOD3jmygfPk33N94AaABAg,2023-01-10T16:56:07Z,2023-01-10T16:56:07Z,1,Hey everyone!  ...it created such a storm  6 years ago
dKrVegVI0Us,UgyVfk-nytM2I1naBvt4AaABAg,2023-01-07T08:27:17Z,2023-01-07T08:27:17Z,0,I remember seeing this as a tween back in 2016 and freaking out when Spidey appeared
dKrVegVI0Us,UgxcDNX-qMov2R9yhTx4AaABAg,2023-01-07T03:08:04Z,2023-01-07T03:08:04Z,0,1:42 You started a war 🔥
dKrVegVI0Us,Ugx5VAJBa4HGqCobE814AaABAg,2023-01-04T21:26:42Z,2023-01-04T21:26:42Z,1,Saw this in theater with a close friend at the time. We were so unbelievably hyped. We lost contact and life just got it the way. Hope ur OK.
dKrVegVI0Us,UgwP2IxDyVgIvD4ehA14AaABAg,2023-01-01T03:01:37Z,2023-01-01T03:01:37Z,1,#NAME?
dKrVegVI0Us,Ugxxr7eQIFoPe5jkCQJ4AaABAg,2022-12-25T11:05:08Z,2022-12-25T11:05:08Z,1,Remember that time ❤️
dKrVegVI0Us,Ugxlu8wQ5uyFu9Jy5lF4AaABAg,2022-12-24T23:06:40Z,2022-12-24T23:06:40Z,1,Gosh MCU misses Iron Man and Cap so bad...
dKrVegVI0Us,UgxuhOSp3R3fctzxL1h4AaABAg,2022-12-24T19:45:28Z,2022-12-24T19:45:28Z,1,Who randomly remembered and came to watch this trailer?
