Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
HSzx-zryEgM,Ugw9a_nAwSwHl1zoJd54AaABAg,2023-06-01T03:06:07Z,2023-06-01T03:06:07Z,0,Mierda de capítulos
HSzx-zryEgM,Ugxc6wCHRqPPxYXjlKx4AaABAg,2023-05-20T22:19:03Z,2023-05-20T22:19:03Z,0,The best MCU character 🔥
HSzx-zryEgM,UgyE6KMUcRir6QpyZKN4AaABAg,2023-05-18T01:19:41Z,2023-05-18T01:19:41Z,0,watching this movie on acid is something wlse
HSzx-zryEgM,UgxvXsgCMKsRhv1vFGd4AaABAg,2023-04-29T12:20:25Z,2023-04-29T12:20:25Z,3,Doctor Strange plays the piano??!
HSzx-zryEgM,UgzOn3B2BYhQfZPtfXJ4AaABAg,2023-04-26T16:31:24Z,2023-04-26T16:31:24Z,1,"Master of mystic arts 
Sorcerer Supreme Dr. Strange 🐱"
HSzx-zryEgM,Ugz-Gj4b2gItI0IGCTN4AaABAg,2023-04-20T09:31:33Z,2023-04-20T09:31:33Z,1,Come back
HSzx-zryEgM,UgzFt3sD4dT9JySNgNJ4AaABAg,2023-04-16T08:49:32Z,2023-04-16T08:49:32Z,2,"Thank you, marvel to shoot this great movie in our country Nepal.❤❤❤🙏"
HSzx-zryEgM,UgyWTdVi46CPsnx9TQJ4AaABAg,2023-04-05T05:43:06Z,2023-04-05T05:43:06Z,6,Back when Marvel was actually good. I miss this era of the MCU
HSzx-zryEgM,UgxfWe9i-f2EVF1Htmx4AaABAg,2023-03-21T12:42:11Z,2023-03-21T12:42:11Z,0,I love this movie so much ❤
HSzx-zryEgM,UgzUT3_1GxGv7CJnUih4AaABAg,2023-03-12T07:10:42Z,2023-03-12T07:10:42Z,2,cities in ohio be like : 1:38
HSzx-zryEgM,Ugxl524Ih9kOisdkl-V4AaABAg,2023-03-11T13:51:08Z,2023-03-11T13:51:08Z,0,1:44 crash building
HSzx-zryEgM,Ugw5MJZQiCAcm5WixEh4AaABAg,2023-03-05T21:30:13Z,2023-03-05T21:30:13Z,0,2021 doctors strange telah master
HSzx-zryEgM,UgxYGkWLrKNTVSedNNZ4AaABAg,2023-02-27T17:48:31Z,2023-02-27T17:48:31Z,4,"""I have spent so many years, peering through time, looking for you."" awesome dialog, gives me goosebumps for some reason."
HSzx-zryEgM,UgwKQBwVqt53iMW8OvV4AaABAg,2023-02-24T01:29:35Z,2023-02-24T01:29:35Z,0,I just hope the former director that directing this film came back for the sequel and also the same vfx team. The whole movie experince for me was exquisite and rewatcheable everytime
HSzx-zryEgM,UgzgpDT3Lq9URW7J-x94AaABAg,2023-02-15T18:13:40Z,2023-02-15T18:13:40Z,0,Hes the best actor for this role
HSzx-zryEgM,UgxFfDtbGdcSjdq70754AaABAg,2023-02-04T12:12:36Z,2023-02-04T12:12:36Z,0,The music is best
HSzx-zryEgM,UgxpNqUPZXZU6bJ3XmV4AaABAg,2023-02-04T09:31:45Z,2023-02-04T09:31:45Z,0,"It‘s just a perfect movie! I love it really! But do anyone of you know the soundtrack of this trailer? I didn‘t find it. Can you help me, please?"
HSzx-zryEgM,UgymAhvBhEL33gf9JIh4AaABAg,2023-02-01T09:51:56Z,2023-02-01T09:51:56Z,1,"How did we get from THIS to MOM!
the downgrade -_-
I really hope DS3 will be good, and mcu should use this soundtrack and Doctor Strange's original theme from the 1st movie"
HSzx-zryEgM,UgwTPKQN53bkK1KM1OF4AaABAg,2023-01-24T09:38:25Z,2023-01-24T09:38:25Z,1,"""We never lose our demons, morda. We only learn to live above them"" - the wise one"
HSzx-zryEgM,UgyQroFhGV_xP60pWA14AaABAg,2023-01-21T19:56:04Z,2023-01-21T19:56:04Z,1,Smaug might be Cumberbatch’s iconic and irreplaceable role but his best performance is Doctor Strange
HSzx-zryEgM,UgxAoa8ce5hLPfA8R554AaABAg,2023-01-15T03:21:55Z,2023-01-15T03:21:55Z,0,ahead of it's time imho...like the wizard of oz or even buckaroo banzai
HSzx-zryEgM,Ugwy4xsgGA7b6CfqpU94AaABAg,2023-01-15T03:20:19Z,2023-01-15T03:20:19Z,0,sinister strange vs dr strange WHICH is the PRIME Universe in a MULTI VERSE reality?
HSzx-zryEgM,UgziErjpaIhrQxb0j6h4AaABAg,2023-01-10T15:08:53Z,2023-01-10T15:08:53Z,1,I come back to say doctor strange is better than 2
HSzx-zryEgM,UgwgcEV_MyVvnNmcsWZ4AaABAg,2023-01-01T14:53:51Z,2023-01-01T14:53:51Z,1,I've seen this movie. It's one of my favorites.
HSzx-zryEgM,UgzKkEy1QddzqHndHzV4AaABAg,2022-12-15T19:14:28Z,2022-12-15T19:14:28Z,14,This movie is a masterpiece
HSzx-zryEgM,UgwTmNiQX4GohLpgGsh4AaABAg,2022-11-13T02:46:50Z,2022-11-13T02:46:50Z,3,"Beautiful trailer, great story of movie but Strange you can't even defeat Scarlet Witch. Embarrassed"
HSzx-zryEgM,UgyyTIRshUdboxg3a5p4AaABAg,2022-11-11T05:15:21Z,2022-11-11T05:15:21Z,2,2:09
HSzx-zryEgM,Ugx3nKPFLAJN26Ja6J14AaABAg,2022-11-04T22:02:12Z,2022-11-04T22:02:12Z,1,6 years after it's a very underrated MCU movie
