Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
IWBsDaFWyTE,Ugz3aAheWG9bGNL9_w54AaABAg,2023-06-15T17:04:10Z,2023-06-15T17:04:10Z,2,1:07
IWBsDaFWyTE,Ugy67dhYS4vPNe1toAN4AaABAg,2023-06-15T09:47:09Z,2023-06-15T09:47:09Z,0,"Good ✨🌸🌸✨🌸🌸✨
🌸🌸🌸🌸🌸🌸🌸
🌸🌸🌸🌸🌸🌸🌸
✨🌸🌸🌸🌸🌸✨
✨✨🌸🌸🌸✨✨
✨✨✨🌸✨✨✨"
IWBsDaFWyTE,UgxdefoYeKI5HUkL9e94AaABAg,2023-05-27T23:44:24Z,2023-05-27T23:44:24Z,0,"Man I was so hyped for this show, only to get something incredibly mid, trailer’s still GREAT though."
IWBsDaFWyTE,UgwFkFUDZUcK0R7NQdt4AaABAg,2023-05-20T05:30:50Z,2023-05-20T05:30:50Z,1,Could’ve been so good. It had some really great scenes. The shield and wings together were awesome. Sam and Bucky were great. Zemo was great. The ham fisted wokeness ruined it.
IWBsDaFWyTE,UgwInP09HSrVGn9DvVZ4AaABAg,2023-05-16T00:38:14Z,2023-05-16T00:38:14Z,1,2023? Anyone?
IWBsDaFWyTE,Ugxv9lPHNPmMFPVpJRF4AaABAg,2023-05-13T19:37:22Z,2023-05-13T19:37:22Z,0,"the trailer was like ""haha couples therapy lol"" and then the show was like ""yes actually"" and honestly i wouldnt want it any other way"
IWBsDaFWyTE,UgwP7rdo3ik0QYpgw3d4AaABAg,2023-05-12T10:27:42Z,2023-05-12T10:28:00Z,0,Captain America was old very long time and now the falcon and the winter soldier 😁😁😁🥰🥰🥰😍😍😍🤩🤩🤩😎😎😎
IWBsDaFWyTE,UgysfKXAH5Laofg13Hp4AaABAg,2023-05-12T00:06:42Z,2023-05-12T00:06:42Z,0,Felon
IWBsDaFWyTE,Ugw-96lRBKcJkSNwJ5l4AaABAg,2023-05-05T11:04:40Z,2023-05-05T11:04:40Z,4,The is really one of the best stuff Marvel has released after Endgame era
IWBsDaFWyTE,UgwgYlMNZ5eaEdtj9wR4AaABAg,2023-04-24T22:56:49Z,2023-04-24T22:56:49Z,0,Classic 🔥😊
IWBsDaFWyTE,UgxVZYovGuX_EpMG2bd4AaABAg,2023-04-24T01:18:23Z,2023-04-24T01:18:23Z,0,I like it the falcon I always compare  Michael  as a falcon after lucifur
