Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
u3V5KDHRQvk,UgztULJtKku5Bvmnhqd4AaABAg,2023-06-26T23:28:38Z,2023-06-26T23:28:38Z,1,We'll all fly away together once last time into the forever and beautiful sky
u3V5KDHRQvk,UgxPAE8J1BE50SXA7Fl4AaABAg,2023-06-26T04:17:34Z,2023-06-26T04:17:34Z,0,"Man, this movie was fantastic. A fun, heartfelt, emotional roller coaster of perfection. I’ll miss the Guardians man"
u3V5KDHRQvk,UgwAfyzDK1pPmOGG1UZ4AaABAg,2023-06-26T00:36:28Z,2023-06-26T00:36:28Z,0,"WHEN you don't add politics in your movies! all of them have been good ALL 3 that is extremely hard to DO! i hope one day all democrats get arrested for all the propaganda they tried to keep in our movies, msm it was bad and they deserve jail time for what they did thats all im saying."
u3V5KDHRQvk,UgxBE7yG0TOLDbCzfo14AaABAg,2023-06-25T23:25:42Z,2023-06-25T23:25:42Z,0,"The Marvel cinematic universe since End Game is in a constant decline. Uninspired mass produces slop that killed almost every interest in this franchise.

This movie reminded me of a time before this downfall ...but is probably just a short glimmer of hope.

Good bye, MCU!
(it was a fun time)"
u3V5KDHRQvk,UgzIOLcvDUFqmdZaOqh4AaABAg,2023-06-25T19:14:25Z,2023-06-25T19:14:25Z,0,you know what? this movie make me so sad and big inspirations
u3V5KDHRQvk,UgwCZMCoGSExgZKi0yh4AaABAg,2023-06-25T18:14:42Z,2023-06-25T18:14:42Z,1,"*timetravels to myself from 6 months ago watching this trailer*
Before me: who are you?
Recent me: im you but after this movie released and trust me, you will cry at this beautiful movie"
u3V5KDHRQvk,UgzeWqi10I88XcL7rGZ4AaABAg,2023-06-25T15:46:47Z,2023-06-25T15:46:47Z,0,"I do not know what to say. Last time I gave 10/10 to marvel in 2019. My 5 favorite MCU movie and my (for now) best picture of 2023.
One of the greatest movies of all time
Thank you James Gunn and whole crew
Goodbye MCU"
u3V5KDHRQvk,UgwF1q3-XvK0MZEZmkl4AaABAg,2023-06-25T12:08:02Z,2023-06-25T12:08:02Z,0,I'm not crying... i'm not crying..
u3V5KDHRQvk,Ugw-RSE6MfeRTUz0eQt4AaABAg,2023-06-25T10:40:53Z,2023-06-25T10:40:53Z,1,seeing Nebula genuinely happy makes me cry. She has was waiting so long for that exuberance of joy!!!! I love this trilogy <3
u3V5KDHRQvk,Ugza7sROurISY0KS0Kl4AaABAg,2023-06-24T20:27:37Z,2023-06-24T20:27:37Z,1,Such a funny film just got emotional when it's rockets backstory
