Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
2LIQ2-PZBC8,UgwJIKi1SnLkPBGqKUB4AaABAg,2023-06-22T17:23:14Z,2023-06-22T17:23:14Z,0,"лучшее, что есть в квм - это стражи галактики и работы Джеймса Ганна"
2LIQ2-PZBC8,UgzVu3qOfokVR7NnMfF4AaABAg,2023-06-16T22:11:52Z,2023-06-16T22:11:52Z,0,The best Marvel and sci-fi movie of the second decade of  21th century!
2LIQ2-PZBC8,UgyOn0qwv78EH-76d2F4AaABAg,2023-05-27T05:27:13Z,2023-05-27T05:27:13Z,2,yo why this movie from 10 years ago have better CGI than all the superhero movies that are coming out today (except Guardians 3) 🤣
2LIQ2-PZBC8,UgyQWnDdy3rFdhgRPeF4AaABAg,2023-05-26T14:06:04Z,2023-05-26T14:06:50Z,2,0:32 Super Mario JUMP！！
2LIQ2-PZBC8,Ugy7DP9ajYvxW3bfEQh4AaABAg,2023-05-22T09:42:41Z,2023-05-22T09:42:41Z,1,Ah the good ol days
2LIQ2-PZBC8,UgwrTEJ2sCiamyoreH54AaABAg,2023-05-21T14:22:11Z,2023-05-21T14:22:11Z,0,"1:36 fortunaly, that scene didnt get revealed"
2LIQ2-PZBC8,UgyACcAUHOHJK0Y6BM54AaABAg,2023-05-20T16:11:12Z,2023-05-20T16:11:12Z,2,easily the best marvel trillogy
2LIQ2-PZBC8,Ugw-9xckiTPCowEsQ6R4AaABAg,2023-05-19T06:18:13Z,2023-05-19T06:18:13Z,3,"The GOTG trilogy is now completed.
Thank you James Gunn for everything you given us!"
2LIQ2-PZBC8,UgyQls2Xri45WXhhWsh4AaABAg,2023-05-19T02:45:48Z,2023-05-19T02:45:48Z,2,2:14 self aware. but it turned out fine! it was THE BEST idea.
2LIQ2-PZBC8,UgzFAM5Pld9apoNp9A14AaABAg,2023-05-17T08:44:35Z,2023-05-17T08:44:35Z,2,To think they would take some C tier characters nobody knew about and turn them into one of the most iconic series of character is beyond me. James Gunn is phenomenal
2LIQ2-PZBC8,UgyJyLTOWnc17LV9KPh4AaABAg,2023-05-16T15:20:29Z,2023-05-16T15:20:47Z,1,This hits different after the trilogy....... Decade ago no one knows who these characters were...... Awesome Trilogy........
2LIQ2-PZBC8,UgzS1xqZU4rwwvHJdNR4AaABAg,2023-05-14T15:13:32Z,2023-05-14T15:13:32Z,2,Playing the dead space remake for multiple hours straight with the vol 1 and 2 records blasting out of speakers the whole time was a f**king vibe
2LIQ2-PZBC8,UgyuhCk05YM5STBSXU94AaABAg,2023-05-13T18:05:37Z,2023-05-13T18:05:37Z,5,"Shows: Knowhere.
Screen says: ""Start Somewhere""
Never noticed that before. Nice touch."
2LIQ2-PZBC8,UgwEqw71LRYYk0YWv6x4AaABAg,2023-05-13T03:03:10Z,2023-05-13T03:03:10Z,1,"Pt2
Better than 3! But all 3 is great"
2LIQ2-PZBC8,Ugw280gCQqc_PV0QH7d4AaABAg,2023-05-10T14:26:19Z,2023-05-10T14:26:19Z,4,Here after volume 3
2LIQ2-PZBC8,Ugwxpq9wX6VRkv67P4d4AaABAg,2023-05-04T15:55:37Z,2023-05-04T15:55:37Z,18,“Ain’t Nothing Like Me Except Me” this my fav dialogue of all time….
2LIQ2-PZBC8,UgwsUOeKgk07tTZBYbd4AaABAg,2023-05-04T12:28:27Z,2023-05-04T12:28:27Z,13,Guardians of the Galaxy had to be rewatched in preparation for Vol. 3 and it never fails to make me love it.
2LIQ2-PZBC8,UgxUC4LEeqamQvplWvJ4AaABAg,2023-04-16T23:08:59Z,2023-04-16T23:08:59Z,3,This is where it all began. Before it's recent times.
