Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
5VYb3B1ETlk,UgyQ9yRAkI00ghXeX894AaABAg,2023-06-23T11:44:06Z,2023-06-23T11:44:06Z,0,Ngl Hawkeye looks like Gordon Ramsay
5VYb3B1ETlk,UgyzOktlqfPU1SyVs9B4AaABAg,2023-06-19T11:41:10Z,2023-06-19T11:41:10Z,0,SEASON 2 NOW PLEASE THANK YOU
5VYb3B1ETlk,UgxryeyT1pYw6hyqR494AaABAg,2023-06-15T14:38:29Z,2023-06-15T14:38:29Z,0,I saw the series and it was pretty good! But in my opinion i think they kinda rushed in the end
5VYb3B1ETlk,UgxQHJmHTZ96egiZFVx4AaABAg,2023-06-04T20:01:01Z,2023-06-04T20:01:01Z,4,Wtf this was a yr ago what happened
5VYb3B1ETlk,UgxNqcnEK9dresTP9gB4AaABAg,2023-05-10T10:26:59Z,2023-05-10T10:26:59Z,1,Hailee Steinfeld always having parental issues be it Nadine Charlie Kate
5VYb3B1ETlk,Ugwdz5-629tB2MXcf3J4AaABAg,2023-05-10T10:26:26Z,2023-05-10T10:26:26Z,0,"Transformers reference was good Kate "" you drive I'll shoot"" from t1"
5VYb3B1ETlk,UgwiigOphGKSDnVq8fN4AaABAg,2023-05-01T13:57:00Z,2023-05-01T13:57:00Z,1,"Marvel is turning into 
a feminist"
5VYb3B1ETlk,UgzHlTjPJu4MaVcb0fN4AaABAg,2023-04-27T17:27:46Z,2023-04-27T17:27:46Z,1,"Hands down, favorite Disney Plus MCU show"
5VYb3B1ETlk,Ugyt9QMfnUI-9iOCm8N4AaABAg,2023-04-17T10:10:05Z,2023-04-17T10:10:05Z,0,Surely Hawkeye will get ran over by snowplow and brush it off like nothing at some point.
5VYb3B1ETlk,UgzdKFYJi-g9zVQhBVB4AaABAg,2023-04-09T13:38:08Z,2023-04-09T13:38:30Z,1,"after watching the shows, seems like hawkeye is very weak? why?. is clint old already as hawkeye?"
5VYb3B1ETlk,Ugz928Y-M2kHckpbc7Z4AaABAg,2023-04-04T19:42:28Z,2023-04-04T19:42:28Z,1,"This is one of the sickest series Marvel made, props 🤜💥🤛 and Hailee Steinfeld is such a babe.❤"
5VYb3B1ETlk,Ugxp9YCrLOqo1MsiZ0V4AaABAg,2023-03-31T05:13:44Z,2023-03-31T05:13:44Z,1,I love this film
5VYb3B1ETlk,Ugw3Ssc3PdTait8LYRN4AaABAg,2023-03-29T22:44:43Z,2023-03-29T22:44:43Z,1,Hailee Steinfeld is awesome!
5VYb3B1ETlk,UgyEMdB_sDf8zVgL1Tx4AaABAg,2023-03-12T12:44:36Z,2023-03-12T12:44:36Z,1,"Chris Hawkeye the girl from bumblebee betrayed you all. Now she’s in Hawkeye doing the worse to Hawkeye tv series. She’s with Nigler in my house she betrayed just for basar and blood. Shalom Hashem and Tikvah, HaTikvah Yisroel be with you and all. Shalom Hashem"
5VYb3B1ETlk,UgzjgbpEASEKRm3X7nF4AaABAg,2023-03-11T11:42:39Z,2023-03-11T11:42:39Z,0,Marvel studios is Hawkeye
5VYb3B1ETlk,Ugw3H1O81gYE4aNvSiV4AaABAg,2023-03-10T19:10:34Z,2023-03-10T19:10:34Z,2,"Looked for action, found this series aiming toward teenage girls... Then again most marvel stuff is made toward kids...."
5VYb3B1ETlk,UgyK_x0_RTC7zEwY0wJ4AaABAg,2023-03-02T06:35:53Z,2023-03-02T06:35:53Z,1,"Finally watched, another lil rich girl brat. It's just gotta be one in every movie. She most def talked too much 🙄🤷🏽‍♀️"
5VYb3B1ETlk,UgyzuNZyzz1IUhVdsfl4AaABAg,2023-03-01T19:47:18Z,2023-03-01T19:47:18Z,1,I didn't get the ummmmph ! something missing ! boring boring boring - just bring back the Blackwidow
5VYb3B1ETlk,UgyHIde7Pn9mJHrkLBx4AaABAg,2023-02-14T15:36:51Z,2023-02-14T15:36:51Z,0,I can't choose between the marvel heroes 🙈 They are all good. I am 26 and still a mcu fan 😍
5VYb3B1ETlk,UgyKA4dKUg_7TLxZcth4AaABAg,2023-02-12T20:21:49Z,2023-02-12T20:21:49Z,0,the music tho😷
5VYb3B1ETlk,UgyayWxoBXDqYcF9KR14AaABAg,2023-02-02T09:51:01Z,2023-02-02T09:51:01Z,1,Does anyone remember in Avengers Age of Ultron Quicksilver sacrificed himself to save Hawkeye
5VYb3B1ETlk,UgwH2xDkGhvwYmyifER4AaABAg,2023-01-23T02:46:13Z,2023-01-23T02:46:13Z,0,"I didn't know he was hooked on cocaine, I would've suspected Dr.Davis Banner, the way he ""HULKS"" out and everything.  😂😂😂😂😂"
5VYb3B1ETlk,UgyZw-8W_CBRF25qQVt4AaABAg,2023-01-22T15:00:17Z,2023-01-22T15:00:17Z,1,Another Disney woke crap.
5VYb3B1ETlk,UgywPiRQ64Y-gIUkm294AaABAg,2023-01-19T12:26:37Z,2023-01-19T12:26:37Z,1,Tracksuit Mafia should have their own show! They nailed it XD
5VYb3B1ETlk,Ugw0cEUxBkpUYA-fLxJ4AaABAg,2023-01-06T11:31:09Z,2023-01-06T11:31:09Z,0,"""With Hawkeye out the picture, it's time to wage war"" - Thanos"
5VYb3B1ETlk,UgzRKbOP_Fk8QuD_dyJ4AaABAg,2023-01-03T06:31:03Z,2023-01-03T06:31:03Z,3,The snow plower has become the plowed
5VYb3B1ETlk,UgxojHBrruAp5vRQ2Al4AaABAg,2023-01-02T08:07:13Z,2023-01-02T08:07:13Z,9,Wishing Jeremy Renner all the best 💘 Get well soon
5VYb3B1ETlk,UgzUt4_YTkOKsG3eweZ4AaABAg,2022-12-30T20:44:29Z,2022-12-30T20:44:29Z,3,such a good a series
5VYb3B1ETlk,UgyvaguNDbuQm5Pu-rR4AaABAg,2022-12-29T08:04:00Z,2022-12-29T08:04:00Z,1,Literally one of my favorites from phase 4
5VYb3B1ETlk,UgxwzCakJeBT4b8A3i14AaABAg,2022-12-26T03:36:12Z,2022-12-26T03:36:12Z,1,"Today is December 25, 2022 and it’s already been a year since the finale came out last year right before Christmas. Spider-Man No Way Home released the weekend prior. Man time flies!"
5VYb3B1ETlk,UgyQDpoR7e5_KaHjpnB4AaABAg,2022-12-24T04:30:52Z,2022-12-24T04:30:52Z,7,One year reunion! I don’t care what anyone says I loved this series!
5VYb3B1ETlk,UgzrV_R6zjSDTrPNteZ4AaABAg,2022-12-19T10:06:56Z,2022-12-19T10:06:56Z,14,We Need Season 2
