Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
3cxixDgHUYw,UgwzxtEbDX4UIqZiBet4AaABAg,2023-06-24T09:18:20Z,2023-06-24T09:18:20Z,1,Justice League Trailer After This Film The First One In 2017. Made Justice League Part 2 (2020) And Justice League Part 3 (2021) And Justice League Part 4 (2024) And Justice League Part 5 (2025) And Justice League Part 6 (2028) And Justice League Part 7 (2029) And Justice League Part 8 (2030).
3cxixDgHUYw,UgxetTWW83Gjwfwt0Yh4AaABAg,2023-06-22T01:03:03Z,2023-06-22T01:03:03Z,1,I watched this movie for first time and I wanted to kill myself. Oh god worst super movie ever.
3cxixDgHUYw,UgyqCJ1ymNkVtx2OjS54AaABAg,2023-06-21T15:35:48Z,2023-06-21T15:35:48Z,0,Amazing how 95% of all the footage in this trailer is from ZSJL! XD 1-2 scenes from the Josstice League!
3cxixDgHUYw,UgxHxepnL9gqSjIn9pJ4AaABAg,2023-06-19T05:01:21Z,2023-06-19T05:01:21Z,0,#thisisthePOINT ... #doyougetmeNOW ...
3cxixDgHUYw,UgwoJmdBVGaRP01u9E14AaABAg,2023-06-18T13:08:11Z,2023-06-18T13:08:11Z,0,So awesome to see that this was the original trailer to the Snyder Cut!!!
3cxixDgHUYw,UgwIsUgZ7T1ogWzNMkN4AaABAg,2023-06-11T03:17:08Z,2023-06-11T03:17:08Z,0,"Justice League Snyder Cut has been saved the franchise, but now they want to restart the whole think??? ARE YOU KIDDING?!?!"
3cxixDgHUYw,Ugwa15NmrIrXy5ItjGZ4AaABAg,2023-06-07T23:51:23Z,2023-06-07T23:51:23Z,0,Epic … but released in 2021
3cxixDgHUYw,Ugw3ocQFZ56QKslYgTN4AaABAg,2023-06-03T08:29:24Z,2023-06-03T08:29:24Z,0,I believe this scene wasn't in the Snyder Cut 2:07
3cxixDgHUYw,Ugz_0IXr3N9qv9MFqMZ4AaABAg,2023-05-28T06:45:30Z,2023-05-28T06:45:30Z,0,guilty. its you
3cxixDgHUYw,Ugx1_nca4QDNKpOZ4ap4AaABAg,2023-05-27T18:28:30Z,2023-05-27T18:28:30Z,0,My be temporary
3cxixDgHUYw,Ugy9pRMxLYp57iPnIEd4AaABAg,2023-05-24T15:24:12Z,2023-05-24T15:24:12Z,0,The russo brothers should’ve made justice league movie instead joss whedon
