Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
nW948Va-l10,Ugw6-JJbRLBgNzdRxmp4AaABAg,2023-06-26T03:18:43Z,2023-06-26T03:18:43Z,0,Woh
nW948Va-l10,Ugw6D3zD7TZtZN0d8-14AaABAg,2023-06-17T10:20:09Z,2023-06-17T10:20:09Z,0,"Hi Loki, robot cakep memilih memasukkan Dede Hermawan 13 kamis ke matahari yang panasnya mengerikan demi diri robot cakep bernasib baik dan memiliki keberuntungan."
nW948Va-l10,UgxyyxWR9b8BgRJ-O3p4AaABAg,2023-06-17T07:56:54Z,2023-06-17T07:56:54Z,0,I can't wait for season 2😍😍😍😍😍
nW948Va-l10,Ugxpyvn2PL3Q6hpQFUt4AaABAg,2023-06-14T01:14:15Z,2023-06-14T01:14:15Z,0,Next season please
nW948Va-l10,Ugymnx5S0-bPjc6ergl4AaABAg,2023-06-13T08:41:51Z,2023-06-13T08:41:51Z,1,"Loki; O; Ragnorak.⚜
The; Battle-Maiden: ♟ 郭展群。♟
O; Illad.⭐
🏰🕊 Roger Koay Chan Khoon. 🕊🏰"
nW948Va-l10,Ugwrnq6kd3W4aoCCD_x4AaABAg,2023-06-12T04:21:25Z,2023-06-12T04:21:25Z,5,Yeh ANIMAL KINGDOM KE PLAYLIST ME KAISE AA GAYA PW KE?? 😂
nW948Va-l10,UgyNnsjgd0QUL5Yx-ZV4AaABAg,2023-06-11T06:41:58Z,2023-06-11T06:41:58Z,4,What this trailer of loki is doing in the Playlist of animal kingdom of pw🤣
nW948Va-l10,UgwM3BSzwXunAqUq8K14AaABAg,2023-06-10T02:59:38Z,2023-06-10T02:59:38Z,0,Loki
nW948Va-l10,Ugz5Xgg9_1w47YQg6dV4AaABAg,2023-06-09T12:59:45Z,2023-06-09T12:59:45Z,0,The series is nothing like the trailer .The series is way too gooooooddddd uts soon gooddd
nW948Va-l10,UgzzAmRID8NzQx1RRd54AaABAg,2023-06-07T01:05:26Z,2023-06-07T01:05:26Z,0,Ya'll don't hate...
nW948Va-l10,UgwE46Zz-_exX9ETjYB4AaABAg,2023-06-07T01:05:12Z,2023-06-07T01:05:12Z,0,Uhh he is ok...
nW948Va-l10,UgwZisReaFjebjIrsJl4AaABAg,2023-06-07T01:03:48Z,2023-06-07T01:03:48Z,0,USA?
nW948Va-l10,UgwLS8J1X-_u6GdkztF4AaABAg,2023-06-07T01:03:41Z,2023-06-07T01:03:41Z,0,Mexican
nW948Va-l10,UgxqNcAtGaL_KZuFPzB4AaABAg,2023-06-07T01:03:21Z,2023-06-07T01:03:21Z,0,"No Chinese is sick, yeah Hispain..."
nW948Va-l10,UgzCRzNVNt--iJ-O6zx4AaABAg,2023-06-07T01:03:01Z,2023-06-07T01:03:01Z,0,"Hyuga tribe, or Uzumaki tribe?? Yeah Korean..., or french??? Vampires in French area, and zombies... Witcher TV series..."
nW948Va-l10,Ugxlxi6YJiC6r5yY7K94AaABAg,2023-06-07T01:02:11Z,2023-06-07T01:02:11Z,0,I'AM SimiLar to you.. but nope.. i'AM not from here...
nW948Va-l10,UgxiJh9h_7TESnzWxyd4AaABAg,2023-06-05T12:28:23Z,2023-06-05T12:28:23Z,0,Low key
nW948Va-l10,Ugx5V8gwZ_0Oz-7O36p4AaABAg,2023-06-01T15:03:48Z,2023-06-01T15:03:48Z,0,😢missing the old Loki god of mischief
nW948Va-l10,UgzKuSma4NpZ5xoIK714AaABAg,2023-06-01T07:47:57Z,2023-06-01T07:47:57Z,3,1:42 delete scene? is that king loki???
nW948Va-l10,Ugx6gbYfg9wb5pHRE5Z4AaABAg,2023-05-26T09:56:22Z,2023-05-26T09:56:22Z,0,the hypeee
nW948Va-l10,UgwI691ZxGbWZ4N4IgF4AaABAg,2023-05-23T17:24:58Z,2023-05-23T17:24:58Z,0,"imagine auditioning for the main character, ending up being the side character/ villain, then getting your own show. Upgrades people, upgrades"
nW948Va-l10,Ugz5rx_K4_w32HA--g14AaABAg,2023-05-20T07:50:11Z,2023-05-20T07:50:11Z,0,Loki is the orochimaru of the marvel
nW948Va-l10,UgxhOvhsNG5quY3M28V4AaABAg,2023-05-20T02:42:11Z,2023-05-20T02:42:11Z,1,So excited for Season 2!! Love you Tom Hiddleston!! ❤
nW948Va-l10,UgxsuRz9pqTOKTow4Ut4AaABAg,2023-05-19T19:59:54Z,2023-05-19T19:59:54Z,0,i bought a black shirt for a 1 dollar brand new and it had green and his photo and sais time variant authority. i didnt even know who he was lol
nW948Va-l10,UgxyKUfXbQgJUquyEwR4AaABAg,2023-05-18T07:13:51Z,2023-05-18T07:13:51Z,5,why this trailer is in the playlist of animal kingdom in competition wallah 😂😂
nW948Va-l10,UgxKmP9jLzn72y98CLF4AaABAg,2023-05-17T03:07:33Z,2023-05-17T03:07:33Z,3,Lets gooo October 6!!!
nW948Va-l10,UgwV_NcjPKCV2oCw_bB4AaABAg,2023-05-16T21:57:08Z,2023-05-16T21:57:08Z,1,We have a release date for Season 2 October 6 I’m not kidding
nW948Va-l10,Ugx-5OSXp5emFbJbY_d4AaABAg,2023-05-16T12:22:21Z,2023-05-16T12:22:21Z,2,Who is here from PHYSICS WALLAH's playlist??😂😂
nW948Va-l10,UgwNfe_eilKvNA6cOmF4AaABAg,2023-05-02T06:45:53Z,2023-05-02T06:45:53Z,9,Bruh...how is this on the playlist of official PW channel 😅
