Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
x7Krla_UxRg,UgxuBcoMbpvMzB9r98l4AaABAg,2023-06-27T02:02:17Z,2023-06-27T02:02:17Z,1,wow oscar isaac is the only one that could pull something like this off. doesn’t feel like a marvel thing wow wow wow… his acting is so real and believable it’s crazy in this fantasy plot this whole thing felt like a fever dream i am so shaken literally reeling
x7Krla_UxRg,UgzVdPi4gSm9Fwix2Ed4AaABAg,2023-06-20T05:40:09Z,2023-06-20T05:40:09Z,0,When the movie?
x7Krla_UxRg,Ugyyjqdqrp3gJe879nV4AaABAg,2023-06-18T09:44:32Z,2023-06-18T09:44:32Z,1,Moon knight season 2 when?
x7Krla_UxRg,UgwNBkBx7xLiJN1B-xh4AaABAg,2023-06-15T04:29:40Z,2023-06-15T04:29:40Z,2,"Dear Mr. Feige 

I NEED MORE MOONKNIGHT!!!! 

Thank you. 

Best Regards

Popon"
x7Krla_UxRg,Ugyri3R4P47Z93NBps94AaABAg,2023-06-14T13:29:22Z,2023-06-14T13:29:22Z,0,Is this show good???? I haven’t seen it
x7Krla_UxRg,Ugw5npIkNYCWZW8wHBV4AaABAg,2023-06-12T20:43:27Z,2023-06-12T20:43:27Z,2,Best serie marvel after loki
x7Krla_UxRg,Ugzb_UkG7XYKirXs-Yx4AaABAg,2023-06-12T15:01:12Z,2023-06-12T15:01:12Z,1,"Fun fact: the actor of steven grant is oscar isaac, who did an act in star wars: the force awakens, star wars: the rise of Skywalker and hes a voice actor of Miguel O'Hara in spider man, across the spider-verse"
x7Krla_UxRg,UgwfS5eqMDDtfBjf-K14AaABAg,2023-06-11T17:37:31Z,2023-06-11T17:37:31Z,3,i need second season😩
x7Krla_UxRg,UgyuOFcEcFTx82BJTM14AaABAg,2023-06-10T00:46:42Z,2023-06-10T00:46:42Z,2,"I've been on a hiatus from watching any series or movies since endgame because of what happened with Tony, today i chose to start again and moon knight was my pick, I'm obsessed!! I loved everything in it from the story to the output the soundtrack, everything!! The acting was just great Oskar Isaac was amazing.
I really need a second season of this"
x7Krla_UxRg,UgwqR1OdOIuLdo2Ju2J4AaABAg,2023-06-08T20:56:00Z,2023-06-08T20:56:00Z,0,Marvel sell your rights to The Punisher. You don't deserve them anymore.
x7Krla_UxRg,UgyTA77ukd1g57dIJJF4AaABAg,2023-06-05T03:45:04Z,2023-06-05T03:45:04Z,1,"the moon night character is amazing as
deadpool character is, they just need to
focus on the story"
