Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
WHXq62VCaCM,UgzboDu4P34trhFzu8V4AaABAg,2021-12-03T14:01:14Z,2021-12-03T14:01:14Z,401,Check out what else is coming to HBO Max: https://youtube.com/playlist?list=PLSduohp5OGX6fdJansFhmOYSp1Tbj0rHt
WHXq62VCaCM,UgwZZWL0hZF-5qoDo494AaABAg,2023-06-16T07:56:46Z,2023-06-16T07:56:46Z,0,❤
WHXq62VCaCM,Ugy9kKQOMeZKudjtMM14AaABAg,2023-05-31T20:12:56Z,2023-05-31T20:12:56Z,2,This show is soo woke yet it's not bad which is so weird
WHXq62VCaCM,Ugxc-tWx5Y2pELuzXFF4AaABAg,2023-05-23T13:57:35Z,2023-05-23T13:57:35Z,0,"Brilliant show made by a crazy genius as James Gunn, it's had everything. I'm afraid we'll must wait until the end of Superman: Legacy for season 2. I hope I'm wrong..."
WHXq62VCaCM,UgxzI3dwCJZxv6z9cYl4AaABAg,2023-05-19T10:45:33Z,2023-05-19T10:45:33Z,0,Man I hope nothing bad happened to peacemaker
WHXq62VCaCM,UgyDWq-rrRSyQ_y_3514AaABAg,2023-05-17T22:40:54Z,2023-05-17T22:40:54Z,1,Good show overall. A bit preachy in a negative way but it’s only a few moments that don’t last long. Everything else is pretty damn good
WHXq62VCaCM,UgxirYJFfsylaBoTjxh4AaABAg,2023-05-09T12:17:55Z,2023-05-09T12:17:55Z,0,John cena 🥰
WHXq62VCaCM,UgzEBe409F1uZHoMvWl4AaABAg,2023-05-06T08:39:56Z,2023-05-06T08:39:56Z,1,Ggs
WHXq62VCaCM,UgxSvoIFNK1EonUOsVV4AaABAg,2023-05-02T00:09:41Z,2023-05-02T00:09:41Z,0,Sure
WHXq62VCaCM,UgwGeFQKlDng-4gXsOt4AaABAg,2023-04-14T13:39:41Z,2023-04-14T13:39:41Z,0,Watching this now
WHXq62VCaCM,UgwnO7RSJa9aqiVCGZp4AaABAg,2023-03-31T06:06:33Z,2023-03-31T06:06:33Z,0,Dude I really enjoyed the show. A lot. It’s one of those shows that are action comedy that make you feel happy watching it. I just rewatched it again and yeah it’s phenomenal. I wish/hope James Gunn does fight scenes like in this show from now on in the DCU.
WHXq62VCaCM,UgwvKVGi32ZpGnucrFd4AaABAg,2023-03-28T21:59:23Z,2023-03-28T21:59:23Z,0,there's a load of woke nonsense but the tone of the show makea it seem tongue in cheek
WHXq62VCaCM,UgxVw-Dl_pe-jTW2gkJ4AaABAg,2023-03-23T19:02:35Z,2023-03-23T19:02:35Z,1,Can’t get enough of this masterpiece!!!!👏👏👏👏
WHXq62VCaCM,UgxVWqFXbNwea7e1hy14AaABAg,2023-03-18T04:16:48Z,2023-03-18T04:16:48Z,1,His father died at the end by him
WHXq62VCaCM,UgwxQ4XvMuxB8kIWh5V4AaABAg,2023-03-09T05:05:35Z,2023-03-09T05:05:35Z,0,"I wont be back for season 2 if there even is one. Peacemaker prolly gonna wear a skirt and have ""they/them"" pronouns LOLL"
WHXq62VCaCM,UgxjI0NTL7hFKZw9PvN4AaABAg,2023-03-09T05:00:15Z,2023-03-09T05:00:15Z,0,it was woketarded
WHXq62VCaCM,UgyzoZ9fkb971f-i7aZ4AaABAg,2023-03-07T14:32:55Z,2023-03-07T14:32:55Z,0,"Sorry, i had to downvote it for not showing Eagly ! Not even once !"
WHXq62VCaCM,Ugz_RMRnkwXZPI36xjl4AaABAg,2023-03-04T18:48:41Z,2023-03-04T18:48:41Z,0,Hindi please
WHXq62VCaCM,UgxSgfkFZjE75sGe9DR4AaABAg,2023-02-16T08:39:52Z,2023-02-16T08:39:52Z,1,Когда выйдет 2 сезон
WHXq62VCaCM,UgxkNhf4BOZsSJhA6G54AaABAg,2023-02-16T08:39:10Z,2023-02-16T08:39:10Z,1,Классный сериал
WHXq62VCaCM,UgyAAeSMXlhZfQiuxul4AaABAg,2023-02-12T22:16:24Z,2023-02-12T22:16:24Z,1,Best series after Breaking Bad in my humble opinion. Hopefully the next season is coming as soon as possible 
WHXq62VCaCM,Ugyz4S9-v7N3BSbxdYh4AaABAg,2023-02-04T06:41:21Z,2023-02-04T06:41:21Z,0,This show is better than all the superhero movies I've watched
WHXq62VCaCM,Ugyi162rkV3oV1BqxMd4AaABAg,2023-02-03T01:15:05Z,2023-02-03T01:15:05Z,0,"I am really enjoying this series. All the cast are brilliant, there are some interesting twists, and it is the first time watching a series that I cannot help but watch the whole intro for every episode as it is SO much fun. Oh, and it helps that John Cena is so incredibly nicely built. I have never known someone make a pair of Tighty-Whities look so good as he does. 🙂#SpoilerFree  #Update #EmotionalRollerCoaster - 
After binge viewing this series to the end, I have to say I was incredibly moved by the last few episodes.....they really got me in the feels. Well done to everyone involved in the making of this series. #ChefsKiss"
WHXq62VCaCM,Ugyv7uvoO3rTehHHk514AaABAg,2023-01-29T19:24:37Z,2023-01-29T19:24:37Z,0,One major reason I love this show is it’s setting. When have we ever had a superhero show set in the suburbs. It’s a different vibe and it works great.
WHXq62VCaCM,UgxB9FC0Ho0f4spNH5d4AaABAg,2023-01-29T03:49:25Z,2023-01-29T03:49:25Z,0,"Appears to have been written by a child and Cena is painful to watch, I can't believe people find this funny or entertaining, each to their own I suppose but boy oh boy it looks bad."
WHXq62VCaCM,UgwGwAp2ANTwEP1gxIt4AaABAg,2023-01-25T09:30:30Z,2023-01-25T09:30:30Z,0,Homeless people and incels are angry at the world. They could attack our fellow citizens today. We need to help them be happier with the Universal Basic Income. So they don’t attack us. canceled
WHXq62VCaCM,Ugxb_VGypBHTy0PXHEp4AaABAg,2023-01-19T04:36:42Z,2023-01-19T04:36:42Z,0,The guy that plays the police captain is an amazing actor. I will never forget him in the Van Helsing series. Mohaaaaaaammmeeeeeeedddd....
WHXq62VCaCM,UgwmFSGwx8FRvdQI0hV4AaABAg,2023-01-14T03:30:47Z,2023-01-14T03:30:47Z,1,C.r.a.p.
WHXq62VCaCM,Ugznh8JSAUtN7vZTKi54AaABAg,2023-01-12T20:10:35Z,2023-01-12T20:10:35Z,1,So underrated
WHXq62VCaCM,UgwCLBgM_VpheqPQWG54AaABAg,2023-01-11T07:25:16Z,2023-01-11T07:25:16Z,0,I'm not watching it anymore. Once again you people are trying to use SOMEONE ELSE'S WORK to push your own agenda. I'm tired of most of us are. Now you've lost a customer and maybe more. I will spread my opinion about the show and the fact that you used it as a platform to push your ideology. Marx was a ideologue and he's responsible for more deaths than anyone in history.
WHXq62VCaCM,UgzjRy-XIv4nl7q4L-54AaABAg,2023-01-04T16:23:44Z,2023-01-04T16:23:44Z,1,Just realized vigilante played in harry potters films and that he was that guy in the quidditch match
WHXq62VCaCM,UgyHqEdQf7p2O9BmbrN4AaABAg,2023-01-04T16:20:30Z,2023-01-04T16:20:30Z,0,"I dont understand peacemaker sometimes he fights good sometimes he cant even beat an opponent sometimes he fell of a building like nothing and sometimes he gets hurt when he jump over 3-4 meters high. I personally thought he would be a bit better and stronger at fighting and I think he should use his helmets more or whatever armor, stuff he got in his house, the serie is still good tho."
WHXq62VCaCM,UgzPSMy3K8EVQgWwDrt4AaABAg,2022-12-29T00:57:56Z,2022-12-29T00:57:56Z,0,"Damn, this should have been in Chinese, to depict real Chinamen."
WHXq62VCaCM,UgwoVnH4QjnEeLWBSsR4AaABAg,2022-12-22T17:32:21Z,2022-12-22T17:32:21Z,0,John Cena just nailed it ❤️
WHXq62VCaCM,UgxoLXvWIS5SqDuFixR4AaABAg,2022-12-15T09:23:19Z,2022-12-15T09:23:19Z,0,"if henry cavill is no longer part of the dceu, then i'm done watching the dceu for good."
WHXq62VCaCM,Ugy5Hgl2lxJwmqljB894AaABAg,2022-11-23T19:11:57Z,2022-11-23T19:11:57Z,3,Wow after watching the first episode I think this show should be called cringemaker
WHXq62VCaCM,UgwXH2ItXB8-8zD5Kol4AaABAg,2022-11-21T20:28:39Z,2022-11-21T20:28:39Z,3,"crazy how a nambla pedphile (James Gunn) is even able to exist in the film industry. oh that's right, hollywood is all pedophiles."
WHXq62VCaCM,Ugyb_-zQGoawo0fs_X54AaABAg,2022-11-20T18:38:48Z,2022-11-20T18:38:48Z,0,She took the money from her sister and mom
WHXq62VCaCM,UgzOr745nn0b7-WmF5B4AaABAg,2022-11-17T07:49:14Z,2022-11-17T07:49:14Z,0,Hindi Dubbed Plz
WHXq62VCaCM,UgwMTl-hIk0gdHoXIsR4AaABAg,2022-11-10T20:42:17Z,2022-11-10T20:42:17Z,0,What if bayley from WWE saw this
WHXq62VCaCM,Ugz11NoyUdBpDkPr5sB4AaABAg,2022-11-09T19:00:35Z,2022-11-09T19:01:02Z,2,"I really thought this was goin to be something like "" She hulk "" but it was so much better.  Just the right amount of comedy and action...and the plot and suspense kept everything interesting. This is also a great way to introduce new characters like Vigilante.  Cant wait for more seasons."
WHXq62VCaCM,Ugzyuz0Zkxr3PjvvdMd4AaABAg,2022-10-24T13:48:07Z,2022-10-24T13:48:07Z,2,Is it just me or everybody else is also not able to see John cena  throughout the trailer. I just can't see him ......
WHXq62VCaCM,UgyNwyXTM_7nNTDiP_t4AaABAg,2022-10-22T14:26:02Z,2022-10-22T14:26:02Z,1,I liked The Suicide Squad but is this show worth a watch?
WHXq62VCaCM,UgzWUCCM59Wr12wm4NV4AaABAg,2022-10-21T13:16:50Z,2022-10-21T13:16:50Z,0,How they make a whole show with no protagonist🤨
WHXq62VCaCM,UgzGDvffzcJSzSgRdO94AaABAg,2022-10-17T16:05:46Z,2022-10-17T16:05:46Z,0,it's not also good but also epic
WHXq62VCaCM,UgyEwzJ-hVkmelBsxrB4AaABAg,2022-10-16T09:53:07Z,2022-10-16T09:53:07Z,0,I think they need to do something with his suit. Looks too cosplayish.
WHXq62VCaCM,Ugwf79vC48JNrt4AajJ4AaABAg,2022-10-08T11:07:08Z,2022-10-08T11:07:08Z,1,I thought they would reveal the main character at least in the first season. I guess I'll have to wait for season 2.
