Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
eg5ciqQzmK0,Ugw2dWtTFABP7NP3R594AaABAg,2023-06-25T21:51:46Z,2023-06-25T21:51:46Z,0,"You know a movie is awesome, when you came back to the trailer after watching it."
eg5ciqQzmK0,UgxyGk3-oTJczk8WLsJ4AaABAg,2023-06-25T19:46:10Z,2023-06-25T19:46:10Z,0,"This movie is waaay better than the first one. Loved this movie. Love it just as much as Deadpool and guardians. Entertaining, funny and great display of violence.

All characters and side characters did great. I hope they go for part 3"
eg5ciqQzmK0,UgxFNfs4PvwjzRPIzqd4AaABAg,2023-06-21T20:35:55Z,2023-06-21T20:35:55Z,1,2:18 bird
eg5ciqQzmK0,UgzFcVB8pwcIAYOn0nd4AaABAg,2023-06-15T00:43:50Z,2023-06-15T00:44:03Z,1,"1:14 ""FROM THE HORRIBLY BEAUTIFUL MIND OF JAMES GUNN"" 
Best DC trailer no doubt about it"
eg5ciqQzmK0,Ugzc8d0WKftxZ6sEUeF4AaABAg,2023-05-19T17:48:13Z,2023-05-19T17:48:13Z,14,"Gunn is the only director who can put fun, absurd, crazy, and emotional in one movie, an incredible mind indeed."
eg5ciqQzmK0,UgxsYIKhCF3xvgZ25JN4AaABAg,2023-05-10T10:18:27Z,2023-05-10T10:18:27Z,5,Oh how did you make the worst movie into the best movie of the year😍
eg5ciqQzmK0,UgxMhWHLDNU0AYQcqwV4AaABAg,2023-05-08T05:53:21Z,2023-05-08T05:53:21Z,1,Out of all trailers for the suicide squad movies Ayer’s included this is the best one
eg5ciqQzmK0,Ugx9Lzjvgfd4-JMae854AaABAg,2023-05-04T16:26:37Z,2023-05-04T16:26:37Z,2,2:11 has to be the best title sequence I've seen
eg5ciqQzmK0,UgxVpWBp_IOr6e8ayjJ4AaABAg,2023-05-03T16:21:45Z,2023-05-03T16:21:45Z,0,1:23
eg5ciqQzmK0,UgzYQin6O8dgtaGlCf54AaABAg,2023-05-01T05:58:30Z,2023-05-01T05:58:30Z,0,Harrlyqueen and ryan win thankes pNada.
eg5ciqQzmK0,Ugxsgt2XbQaZmJofkdR4AaABAg,2023-04-25T17:24:04Z,2023-04-25T17:24:04Z,1,"I love it when Hollywood shows what America really is 
Power hungry international bully murderers"
eg5ciqQzmK0,UgyOlrzagm4r_RndHix4AaABAg,2023-04-24T17:35:14Z,2023-04-24T17:35:14Z,0,where my puddin?😥
eg5ciqQzmK0,UgyByStv5fFXAhYC4uZ4AaABAg,2023-04-23T18:07:00Z,2023-04-23T18:07:00Z,0,"RIP Will
 Smith, will never be hired for a movie again."
