Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
iuk77TjvfmE,UgxV_BogwdgFEz0jqGt4AaABAg,2023-06-27T15:00:26Z,2023-06-27T15:00:26Z,0,That's a lot of Flerken. 😆
iuk77TjvfmE,Ugy6Ibpn8_cqUC-sbSR4AaABAg,2023-06-27T12:44:38Z,2023-06-27T12:44:38Z,0,"Man I really hope the actual story is good, this trailer already looks pretty good but you never know…"
iuk77TjvfmE,UgyMbMwBN9GGAE6TMK94AaABAg,2023-06-27T09:32:58Z,2023-06-27T09:32:58Z,0,this movie comes out on my birthday. should i watch
iuk77TjvfmE,UgzroPHTwYv2GE9m6d54AaABAg,2023-06-27T09:07:19Z,2023-06-27T09:07:19Z,0,"🎶Don't you tell me to smile 🎶

Yeah, OK. Don't worry, Brie. We promise nobody's going to ask you to act with anything, even closely resembling a human emotion, let alone, anything corresponding to happiness, optimism or joy. Just stay as flatten lifeless as you are. Nah, it'll be fine."
iuk77TjvfmE,UgxK4qdB6TRUcCWTYc54AaABAg,2023-06-27T08:47:03Z,2023-06-27T08:47:03Z,1,"Im not sure how their power connection works because none of their powers have any relation with each other. Carol gets hers from a reactor/tesseract, Monica from the Hex, and Kamala with her bangle and mutant genes. Still interested in seeing what happens."
iuk77TjvfmE,Ugyx9q0623jSue5yqCt4AaABAg,2023-06-27T08:06:32Z,2023-06-27T08:06:32Z,1,"I yes, starting the trailer of with another one of those, look at how quircky I am jokes"
iuk77TjvfmE,UgxL6d70VviM72NoyPd4AaABAg,2023-06-27T06:00:26Z,2023-06-27T06:01:15Z,1,"Marvel crew , an advice from a common man : bring back iron man as ""the kid from iron man 3"" then  make him and Peter Parker friends

Mcu Your universe is collapsing Iron man is the heart of this universe If you can't bring him back you cannot become the Marvel which was 5 years ago"
iuk77TjvfmE,UgwKAidHJ8O_utjuhit4AaABAg,2023-06-27T01:50:40Z,2023-06-27T01:50:40Z,1,two people will watch this
iuk77TjvfmE,Ugxdmv_Oy5CX5BOlujN4AaABAg,2023-06-27T01:35:11Z,2023-06-27T01:35:11Z,1,Only good character in there will be fury
iuk77TjvfmE,UgyuhzKvPAtnDeNNfgt4AaABAg,2023-06-27T00:20:08Z,2023-06-27T00:20:08Z,3,Definitely not watching
iuk77TjvfmE,Ugy9cQEV0zj4iutyOXt4AaABAg,2023-06-26T22:48:27Z,2023-06-26T22:48:27Z,1,"I'm sorry, but this movie is going to be terrible. And by that I mean the worst thing the MCU has ever put out, by a mile. Hopefully I'm wrong, but at least Disney knows that the expectations for this film are at rock bottom."
iuk77TjvfmE,UgxbrJR0zoI5BjLUbY54AaABAg,2023-06-26T17:27:11Z,2023-06-26T17:27:11Z,5,Looking forward to this!
iuk77TjvfmE,UgzF4dbpHA8ac6SdgCl4AaABAg,2023-06-26T17:20:44Z,2023-06-26T17:20:44Z,1,"Man Marvel really dropped the ball since No Way Home. Guardians 3 was great, but this just looks like more of the cold soup we’ve been getting lately. Kinda sucks. Such great characters given such poor treatment."
iuk77TjvfmE,UgwTlxCA33orH8isGg54AaABAg,2023-06-26T15:51:05Z,2023-06-26T15:51:05Z,1,Looks better than the Captain Marvel movie at least.  I wonder how many theaters Disney will rent out this time to get it over a billion dollars.
iuk77TjvfmE,UgzWG_5SqiFwEKQg0jh4AaABAg,2023-06-26T12:20:02Z,2023-06-26T12:20:02Z,2,The fact that this video has 700k dislikes is crazy to me
iuk77TjvfmE,UgwjgnFkk78dZRgsmmx4AaABAg,2023-06-26T08:36:07Z,2023-06-26T08:36:07Z,1,Yoo finally a movie so tired of all this shows
iuk77TjvfmE,Ugy5yY05tSh0lpYDUX14AaABAg,2023-06-26T07:06:58Z,2023-06-26T07:06:58Z,1,784k dislikes as of 6/26
iuk77TjvfmE,UgyE4FLy5EcdbM6rr0F4AaABAg,2023-06-26T05:42:41Z,2023-06-26T05:42:41Z,2,Wow  no one wanted this another flop
iuk77TjvfmE,Ugwyu4oVYY0XDYKejoN4AaABAg,2023-06-26T03:08:36Z,2023-06-26T03:08:36Z,1,Funny how they apear that way 😂
iuk77TjvfmE,UgyJbRUuJ6gs0xnicLV4AaABAg,2023-06-26T03:02:03Z,2023-06-26T03:02:03Z,1,I am worried how woke they plan to make this movie.
iuk77TjvfmE,Ugz4os6EVx7iNbzd-CJ4AaABAg,2023-06-26T00:11:34Z,2023-06-26T00:11:34Z,1,Park seo joon 😍😍💗💗 1:38
iuk77TjvfmE,UgxNjGudzuc28I97bFJ4AaABAg,2023-06-25T22:38:06Z,2023-06-25T22:38:06Z,1,Yawn
iuk77TjvfmE,UgzcG3DgsvQJk68QLqZ4AaABAg,2023-06-25T21:41:51Z,2023-06-25T21:41:51Z,0,PARK SEO JOON SLAYYYYY🥳🥳🥳
iuk77TjvfmE,UgwQeXPtopT3KVSxX2F4AaABAg,2023-06-25T20:13:16Z,2023-06-25T20:13:16Z,0,"I love the moment when they met some guy in the locker room saying ""Hey buddy I think you got the wrong door. The leather club is two blocks down"""
iuk77TjvfmE,UgzZqkHmacMnBXW0I5V4AaABAg,2023-06-25T16:53:57Z,2023-06-25T16:54:34Z,8,"I loved it when Ms Marvel said ""GO AWAY NOW"" and proceeded to neck a bottle of Jack Daniels"
iuk77TjvfmE,UgzfGy0sqyG4pcDHF1d4AaABAg,2023-06-25T14:24:36Z,2023-06-25T14:24:36Z,0,Another future box office disaster.
iuk77TjvfmE,Ugz5uZQWEaGMn06Qe5J4AaABAg,2023-06-25T13:30:07Z,2023-06-25T13:30:07Z,0,Ms marvel said oh my god as if shes doing a ph video with mandingo
iuk77TjvfmE,UgzpbLlLIzBLA984Ir14AaABAg,2023-06-25T09:40:47Z,2023-06-25T09:40:47Z,0,Park seojun❤❤❤🎉
iuk77TjvfmE,Ugyes5St37dHXd5RzBl4AaABAg,2023-06-25T04:37:23Z,2023-06-25T04:37:23Z,2,Flop in india
iuk77TjvfmE,UgxMLmzWigFbCkpQ9yx4AaABAg,2023-06-25T03:01:41Z,2023-06-25T03:01:41Z,1,Bro no one even likes captain marvel in comics why would we like the mcu adaptation 😂
iuk77TjvfmE,UgwMzO5-00Ax8HsOFAZ4AaABAg,2023-06-25T02:28:28Z,2023-06-25T02:28:28Z,6,feminism destroying the world
iuk77TjvfmE,UgyRGGrzm8zBuwCvr_J4AaABAg,2023-06-25T00:45:34Z,2023-06-25T00:45:34Z,1,I want this...I want it! I don't care who whines about these features.
iuk77TjvfmE,Ugww3X7nvIW-H_DVnXt4AaABAg,2023-06-25T00:36:57Z,2023-06-25T00:36:57Z,1,Did I just watch Park Seo John?
iuk77TjvfmE,UgxXBHxIBDJY0ILBKQ54AaABAg,2023-06-24T21:53:22Z,2023-06-24T21:53:22Z,0,Wow!  This might be better than Worldview 2!!
iuk77TjvfmE,UgxGOI9xGLukw6DLZZB4AaABAg,2023-06-24T19:37:08Z,2023-06-24T19:37:08Z,2,"I hope this movie is going to be good, solely for the intergalactic music, also don't smile!"
iuk77TjvfmE,UgwW3KT3aJuCMQVUmcx4AaABAg,2023-06-24T18:23:22Z,2023-06-24T18:23:22Z,0,Okay Just Gonna Say one thing *I LOVE THE MARVELS CANT WAIT FOR THE MOVIE BUT STOP THE HATE PEOPLE ITS NOT MARVELS FAULT ITS DISNY+ THEY WANT THE MARVEL MOVIES TO FEEL COMING OF AGE AND GENZ SO STOP HATEING ON THIS MOVIE*
iuk77TjvfmE,UgyKjKmcwOytseVO9Dt4AaABAg,2023-06-24T18:19:05Z,2023-06-24T18:19:05Z,0,"Keine Ahnung, sieht irgendwie billig aus. Endgame war schon etwas meh, aber alles was danach kam, war für mich persönlich größten Teils Schrott."
iuk77TjvfmE,UgxLlbS4hqRznz6gSjd4AaABAg,2023-06-24T17:36:59Z,2023-06-24T17:36:59Z,0,This is still hitting a little hard now after watching the first episode of Secret Invasion
iuk77TjvfmE,UgzdmbZupMtQwtHy_ZV4AaABAg,2023-06-24T13:53:54Z,2023-06-24T13:53:54Z,0,Glad to see all the top comments aren’t hating this cuz this looks like some woke BS anymore. I know the Brie Larson hate is kinda warranted (I don’t think she’s a good captain marvel either) but I’m going to reserve any judgement until the movie comes out and not just auto-hate it.
iuk77TjvfmE,UgyppaI04HvGETx1u9p4AaABAg,2023-06-24T10:47:20Z,2023-06-24T10:47:20Z,0,I WANT MOREEE
