Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
Fd09zvjdktE,UgzCTFlO5RulZ_S2MiN4AaABAg,2022-05-02T19:46:58Z,2022-05-02T19:46:58Z,0,Brother Blood Nicklaus
Fd09zvjdktE,Ugx3v5rxoRSus-116xJ4AaABAg,2022-04-04T15:24:10Z,2022-04-04T15:24:10Z,0,This episode is great!
Fd09zvjdktE,Ugw7t1M7NydMi4fnqDl4AaABAg,2022-03-30T17:48:04Z,2022-03-30T17:48:04Z,0,ummmmm how many onscreen Joker and batman DC have. Don't wanna be negative but boy Y'll are disjointed
Fd09zvjdktE,UgzatahAB4qSn6fS3DF4AaABAg,2022-02-14T09:38:28Z,2022-02-14T09:38:28Z,1,"Honestly loved this season fam. The first 3 episodes were incredible & although scarecrow did feel like a drag out, most of the season was great imo & this teaser is fckn sick
Gassed for S4🔥🔥"
Fd09zvjdktE,Ugz8MG-OlrwUNDazEet4AaABAg,2022-01-19T15:21:40Z,2022-01-19T15:21:40Z,2,Tim Drake should be the third Robin
Fd09zvjdktE,UgxucD9LU3JnAVgvBMd4AaABAg,2022-01-19T15:04:02Z,2022-01-19T15:04:02Z,1,honnestly Superboy can do all the job alone . 😃
Fd09zvjdktE,Ugw974a88SMh-Ysa6594AaABAg,2021-12-12T15:29:07Z,2021-12-12T15:29:07Z,1,Flop season 😣😏
Fd09zvjdktE,Ugx75_mb1CIYqrMWTcx4AaABAg,2021-12-12T14:16:07Z,2021-12-12T14:16:07Z,1,Great season
Fd09zvjdktE,UgxdkG4xBpL1b1LKO_54AaABAg,2021-11-11T11:18:33Z,2021-11-11T11:18:33Z,0,please hindi dubbed release
Fd09zvjdktE,UgxVkeBuF12b7__4V654AaABAg,2021-11-05T02:47:32Z,2021-11-05T02:47:32Z,3,Worst season
Fd09zvjdktE,UgwM2NxEFhLE6ICsQxh4AaABAg,2021-10-09T00:54:26Z,2021-10-09T00:54:26Z,2,Fun Fact: All of this footage is from the first 3 episodes of the season.
Fd09zvjdktE,UgwYq9V1GtUHhIiCpjN4AaABAg,2021-09-30T12:30:31Z,2021-09-30T12:30:31Z,1,Cant believe theres no second season of Constantine.
Fd09zvjdktE,UgxLjcFm6Gg8JJwzhgl4AaABAg,2021-09-16T00:52:32Z,2021-09-16T00:52:32Z,0,anyone know when it comes to netflix
Fd09zvjdktE,UgwVuloEzJfw5IU_51x4AaABAg,2021-09-01T02:25:42Z,2021-09-01T02:25:42Z,0,Mask looks super CG 😂😂😂😂
Fd09zvjdktE,Ugx_Jye9Z9T-Y90528F4AaABAg,2021-08-31T16:48:39Z,2021-08-31T16:48:39Z,2,BUT #RestoreTheSnyderVerse
Fd09zvjdktE,UgzFwK6ZI47BCR-GJUt4AaABAg,2021-08-19T10:27:54Z,2021-08-19T10:27:54Z,0,I don't know how they made a 3rd season
Fd09zvjdktE,Ugz67l2V87at5zmLAUd4AaABAg,2021-08-18T15:25:53Z,2021-08-18T15:25:53Z,0,Eeeeeeeeeeeeeeeee
Fd09zvjdktE,UgzL3jVF43uwTR9W8zh4AaABAg,2021-08-18T02:04:27Z,2021-08-18T02:04:27Z,1,So when is UK release
Fd09zvjdktE,UgxyE2aYrSb8M7LXFaF4AaABAg,2021-08-09T02:37:01Z,2021-08-09T02:37:01Z,0,"""This is Gotham, the city breeds spl class of criminals"" thanks for summing up Gotham."
Fd09zvjdktE,UgxtfTGp5uin7eNjlMN4AaABAg,2021-08-06T08:35:38Z,2021-08-06T08:35:38Z,0,What's that piano tune? Name of that piano tune at the end?
Fd09zvjdktE,Ugw-5x73_iHgsBcI5TZ4AaABAg,2021-08-04T19:15:32Z,2021-08-04T19:15:32Z,0,Is this for 18+ only?
Fd09zvjdktE,UgzQYLAgYf611wtLb454AaABAg,2021-08-02T15:35:49Z,2021-08-02T15:35:49Z,0,#RestoretheSnyderVerse
Fd09zvjdktE,Ugw_NPiWIeJAnOTvgtV4AaABAg,2021-07-29T00:45:25Z,2021-07-29T00:45:25Z,0,Why he look like that
Fd09zvjdktE,Ugxf0BT0z1btayCluzB4AaABAg,2021-07-27T07:19:51Z,2021-07-27T07:19:51Z,1,Can’t wait really liked the first 2 seasons
Fd09zvjdktE,UgxNUfYaQCKhwmnJchR4AaABAg,2021-07-21T20:06:48Z,2021-07-21T20:06:48Z,0,🔥
Fd09zvjdktE,UgyNw8bkKFZZ7TgwyO54AaABAg,2021-07-19T03:24:54Z,2021-07-19T03:24:54Z,2,This trailer basically proves Titans isn't a Teen Titans show. It's a barely cohesive Batfamily show with random characters thrown in for flavor.
Fd09zvjdktE,UgyWsbFPouNwoovyDz14AaABAg,2021-07-19T00:56:25Z,2021-07-19T00:56:46Z,0,so we get to see more of deathstroke and hopefully this time doesnt hold back as much! also sounds like we get new story of joker and redhood maybe which be nice
Fd09zvjdktE,Ugzll6pu5MifjQ1666R4AaABAg,2021-07-18T03:37:55Z,2021-07-18T03:37:55Z,0,it will be definitely Unbelievable season 👍
Fd09zvjdktE,UgyzLT6L9tNrxusecLl4AaABAg,2021-07-17T13:10:47Z,2021-07-17T13:10:47Z,1,"This little guy, new Robin? Could easily be removed from the show and no one would notice. Such an annoying little fella."
Fd09zvjdktE,UgyZc_7C0xp8g9MaYYp4AaABAg,2021-07-17T05:44:31Z,2021-07-17T05:44:31Z,0,Please tell me this will be joker. AND YES PLEASE TELL ME IT'S CAMERON MOANHAN FROM GOTHAM!
Fd09zvjdktE,Ugz_l_HmKGf8SnM5d814AaABAg,2021-07-16T19:45:01Z,2021-07-16T19:45:01Z,0,Holy shit! Who could the red hood be?🥴
Fd09zvjdktE,UgyMqHG2cra29Kz9zCJ4AaABAg,2021-07-16T07:12:42Z,2021-07-16T07:12:42Z,0,Poeple die here poeple like us
Fd09zvjdktE,UgyvA-FlhkQ7UyfCg6N4AaABAg,2021-07-16T06:31:11Z,2021-07-16T06:31:11Z,0,i wanna know whats rachels aka ravens role we barely see anything from her in these trailers
Fd09zvjdktE,UgyAgQL2SpCfIK3Imq94AaABAg,2021-07-16T01:14:08Z,2021-07-16T01:14:08Z,0,"Looks really cool, but I feel like this show lacks a larger story. It feels fragmented and directionless too often, which is a real waste because most of the characters (other than Starfire) are really well written and largely comic accurate. I’m definitely planning to keep watching, I just hope they can get it together and make some adjustments!

Oh, also, #RestoreTheSnyderVerse and #ReleaseTheAyerCut"
Fd09zvjdktE,UgyOFdJmiokdnNWvvlx4AaABAg,2021-07-16T01:07:03Z,2021-07-16T01:07:03Z,1,TRASH 🤮 RUINED STAR FIRE LOOKING LIKE A HOOKER
Fd09zvjdktE,UgyhKiqF0uVr7ZE2BBh4AaABAg,2021-07-16T00:56:36Z,2021-07-16T00:56:36Z,0,Other than Netflix where can I watch titans?
Fd09zvjdktE,UgzerYGjue6dQGmBbZt4AaABAg,2021-07-15T17:25:13Z,2021-07-15T17:25:13Z,0,Not a fan of the helmet.... so many other (better) options they could've gone with.
Fd09zvjdktE,Ugw1_JN0IVPlDujRe2B4AaABAg,2021-07-15T15:18:36Z,2021-07-15T15:18:36Z,0,A ver no esta mal pero he visto Coldplays de redhood mucho mejores
Fd09zvjdktE,Ugxo7Ws_7V1FMM-e_1h4AaABAg,2021-07-15T08:25:27Z,2021-07-15T08:25:27Z,0,I’m still sad about that nigga Starfire
Fd09zvjdktE,Ugz0XSoulS1HQGQGYlp4AaABAg,2021-07-15T06:28:00Z,2021-07-15T06:28:00Z,0,yes yes yes yes   DC
Fd09zvjdktE,UgyZsVyhw8vLGeEl1al4AaABAg,2021-07-15T05:52:38Z,2021-07-15T05:52:38Z,0,Will this be on Netflix?
Fd09zvjdktE,UgybS_4xUlOMo5yAcOh4AaABAg,2021-07-15T02:11:56Z,2021-07-15T02:11:56Z,0,I must have missed it when is it coming out?
