Video ID,Comment ID,Published At,Updated At,Likes,Comment Text
zymgtV99Rko,Ugy8MUzgvtU5233NOqN4AaABAg,2023-06-25T09:47:33Z,2023-06-25T09:47:33Z,0,Задолбали своими неграми уже
zymgtV99Rko,UgzqlYUWGd9MG3i9FxR4AaABAg,2023-06-22T23:55:52Z,2023-06-22T23:55:52Z,1,نريد موسم ثاني بليز 😍👏
zymgtV99Rko,UgwkNkLsYIQZoQDnf_V4AaABAg,2023-06-16T02:32:52Z,2023-06-16T02:32:52Z,0,only watched 1 episode and wish i didn't even watch that.  0/10 would never reccomend
zymgtV99Rko,Ugz2OWUqHK9EpTyK4k94AaABAg,2023-06-02T18:04:01Z,2023-06-02T18:04:01Z,0,They bIackwashed the whole thing. Its garbage
zymgtV99Rko,UgzJqqOgVr1iRO7q3tJ4AaABAg,2023-05-12T15:01:39Z,2023-05-12T15:01:39Z,1,HBO. نطالب بمواسم كثيرة بليزز ❤
zymgtV99Rko,Ugw4vWOaiqPfccheWzN4AaABAg,2023-05-12T15:01:05Z,2023-05-12T15:01:05Z,1,نريد موسم ثاني فورأ 👏
zymgtV99Rko,UgwQ-1q4yz23WRCUzOp4AaABAg,2023-05-09T06:28:12Z,2023-05-09T06:28:12Z,0,idk guys but i think they like TikTok
zymgtV99Rko,UgxWRocU6GH9pyBm6sZ4AaABAg,2023-05-08T17:35:18Z,2023-05-08T17:35:18Z,0,We want rorschach movie
zymgtV99Rko,Ugymqoz3YKNLjkJXoMp4AaABAg,2023-05-04T23:18:49Z,2023-05-04T23:18:49Z,1,Trash! I can't wait to hear all the cry babies commenting 😭.
zymgtV99Rko,Ugxe19rBGphGrc5cJBx4AaABAg,2023-04-01T17:51:25Z,2023-04-01T17:51:25Z,4,This may litereally be the best show ever made.
zymgtV99Rko,UgzHNdMEA-2D9j_dLuV4AaABAg,2023-03-26T20:45:34Z,2023-03-26T20:45:34Z,2,race race race race race race
zymgtV99Rko,UgxMxOuHChsTlRpTeTN4AaABAg,2023-02-07T00:22:38Z,2023-02-07T00:22:38Z,1,Y'all know Happy Days are in this show! The TV show.
zymgtV99Rko,UgxbYOu6B0vjCFjofTt4AaABAg,2023-01-22T20:07:26Z,2023-01-22T20:07:26Z,0,CHILLS
