Video ID,Comment ID,Published At,Updated At,Likes,Comment Text,BERT Label,confidence,True Label
m9EX0f6V11Y,UgyDlvHqnyK2SxWuV2p4AaABAg,2023-06-24T07:20:07Z,2023-06-24T07:20:07Z,1,1:04 Goosebumps 🔥🔥 The Weeknd XO 🖤,NON_HATE,0.9558415413,NON_HATE
m9EX0f6V11Y,UgziZXFXaXrcwy54pxR4AaABAg,2023-06-23T17:15:26Z,2023-06-23T17:15:26Z,0,Great,NON_HATE,0.9780728221,NON_HATE
m9EX0f6V11Y,Ugw_a6Pl19KZ99pRHh94AaABAg,2023-06-22T02:52:30Z,2023-06-22T02:52:30Z,2,one of my favorite shows in 2022❤,NON_HATE,0.9698477387,NON_HATE
m9EX0f6V11Y,UgzotgR1jOkHmvJueyt4AaABAg,2023-06-19T14:51:47Z,2023-06-19T14:51:47Z,0,"as a Muslim her character is the most non Muslim character ive see 
shame on you people",NON_HATE,0.870770812,
m9EX0f6V11Y,UgwpUSzi8hk457VLr594AaABAg,2023-06-19T14:50:50Z,2023-06-19T14:50:50Z,0,"we don't need "" REPRESENTATION"" if you're gonna do it wrong then don't do it at all 
showing a Muslim hero in a world where you shows '""god"" and other nonsense is soo rude 
and how is she even considered Muslim??,she dose not covers her hair and herself ,she has a crush on a boy with packs like many stereotype western girls and her head was half naked while PRAYING 
FOR GODS SAKE don't disrespect Muslims with this hideous character representation",NON_HATE,0.7717744708,
m9EX0f6V11Y,UgwRAaRZPSnjF2cBKPx4AaABAg,2023-06-19T14:27:07Z,2023-06-19T14:27:07Z,1,"everything is nice and all but i have to say as a Musilm there are many things wrong with her character first of all in 0:49 half of her hair is uncovered while she is praying and that was the most disrespectful thing ive seen 
and secondly having relationships with other boys is not excepted in Islam no matter how modern she is the teachings of our religion dont change so if you want to represent Muslim characters then please for gods sake show our religion properly or dont show it at all",NON_HATE,0.9337249398,
m9EX0f6V11Y,UgzqwMS4r_JztImZW314AaABAg,2023-06-18T09:30:01Z,2023-06-18T09:30:01Z,0,I want this version of Blinding Lights,NON_HATE,0.9473891258,NON_HATE
m9EX0f6V11Y,Ugy87mDcFj0tVWKTLyZ4AaABAg,2023-06-18T02:22:27Z,2023-06-18T02:22:27Z,0,Love the show can't wait for the Marvel's!!!😁😁😁,NON_HATE,0.9413866401,NON_HATE
m9EX0f6V11Y,UgxSLVP_qZe0pOI466x4AaABAg,2023-06-15T15:47:37Z,2023-06-15T15:47:37Z,1,Wtf are these robotic comments 😭 I’ve never seen more “positive” comments on anything in my life including highly rated shows. Do you guys have something to prove or something ? Lmao y’all just loved it soooo much it made you come back and leave a whole paragraph for it ? Why this show? Like I guess this show is life changing and the whole world should see it according to these life changing reviews 👏,NON_HATE,0.9422115088,
m9EX0f6V11Y,UgxTqUeugYTS8Cs9WY94AaABAg,2023-06-12T19:59:23Z,2023-06-12T19:59:23Z,0,❤️🇵🇰,NON_HATE,0.9780728221,NON_HATE
m9EX0f6V11Y,Ugx9kVWfJARDuZdX97l4AaABAg,2023-06-09T00:52:01Z,2023-06-09T00:52:01Z,0,"Low and behold, it’s already 1 year old!!!

Next up is The Marvels 😃
It opens on my sisters birthday",NON_HATE,0.9364668727,NON_HATE
m9EX0f6V11Y,Ugy2sidUMieeB9Wb_LJ4AaABAg,2023-06-07T10:51:31Z,2023-06-07T10:51:31Z,0,Disney is desperate. This has got to be the worst avengers show ever!,NON_HATE,0.968296349,NON_HATE
m9EX0f6V11Y,UgyseP7kULD4oEqXogZ4AaABAg,2023-05-30T17:21:07Z,2023-05-30T17:21:07Z,0,It's nice but i love VANDA❤,NON_HATE,0.968395412,NON_HATE
m9EX0f6V11Y,UgwpeigDbLirAG6EnpZ4AaABAg,2023-05-29T01:14:11Z,2023-05-29T01:14:11Z,0,They really made the circle q exploding so satisfying 🤣🤣💀 1:10,NON_HATE,0.9699516892,NON_HATE
m9EX0f6V11Y,UgxsP003h8yv5UjlDFp4AaABAg,2023-05-26T18:33:02Z,2023-05-26T18:33:02Z,1,"As a huge marvel fan I asked myself ""how did I not know about this show I've seen everything else"" but then I watched and knew exactly why. This show was hot garbage.",NON_HATE,0.957369864,NON_HATE
m9EX0f6V11Y,UgwlsjcgGYkuEhXcQuN4AaABAg,2023-05-26T04:22:28Z,2023-05-26T04:22:28Z,1,Children movie,NON_HATE,0.971110642,NON_HATE
m9EX0f6V11Y,UgwVKCCforgWPtkcp-N4AaABAg,2023-05-23T20:32:37Z,2023-05-23T20:32:37Z,2,Summer of 22 was the best year of my life,NON_HATE,0.9752312899,NON_HATE
m9EX0f6V11Y,UgwRwLNHRMswCoY8y5Z4AaABAg,2023-05-22T17:52:17Z,2023-05-22T17:52:17Z,0,I'm definitly rewatching it,NON_HATE,0.9740871787,NON_HATE
m9EX0f6V11Y,UgzuSgIFYvhleHGQ2EZ4AaABAg,2023-05-21T10:28:50Z,2023-05-21T10:28:50Z,0,"Look really really good and original :)





Nooooooooot.",NON_HATE,0.9763141274,NON_HATE
m9EX0f6V11Y,UgwPw5p954uvmHzsWjd4AaABAg,2023-05-18T22:26:20Z,2023-05-18T22:26:20Z,0,This show sucked and I hope future projects fail,NON_HATE,0.9562573433,NON_HATE
m9EX0f6V11Y,UgwBztAvjl7w6LBHqIZ4AaABAg,2023-05-13T17:15:53Z,2023-05-13T17:15:53Z,0,"I'm not here because im interested, and i doubt I'll ever be but please stop trying so hard to push this. And i mean more so than usual. On my google homepage i lve seen 2 different sites tote and go on about ""no more tom Holland""... ""We got this now"" 
And i understand advertisement and i dont even care about tom Holland like that but yall pushing way too hard on something for teenie boppers.",NON_HATE,0.9504406452,
m9EX0f6V11Y,UgzzCzIYaw8pKjqgC1d4AaABAg,2023-05-11T19:23:15Z,2023-05-11T19:23:15Z,0,"this i a pakistani series and ms marvel is pakistani 
me too",NON_HATE,0.9718705416,NON_HATE
m9EX0f6V11Y,UgwPyXSdBiVTdhaCeiV4AaABAg,2023-05-10T18:20:18Z,2023-05-10T18:20:18Z,3,🤢,NON_HATE,0.9780728221,NON_HATE
m9EX0f6V11Y,Ugw_P0R2jThzxKolw_p4AaABAg,2023-05-10T15:38:42Z,2023-05-10T15:38:42Z,0,I cannot wait to see this. I love her.,NON_HATE,0.9662874341,NON_HATE
m9EX0f6V11Y,Ugy5e5eoIrtjjuU8Vkh4AaABAg,2023-05-10T15:00:35Z,2023-05-10T15:00:35Z,5,"The best thing about this trailer is only the song.
All the rest is some woke BS.",NON_HATE,0.9738818407,HATE
m9EX0f6V11Y,Ugw3uyZOpbmFNvq-HTp4AaABAg,2023-05-07T06:52:22Z,2023-05-07T06:52:22Z,0,"kids movie, I am Indian race but girls in power roles doesn't make sense to me to be honest.",NON_HATE,0.9472483397,HATE
m9EX0f6V11Y,UgxcsGH0XD7CBWeukaV4AaABAg,2023-05-06T10:34:18Z,2023-05-06T10:34:18Z,0,no interesting.  fxxxxx,NON_HATE,0.9763504863,NON_HATE
m9EX0f6V11Y,UgyIwMlVyC3LRBbFfp94AaABAg,2023-05-05T17:47:39Z,2023-05-05T17:47:39Z,1,dude whaT the actual f***,NON_HATE,0.973402679,NON_HATE
m9EX0f6V11Y,Ugy7C9lEI27FDKnTfN14AaABAg,2023-05-04T16:38:29Z,2023-05-04T16:38:29Z,0,The lead character is too Disney for a Marvel character 😅,NON_HATE,0.9572228193,NON_HATE
m9EX0f6V11Y,UgytbUTJTfOdmP17Cy94AaABAg,2023-05-04T04:29:14Z,2023-05-04T04:29:14Z,0,👍🏻,NON_HATE,0.9780728221,NON_HATE
m9EX0f6V11Y,UgxcjZQW6ZU8Ze8UZrt4AaABAg,2023-05-01T15:04:36Z,2023-05-01T15:04:36Z,3,Worst movie I ever watch😢,NON_HATE,0.9671221972,NON_HATE
m9EX0f6V11Y,UgyMrmnxpYqDkJGDkIB4AaABAg,2023-04-30T21:43:39Z,2023-04-30T21:43:39Z,0,"super funny show, cute and full of magic",NON_HATE,0.971247673,NON_HATE
m9EX0f6V11Y,Ugw9p6n75wfXcqHYgON4AaABAg,2023-04-29T20:02:07Z,2023-04-29T20:02:07Z,1,this movie gonna be as bad as the rest?,NON_HATE,0.9716701508,NON_HATE
m9EX0f6V11Y,UgxSLn_yb52bxSlPBfh4AaABAg,2023-04-29T17:07:55Z,2023-04-29T17:07:55Z,2,Marvel disappointed me with miss Marvel 😢😢😢,NON_HATE,0.9656962156,NON_HATE
m9EX0f6V11Y,Ugwf-zmsvpeXzClsf3V4AaABAg,2023-04-28T11:21:17Z,2023-04-28T11:21:17Z,0,I lOVE KAMALA KHAN AND HER ADVENTURES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,NON_HATE,0.6314959526,NON_HATE
m9EX0f6V11Y,UgwqqmGGF2dYPWbHUiN4AaABAg,2023-04-27T16:14:26Z,2023-04-27T16:14:26Z,0,im just confused with the name lol ''kamala khan'' a hindu and a muslim name mixed together lmao,NON_HATE,0.9425817132,NON_HATE
m9EX0f6V11Y,UgxfU3NG-z25isMmDFp4AaABAg,2023-04-27T03:22:34Z,2023-04-27T03:22:34Z,0,"Marvel become child comics with disgusting character like she hulk, captain marvel, ms marvel worst the wrost movie and series ever people watch",NON_HATE,0.5702426434,NON_HATE
m9EX0f6V11Y,UgzkgtRrzsup1J4jr2l4AaABAg,2023-04-26T11:59:42Z,2023-04-26T11:59:42Z,0,Indian audience is way more big than Pakistan it self but marvel always disappointed us 😢Indian,NON_HATE,0.9527825117,
m9EX0f6V11Y,UgxRb9tuaoL_prmhSkJ4AaABAg,2023-04-26T06:24:13Z,2023-04-26T06:24:13Z,0,Old is gold 🥇,NON_HATE,0.9681093097,NON_HATE
m9EX0f6V11Y,UgwLjJkqjMeoQlIcp3F4AaABAg,2023-04-26T06:24:02Z,2023-04-26T06:24:02Z,1,Not good movie 😞,NON_HATE,0.9692949653,NON_HATE
m9EX0f6V11Y,UgzdYjZz7WXxIqCWdtF4AaABAg,2023-04-25T13:19:23Z,2023-04-25T13:19:23Z,0,Bruh the trailer deceived us so much. I thought it was gonna be like a spiderman type feel but as a girl who loves the avengers but instead we just got a history and culture lesson with some goofy dollar store inter dimensional villans,NON_HATE,0.9329491854,NON_HATE
m9EX0f6V11Y,Ugx17vqXws9D6uAbvHt4AaABAg,2023-04-24T19:19:22Z,2023-04-24T19:19:22Z,0,Flying burkha😂😂😂,NON_HATE,0.9724235535,NON_HATE
m9EX0f6V11Y,Ugz9VN1hEzhNy8lxkz94AaABAg,2023-04-21T05:15:05Z,2023-04-21T05:15:05Z,3,flopped,NON_HATE,0.9755644798,NON_HATE
m9EX0f6V11Y,Ugy-R2gi7A4-Ws2bNqV4AaABAg,2023-04-21T04:00:00Z,2023-04-21T04:00:00Z,0,"This is my daughter, literally. And I’m sorry I sent them the idea😢they took everything from the story down to my explanation of Ameera’s personality and characterized her into Ms. Marvel 😮",NON_HATE,0.9317389727,NON_HATE
m9EX0f6V11Y,Ugy2TVzgFkEfZT_FgGd4AaABAg,2023-04-20T20:35:35Z,2023-04-20T20:35:35Z,1,Hell no. Come on Disney,NON_HATE,0.9698318243,NON_HATE
m9EX0f6V11Y,UgyQJpy0Vaxr5FLzhbh4AaABAg,2023-04-19T22:04:44Z,2023-04-19T22:04:44Z,1,"First watched this, it was okay, but the simultaneous releases with multiple episodes of Kenobi kinda ruined it for me. However, a few months later, I rewatched the show, and it was much better than before. One of the best shows on Phase 4!",NON_HATE,0.9712207913,NON_HATE
m9EX0f6V11Y,UgyVR-R6v6mjsLuEkY94AaABAg,2023-04-19T18:09:38Z,2023-04-19T18:09:44Z,2,This is so gonna suck 😂,NON_HATE,0.7420582771,NON_HATE
m9EX0f6V11Y,UgwSr3BMrkqjJlQOQHt4AaABAg,2023-04-19T10:27:16Z,2023-04-19T10:27:16Z,0,Can 8+ watch this..?,NON_HATE,0.9770303965,NON_HATE
m9EX0f6V11Y,UgwhaihSNmFgwof5I1R4AaABAg,2023-04-19T06:42:04Z,2023-04-19T06:42:04Z,5,Came here after a year to comment that this show is trash 🗑️,NON_HATE,0.9702010751,NON_HATE
m9EX0f6V11Y,UgxOkbMORxVzgljRif14AaABAg,2023-04-19T06:35:30Z,2023-04-19T06:35:30Z,0,I am not going to watch again a movie with bad vfx and bad story,NON_HATE,0.9212237,NON_HATE
m9EX0f6V11Y,Ugyes0ARNMmc0tCl8ZF4AaABAg,2023-04-19T06:16:12Z,2023-04-19T06:16:12Z,0,SHE HAS BIG HANDS RUN,NON_HATE,0.8714578748,NON_HATE
m9EX0f6V11Y,UgyrJeBUktvFgKuAZyp4AaABAg,2023-04-18T19:21:05Z,2023-04-18T19:21:05Z,1,This show looks like it sucks just like she hulk,HATE,0.533151269,NON_HATE
m9EX0f6V11Y,UgwLc0LBvpXqyCwxuQh4AaABAg,2023-04-18T12:34:16Z,2023-04-18T12:34:16Z,1,We Need Iron man 💪😢😢,NON_HATE,0.9562945366,NON_HATE
m9EX0f6V11Y,Ugw_44ck4JU2HfDcROd4AaABAg,2023-04-17T10:03:23Z,2023-04-17T10:03:23Z,3,"This show is a totally west of time 
Man I want my hours back 😌",NON_HATE,0.9543097615,NON_HATE
m9EX0f6V11Y,Ugz8guFtdN7tFWYFUDN4AaABAg,2023-04-17T06:40:06Z,2023-04-17T06:40:06Z,1,"Never finished the series, watched 2 episodes and that was enough for me. Just never hooked me.",NON_HATE,0.9752467275,NON_HATE
m9EX0f6V11Y,UgxbMKLs9HqpH7SlL6J4AaABAg,2023-04-17T04:55:12Z,2023-04-17T04:55:12Z,0,It's a great way to empower Arabic women without getting them killed.,NON_HATE,0.93144238,NON_HATE
m9EX0f6V11Y,UgwxpYNj0VQVnedwUCx4AaABAg,2023-04-16T15:40:04Z,2023-04-16T15:40:04Z,3,This show is one of the best things Marvel has done so far. Kamala is a great character.,NON_HATE,0.9752261043,NON_HATE
m9EX0f6V11Y,Ugx6koAG_ihPzgObbEZ4AaABAg,2023-04-16T05:59:43Z,2023-04-16T05:59:43Z,1,👎👎👎😂😂,NON_HATE,0.9780728221,NON_HATE
m9EX0f6V11Y,UgzvAAbni-F25nkgUS94AaABAg,2023-04-15T18:55:33Z,2023-04-15T18:55:33Z,4,"Haram !
Bro they really showed her as a Muslim and then staring at a shirt less dude.
I see this as a disrespect towards our religion even though you know our religion doesn't allow that , it's zina 😞",NON_HATE,0.8772029877,
m9EX0f6V11Y,UgzP9gp3OWiCXWOF1W54AaABAg,2023-04-15T09:02:41Z,2023-04-15T09:02:41Z,0,i love this show so much!!!!!!!!!!!!!!,NON_HATE,0.9505610466,NON_HATE
m9EX0f6V11Y,Ugx1CEBv0U1k5ZpDU5B4AaABAg,2023-04-14T21:30:13Z,2023-04-14T21:30:13Z,2,My 8 & 10 yr. daughters think this is bad & I think they're the target audience for this movie.,NON_HATE,0.5895804763,NON_HATE
m9EX0f6V11Y,Ugzvaa-JgZ2OzyCYNDt4AaABAg,2023-04-14T16:20:23Z,2023-04-14T16:20:23Z,5,This was absolutely terrible to watch,NON_HATE,0.968729794,NON_HATE
m9EX0f6V11Y,Ugx3bWmfDh4v0PBfmgN4AaABAg,2023-04-14T13:52:15Z,2023-04-14T13:52:15Z,0,"I REALLY need a clean version of the arrangement for Blinding Lights used in this trailer, ASAP! It's so awesome!",NON_HATE,0.9688601494,NON_HATE
m9EX0f6V11Y,Ugyw3mjcH6RcPAwH-Bx4AaABAg,2023-04-14T06:34:34Z,2023-04-14T06:34:34Z,0,Who is she? Another shaytaan on the run,NON_HATE,0.9195637107,
m9EX0f6V11Y,UgxIvsFYFUhuvo3WXCd4AaABAg,2023-04-14T05:46:54Z,2023-04-14T05:46:54Z,0,Good trailer for a weird series.,NON_HATE,0.9768895507,NON_HATE
m9EX0f6V11Y,UgxfTguwtIRLaQ-okn54AaABAg,2023-04-13T23:22:07Z,2023-04-13T23:22:07Z,3,I didn't watch this show at all.,NON_HATE,0.9768007994,NON_HATE
m9EX0f6V11Y,UgziCWRSNG75VmzCvNV4AaABAg,2023-04-13T11:13:16Z,2023-04-13T11:13:16Z,2,I’m just here after the trailer of The Marvels that’s coming out November this year,NON_HATE,0.9678627849,NON_HATE
m9EX0f6V11Y,UgyTr6HdQDSbnBn0u6h4AaABAg,2023-04-13T09:46:14Z,2023-04-13T09:46:14Z,2,Just for The Weeknd Blinding Lights 🖤,NON_HATE,0.9085466862,NON_HATE
m9EX0f6V11Y,UgxXF5Sd45dmVzoy15F4AaABAg,2023-04-12T07:59:36Z,2023-04-12T07:59:36Z,1,"❤❤ I can’t get why ppl aren’t getting excited, mcu just makin* me happy",NON_HATE,0.9648194313,NON_HATE
m9EX0f6V11Y,UgzVUgf8PCqxkVAF4jN4AaABAg,2023-04-12T04:11:31Z,2023-04-12T04:11:31Z,0,No one watched the shows save for Wanda Vision. Even that had a ceiling. Not holding out any hope. Who cares.,NON_HATE,0.9655097127,NON_HATE
m9EX0f6V11Y,UgyhGsJWITK7KyMdwwV4AaABAg,2023-04-11T14:01:28Z,2023-04-11T14:01:28Z,6,Big Fuckin Disappointment Marvel👎🏼,NON_HATE,0.903600812,NON_HATE
m9EX0f6V11Y,Ugwcodx4Jgz_rpf7ekJ4AaABAg,2023-04-11T09:27:03Z,2023-04-11T09:27:03Z,1,👎😒😒👎,NON_HATE,0.9780728221,NON_HATE
m9EX0f6V11Y,UgxY6s_5dAq2Q7v6jNd4AaABAg,2023-04-10T17:12:36Z,2023-04-10T17:12:36Z,1,Best marvel show ever.,NON_HATE,0.9765268564,NON_HATE
m9EX0f6V11Y,UgwPN883FHYBRewGqKR4AaABAg,2023-04-08T10:54:24Z,2023-04-08T10:54:24Z,3,We want more seasons of this. Absolutely LOVING Ms Marvel ❤️👍,NON_HATE,0.9602671862,NON_HATE
m9EX0f6V11Y,Ugz1SWMT4cYjJXcyoNZ4AaABAg,2023-04-08T06:43:33Z,2023-04-08T06:43:33Z,1,oompa loompa,NON_HATE,0.9753100872,NON_HATE
m9EX0f6V11Y,UgzpviJOfhnzr0G2xDl4AaABAg,2023-04-08T06:23:43Z,2023-04-08T06:23:43Z,1,I HATE THIS😡,NON_HATE,0.9474619031,NON_HATE
m9EX0f6V11Y,Ugw5536zA_lt7-I6y-F4AaABAg,2023-04-07T05:18:30Z,2023-04-07T05:18:30Z,0,"HOROUS, ANDOR, STAR, KENOBI, GREVIOUS, LEONIDAS, ZOD, KAL-EL, SMITH, ODINSON,  PICARD, MAHAN, FOSSUM, BLACK, MORALES, HERNANDEZ, LUNA, SHATNER, BIDEN, HAGUE, DUKE/NU&K, CALISTA, VI BRITANNIA, HERA, RA,  PREPARE FOR RESERVES TO DEPLOY TO AREAS OF FRIENDLY TRADE ROUTES AND FOR ACTIVE THEATER SPACE CONFLICTS.",NON_HATE,0.8387899995,NON_HATE
